#Data collected from:
# - Smith & Loewenstein 1975 (28.6-182um)
# - Sahin et al. 2019 (160-3000um)

Wavenumber_sigma_cm-1,Refractive_index_n,Absorption_alpha_cm-1
3.3333333333333335,1.848,0.0230782234090747
3.3444816053511706,1.84808,0.0237328727590759
3.3557046979865772,1.84815,0.0243918735598469
3.367003367003367,1.84823,0.025055312076448
3.3783783783783785,1.84831,0.0257232757396836
3.389830508474577,1.84838,0.0263957253722611
3.4013605442176873,1.84846,0.0270727922348923
3.4129692832764507,1.84854,0.0277544378256963
3.4246575342465757,1.84861,0.0284407952574325
3.436426116838488,1.84869,0.0291318267389725
3.4482758620689657,1.84877,0.0298276672871803
3.4602076124567476,1.84884,0.0305282798586608
3.4722222222222223,1.84892,0.0312338014284523
3.4843205574912894,1.849,0.0319441957395991
3.4965034965034967,1.84908,0.0326596017814903
3.5087719298245617,1.84915,0.0333799841241295
3.5211267605633805,1.84923,0.0341054838296416
3.53356890459364,1.84931,0.0348360663374166
3.546099290780142,1.84938,0.0355718748430148
3.558718861209965,1.84946,0.0363128756996472
3.5714285714285716,1.84954,0.0370591694195412
3.584229390681004,1.84961,0.03781085795596
3.5971223021582737,1.84969,0.038567909120804
3.6101083032490977,1.84977,0.0393304717249993
3.623188405797102,1.84985,0.0400985146148388
3.6363636363636367,1.84992,0.0408721889670429
3.649635036496351,1.85,0.0416514647146258
3.6630036630036633,1.85008,0.0424364954727061
3.676470588235295,1.85015,0.0432272523158803
3.690036900369004,1.85023,0.0440238913732869
3.703703703703704,1.85031,0.0448263849186349
3.717472118959108,1.85038,0.0456348916738763
3.73134328358209,1.85046,0.0464493851721769
3.745318352059926,1.85054,0.0472697914851372
3.759398496240602,1.85061,0.0480966024765899
3.773584905660378,1.85069,0.048929653550997
3.787878787878789,1.85077,0.0497690156183921
3.8022813688212937,1.85085,0.0506147606672882
3.816793893129771,1.85092,0.0514669617852599
3.8314176245210736,1.851,0.0523256931799977
3.8461538461538463,1.85108,0.0531910302008488
3.8610038610038617,1.85115,0.0540630493608571
3.8759689922480622,1.85123,0.054941828359315
3.891050583657589,1.85131,0.0558274461048427
3.90625,1.85138,0.0567199827390073
3.92156862745098,1.85146,0.0576195196604987
3.937007874015748,1.85154,0.0585261395498758
3.952569169960474,1.85162,0.0594399263949002
3.968253968253968,1.85169,0.0603609655164724
3.98406374501992,1.85177,0.0612893435951886
4.000000000000001,1.85185,0.0622251486985346
4.016064257028113,1.85192,0.0631684703087347
4.03225806451613,1.852,0.0641188926427826
4.048582995951418,1.85208,0.0650775194641756
4.065040650406504,1.85215,0.0660439399995637
4.0816326530612255,1.85216,0.0670182496821795
4.0983606557377055,1.85211,0.0680005455097347
4.1152263374485605,1.85206,0.0689909260766114
4.132231404958678,1.85201,0.0699894916068507
4.149377593360996,1.85195,0.0709963439879633
4.166666666666667,1.8519,0.0720115868055852
4.184100418410042,1.85185,0.0730353253790031
4.201680672268908,1.8518,0.0740676667975758
4.219409282700422,1.85175,0.0751087199580774
4.237288135593221,1.85169,0.0761585956029899
4.25531914893617,1.85164,0.0772174063597742
4.273504273504273,1.85159,0.0782852667811462
4.291845493562232,1.85154,0.0793622933863928
4.310344827586207,1.85148,0.0804486047037535
4.329004329004329,1.85143,0.0815443213139052
4.347826086956522,1.85138,0.0826490195306402
4.366812227074236,1.85133,0.0837639145165439
4.385964912280702,1.85128,0.0848885892830256
4.405286343612335,1.85122,0.086023173078287
4.424778761061948,1.85117,0.0871677974381081
4.444444444444445,1.85112,0.0883225962366833
4.464285714285714,1.85107,0.0894877057388171
4.4843049327354265,1.85101,0.0906632646535261
4.504504504504505,1.85096,0.0918494141890884
4.524886877828055,1.85091,0.0930462981095879
4.545454545454546,1.85086,0.0942540627930009
4.566210045662101,1.85081,0.0954728572908744
4.587155963302753,1.85075,0.0967028333896459
4.6082949308755765,1.8507,0.0979441456736594
4.629629629629631,1.85065,0.0991969515899323
4.651162790697675,1.8506,0.1004614115147288
4.672897196261683,1.85054,0.1017376888219999
4.694835680751174,1.85049,0.1030259499537524
4.716981132075472,1.85044,0.1043263644924083
4.739336492890995,1.85039,0.1056385096726337
4.761904761904762,1.85034,0.1069637498722239
4.784688995215311,1.85028,0.108301671796212
4.8076923076923075,1.85023,0.1096524583540846
4.830917874396135,1.85018,0.1110162959898111
4.8543689320388355,1.85013,0.112393374767632
4.878048780487805,1.85007,0.1137838884603585
4.901960784313726,1.85006,0.1151880346402685
4.926108374384237,1.85004,0.11660601477269
4.9504950495049505,1.85003,0.1180380343123632
4.975124378109453,1.85002,0.1194843028026799
5.0,1.85001,0.1209450339778998
5.025125628140704,1.85,0.1224204458684485
5.050505050505051,1.84999,0.1239107609094068
5.0761421319796955,1.84998,0.1254162060523038
5.102040816326531,1.84997,0.1269370128803324
5.128205128205129,1.84996,0.12847341772711
5.154639175257732,1.84994,0.130025661799112
5.181347150259068,1.84993,0.1315939913019121
5.208333333333334,1.84992,0.1331780030718968
5.235602094240838,1.84991,0.134779259277725
5.2631578947368425,1.8499,0.1363973708120357
5.291005291005292,1.84989,0.1380326052197252
5.319148936170214,1.84988,0.1398937840164158
5.3475935828877015,1.84987,0.142917265797264
5.376344086021506,1.84986,0.1459732581348955
5.405405405405406,1.84984,0.1490622882275285
5.434782608695652,1.84983,0.1521848947342118
5.46448087431694,1.84982,0.1553416280879627
5.4945054945054945,1.84981,0.1585330508192273
5.524861878453039,1.8498,0.1617597378900639
5.555555555555555,1.84979,0.1650222770394654
5.58659217877095,1.84978,0.1683212691402569
5.617977528089888,1.84977,0.1716573285680235
5.649717514124294,1.84975,0.1750310835825445
5.6818181818181825,1.84974,0.1784431767222306
5.714285714285714,1.84982,0.1818942652120845
5.74712643678161,1.84992,0.1853850213857298
5.780346820809249,1.85003,0.1889161331220762
5.813953488372094,1.85014,0.1924883042972174
5.847953216374269,1.85024,0.1961022552521847
5.882352941176471,1.85035,0.1997587232772105
5.91715976331361,1.85046,0.2034584631131834
5.952380952380953,1.85056,0.2072022474710131
5.988023952095809,1.85067,0.2109908675696551
6.024096385542169,1.85078,0.2148251336935819
6.060606060606061,1.85088,0.2187066373687451
6.097560975609757,1.85099,0.2226347102124704
6.134969325153375,1.8511,0.2266109802690022
6.17283950617284,1.8512,0.2306363400793183
6.2111801242236035,1.85131,0.2347117043593277
6.250000000000001,1.85142,0.2388380106928372
6.28930817610063,1.85153,0.2430162202506677
6.329113924050634,1.85163,0.2472473185370782
6.369426751592358,1.85174,0.251532316164717
6.410256410256411,1.85185,0.2558722496593767
6.451612903225807,1.85195,0.260268182295903
6.4935064935064934,1.85206,0.2647212049666699
6.5359477124183005,1.85183,0.2692324370841135
6.578947368421053,1.85152,0.2738030275188918
6.622516556291391,1.85122,0.278434155575323
6.666666666666667,1.85091,0.2831270320058398
6.7114093959731544,1.85061,0.2878829000662964
6.756756756756757,1.85031,0.2927030366140566
6.802721088435375,1.85,0.2975887532509019
6.849315068493151,1.8497,0.3025413975129095
6.8965517241379315,1.84939,0.3075623541095654
6.944444444444445,1.84909,0.3126530462145082
6.993006993006993,1.84879,0.3178149368104293
7.042253521126761,1.84848,0.3230495300907999
7.092198581560284,1.84818,0.3283583729212467
7.142857142857143,1.84787,0.3337430563635571
7.194244604316547,1.84757,0.3392061213209089
7.246376811594204,1.84727,0.34517543561229
7.299270072992702,1.84696,0.3521170426409802
7.35294117647059,1.84721,0.3591598081281352
7.407407407407408,1.84761,0.3663069108817667
7.46268656716418,1.84801,0.3735606868108255
7.518796992481204,1.8484,0.3809235420771634
7.575757575757577,1.8488,0.3883989077544014
7.633587786259543,1.84919,0.3959874418869703
7.692307692307693,1.84959,0.4036927226985017
7.751937984496125,1.84998,0.4115174652280413
7.8125,1.85038,0.4194644693596049
7.874015748031496,1.85078,0.4275366231625319
7.936507936507937,1.85117,0.4357379037219032
8.000000000000002,1.85157,0.4440693994605754
8.06451612903226,1.85196,0.4525352741627744
8.130081300813009,1.85224,0.4611388053641962
8.196721311475411,1.85188,0.4698833780607234
8.264462809917356,1.85152,0.4787735276919546
8.333333333333334,1.85116,0.4878107992861551
8.403361344537815,1.8508,0.4969999577979053
