"Angle of incidence, deg.","P-polarized","S-polarized","Non-polarized"
0,0.08865676936660065,0.08865676936660065,0.08865676936660065
0.1,0.08865647708952532,0.08865706164406402,0.08865676936679467
0.2,0.08865560025728281,0.08865793848212719,0.088656769369705
0.30000000000000004,0.0886541388668234,0.08865939989780987,0.08865676938231663
0.4,0.08865209291306451,0.08866144591947867,0.0886567694162716
0.5,0.08864946238889138,0.08866407658684787,0.08865676948786963
0.6,0.08864624728515755,0.08866729195098108,0.08865676961806931
0.7,0.08864244759068582,0.08867109207429213,0.08865676983248898
0.7999999999999999,0.08863806329226914,0.08867547703054743,0.08865677016140829
0.8999999999999999,0.08863309437467222,0.08868044690486802,0.08865677063977012
0.9999999999999999,0.08862754082063273,0.08868600179373175,0.08865677130718225
1.0999999999999999,0.08862140261086296,0.08869214180497689,0.08865677220791993
1.2,0.08861467972405193,0.08869886705780475,0.08865677339092834
1.3,0.08860737213686687,0.0887061776827835,0.08865677490982518
1.4000000000000001,0.08859947982395636,0.0887140738218519,0.08865677682290413
1.5000000000000002,0.08859100275795166,0.08872255562832354,0.08865677919313761
1.6000000000000003,0.08858194090947043,0.08873162326689178,0.0886567820881811
1.7000000000000004,0.08857229424711861,0.08874127691363416,0.08865678558037639
1.8000000000000005,0.08856206273749422,0.08875151675601797,0.08865678974675609
1.9000000000000006,0.08855124634519014,0.08876234299290571,0.08865679466904793
2.0000000000000004,0.0885398450327976,0.08877375583456111,0.08865680043367935
2.1000000000000005,0.0885278587609099,0.08878575550265538,0.08865680713178264
2.2000000000000006,0.0885152874881262,0.08879834223027361,0.0886568148591999
2.3000000000000007,0.08850213117105538,0.08881151626192227,0.08865682371648882
2.400000000000001,0.08848838976432066,0.08882527785353579,0.08865683380892822
2.500000000000001,0.08847406322056339,0.0888396272724849,0.08865684524652415
2.600000000000001,0.08845915149044836,0.08885456479758393,0.08865685814401614
2.700000000000001,0.08844365452266804,0.08887009071909974,0.0886568726208839
2.800000000000001,0.08842757226394797,0.08888620533876006,0.08865688880135401
2.9000000000000012,0.08841090465905171,0.08890290896976255,0.08865690681440713
3.0000000000000013,0.08839365165078676,0.08892020193678393,0.08865692679378534
3.1000000000000014,0.08837581318000941,0.0889380845759903,0.08865694887799985
3.2000000000000015,0.08835738918563121,0.08895655723504645,0.08865697321033883
3.3000000000000016,0.08833837960462482,0.08897562027312671,0.08865699993887577
3.4000000000000017,0.08831878437203007,0.08899527406092551,0.08865702921647779
3.5000000000000018,0.08829860342096081,0.08901551898066826,0.08865706120081454
3.600000000000002,0.088277836682611,0.08903635542612331,0.08865709605436715
3.700000000000002,0.08825648408626213,0.08905778380261294,0.08865713394443753
3.800000000000002,0.08823454555928999,0.08907980452702624,0.08865717504315812
3.900000000000002,0.08821202102717203,0.08910241802783087,0.08865721952750144
4.000000000000002,0.0881889104134947,0.0891256247450865,0.0886572675792906
4.100000000000001,0.08816521363996141,0.08914942513045734,0.08865731938520938
4.200000000000001,0.08814093062640026,0.08917381964722616,0.08865737513681321
4.300000000000001,0.08811606129077215,0.08919880877030761,0.08865743503053988
4.4,0.08809060554917932,0.08922439298626286,0.0886574992677211
4.5,0.0880645633158736,0.089250572793314,0.0886575680545938
4.6,0.08803793450326551,0.08927734870135853,0.08865764160231202
4.699999999999999,0.08801071902193278,0.0893047212319855,0.08865772012695913
4.799999999999999,0.08798291678063021,0.08933269091848976,0.08865780384955999
4.899999999999999,0.0879545276862985,0.0893612583058894,0.08865789299609395
4.999999999999998,0.0879255516440741,0.08939042395094084,0.08865798779750747
5.099999999999998,0.08789598855729917,0.08942018842215603,0.0886580884897276
5.1999999999999975,0.0878658383275315,0.08945055229981931,0.08865819531367541
5.299999999999997,0.08783510085455491,0.08948151617600474,0.08865830851527982
5.399999999999997,0.08780377603638992,0.08951308065459383,0.08865842834549187
5.4999999999999964,0.0877718637693041,0.08954524635129339,0.08865855506029874
5.599999999999996,0.08773936394782332,0.08957801389365458,0.08865868892073894
5.699999999999996,0.08770627646474301,0.08961138392109061,0.08865883019291682
5.799999999999995,0.08767260121113961,0.08964535708489674,0.08865897914801818
5.899999999999995,0.08763833807638197,0.08967993404826963,0.0886591360623258
5.999999999999995,0.08760348694814347,0.08971511548632646,0.08865930121723498
6.099999999999994,0.08756804771241429,0.08975090208612616,0.08865947489927023
6.199999999999994,0.0875320202535133,0.08978729454668911,0.0886596574001012
6.299999999999994,0.0874954044541013,0.08982429357901843,0.08865984901655986
6.399999999999993,0.08745820019519328,0.08986189990612127,0.08866005005065727
6.499999999999993,0.08742040735617192,0.08990011426303023,0.08866026080960107
6.5999999999999925,0.08738202581480055,0.08993893739682543,0.088660481605813
6.699999999999992,0.08734305544723711,0.08997837006665703,0.08866071275694706
6.799999999999992,0.0873034961280476,0.09001841304376758,0.08866095458590759
6.8999999999999915,0.08726334773022033,0.09005906711151554,0.08866120742086794
6.999999999999991,0.08722261012518029,0.09010033306539819,0.08866147159528924
7.099999999999991,0.08718128318280342,0.09014221171307592,0.08866174744793967
7.19999999999999,0.08713936677143166,0.0901847038743962,0.08866203532291393
7.29999999999999,0.08709686075788796,0.09022781038141783,0.08866233556965289
7.39999999999999,0.08705376500749132,0.0902715320784365,0.0886626485429639
7.499999999999989,0.08701007938407286,0.09031586982200947,0.08866297460304116
7.599999999999989,0.08696580374999113,0.09036082448098137,0.08866331411548625
7.699999999999989,0.0869209379661483,0.09040639693651045,0.08866366745132938
7.799999999999988,0.08687548189200686,0.09045258808209454,0.0886640349870507
