# Smith & Loewenstein (1975)
# "Optical constants of far infrared materials. 3: plastics"
# NOTE: data interpolated to fill in nans from raw data

Wavenumber_sigma_cm-1,Refractive_index_n,Absorption_alpha_cm-1
50.0,1.7345000000000002,13.0
52.92929292929293,1.7347929292929294,16.368686868686865
55.85858585858586,1.7350858585858586,19.73737373737374
58.78787878787879,1.7353787878787879,23.10606060606061
61.717171717171716,1.7357575757575758,25.7020202020202
64.64646464646465,1.7361969696969697,27.752525252525256
67.57575757575758,1.7366363636363638,29.803030303030305
70.5050505050505,1.7369242424242426,32.05555555555556
73.43434343434343,1.7364848484848485,35.27777777777778
76.36363636363637,1.7360454545454547,38.500000000000014
79.2929292929293,1.7356060606060606,41.72222222222223
82.22222222222223,1.7335,44.72222222222223
85.15151515151516,1.7308636363636365,47.651515151515156
88.08080808080808,1.728227272727273,50.58080808080808
91.01010101010101,1.7257424242424244,52.0959595959596
93.93939393939394,1.7235454545454545,50.92424242424242
96.86868686868686,1.7213484848484848,49.75252525252525
99.79797979797979,1.719151515151515,48.58080808080808
102.72727272727273,1.7189999999999999,47.272727272727266
105.65656565656566,1.7189999999999999,45.95454545454545
108.58585858585859,1.7189999999999999,44.63636363636363
111.51515151515153,1.719681818181818,44.53030303030304
114.44444444444444,1.7209999999999999,45.55555555555556
117.37373737373738,1.7223181818181819,46.58080808080808
120.30303030303031,1.7235454545454545,47.83333333333334
123.23232323232324,1.7239848484848486,51.055555555555564
126.16161616161617,1.7244242424242424,55.20707070707071
129.0909090909091,1.7248636363636365,60.77272727272728
132.02020202020202,1.7214646464646466,66.94444444444444
134.94949494949498,1.7163383838383839,73.38888888888894
137.87878787878788,1.7112121212121212,85.87878787878786
140.80808080808083,1.7068131313131314,91.2020202020201
143.73737373737373,1.7043232323232322,77.43434343434348
146.66666666666669,1.7018333333333333,69.33333333333331
149.59595959595958,1.6993434343434342,65.52525252525254
152.52525252525254,1.6998838383838384,62.22222222222221
155.45454545454547,1.700909090909091,58.999999999999986
158.3838383838384,1.7019343434343435,55.777777777777764
161.31313131313132,1.7031565656565657,54.131313131313135
164.24242424242425,1.7046212121212123,54.42424242424242
167.17171717171718,1.7060858585858587,54.717171717171716
170.1010101010101,1.7075050505050504,55.07575757575758
173.03030303030306,1.7076515151515153,57.272727272727295
175.95959595959596,1.7077979797979799,59.46969696969697
178.88888888888889,1.7079444444444445,61.666666666666664
181.81818181818184,1.708,63.227272727272734
184.74747474747477,1.708,64.39898989898991
187.6767676767677,1.7080000000000002,65.57070707070707
190.60606060606062,1.7080303030303032,66.34848484848484
193.53535353535355,1.7081767676767678,65.6161616161616
196.46464646464648,1.7083232323232322,64.88383838383838
199.3939393939394,1.7084696969696969,64.15151515151516
202.32323232323233,1.7091969696969695,64.11616161616162
205.25252525252526,1.7100757575757575,64.26262626262627
208.1818181818182,1.7109545454545454,64.4090909090909
211.11111111111111,1.7118333333333333,65.27777777777779
214.04040404040404,1.7127121212121212,67.32828282828282
216.96969696969697,1.7135909090909092,69.37878787878788
219.89898989898992,1.714469696969697,71.42929292929294
222.82828282828285,1.714358585858586,75.03535353535356
225.75757575757578,1.7142121212121213,78.69696969696972
228.6868686868687,1.7140656565656565,82.35858585858588
231.61616161616163,1.7135151515151514,85.13131313131315
234.54545454545456,1.7126363636363635,87.18181818181819
237.4747474747475,1.7117575757575756,89.23232323232324
240.40404040404042,1.7109999999999999,90.91919191919192
243.33333333333334,1.7109999999999999,90.33333333333333
246.26262626262627,1.7109999999999999,89.74747474747474
249.1919191919192,1.7109999999999999,89.16161616161617
252.12121212121212,1.7113181818181817,89.74242424242425
255.05050505050505,1.7117575757575756,90.76767676767676
257.97979797979804,1.7121969696969697,91.79292929292932
260.90909090909093,1.7126363636363635,93.40909090909093
263.83838383838383,1.7130757575757576,96.33838383838383
266.7676767676768,1.7135151515151514,99.26767676767679
269.69696969696975,1.7139545454545455,102.19696969696975
272.62626262626264,1.7142626262626262,105.7828282828283
275.55555555555554,1.7145555555555554,109.44444444444443
278.4848484848485,1.7148484848484846,113.10606060606062
281.41414141414145,1.7149999999999999,115.70707070707073
284.34343434343435,1.7149999999999999,117.17171717171718
287.27272727272725,1.7149999999999999,118.63636363636363
290.2020202020202,1.715050505050505,119.9090909090909
293.13131313131316,1.7157828282828282,118.59090909090908
296.0606060606061,1.7165151515151515,117.27272727272725
298.989898989899,1.7172474747474749,115.95454545454544
301.9191919191919,1.7183636363636363,116.26767676767676
304.8484848484849,1.719681818181818,117.43939393939395
307.77777777777777,1.721,118.61111111111111
310.7070707070707,1.722388888888889,119.95959595959597
313.6363636363637,1.724,121.86363636363639
316.5656565656566,1.7256111111111112,123.76767676767678
319.49494949494954,1.7272222222222222,125.6717171717172
322.42424242424244,1.7287121212121213,128.1818181818182
325.3535353535354,1.7301767676767676,130.81818181818184
328.2828282828283,1.731641414141414,133.45454545454547
331.21212121212125,1.7330454545454546,136.51515151515156
334.14141414141415,1.7343636363636363,140.17676767676767
337.0707070707071,1.7356818181818183,143.8383838383839
340.0,1.737,147.5
