Frequency_THz,Absorption_alpha_cm-1
0.14792752293577988,4.9575156012176365
0.20037176758409792,5.628277784395465
0.25913530411145114,6.7905593530433634
0.3145673394495414,7.674962810546617
0.36951567225561543,8.469056054749117
0.4268979082568808,9.649287106637573
0.4863278227791453,10.899361346072837
0.536262560829677,11.87692722273519
0.5920279275464598,12.644127577486273
0.647962254259502,14.42303827395044
0.7067200978593274,15.740149549114179
0.7641328759473475,17.325133517569697
0.8219465927032218,19.05903655801302
0.8778966844463411,20.52473176147565
0.9308008673894913,20.792574710161375
0.9866245155515773,21.98491132439902
1.038647603669725,24.016862170616804
1.0942103486238532,25.869250325343444
1.1514874617737005,27.902087114701587
1.2054649541284403,29.422624282870828
1.2614150458715598,31.116202507906877
1.3173651376146789,33.10995720095586
1.3733152293577984,34.290691153362545
1.4292653211009174,35.96352802716311
1.485215412844037,38.213745750573935
1.541165504587156,40.747003034590975
1.5971155963302754,42.92214822620301
1.6530656880733945,45.12115790060774
1.7090157798165135,47.20956229012995
1.764965871559633,49.53036201358644
1.820915963302752,51.250129518896
1.8768660550458716,52.82930562385356
1.9328161467889906,54.350909109074586
1.98876623853211,56.056387257131696
2.044716330275229,57.447254535169215
2.1006664220183486,59.489463334254324
2.1566165137614677,61.006327121189685
2.212566605504587,62.75167821024284
2.268516697247706,64.90585165837393
2.3244667889908257,66.77255917663715
2.3804168807339448,68.20049927207397
2.4363669724770642,69.37174093684663
2.4930056807339462,70.31512038338768
2.555250368771362,71.08761489320852
2.6106730275229357,71.93658942620658
2.6572002891298303,72.30422794520547
