Frequency_THz,Refractive_index_n
0.20334915771854897,1.745150586752245
0.2698410918275992,1.7405450747746323
0.3338344396144579,1.7372089434295273
0.39784157007061316,1.7347094201107112
0.46187805447188857,1.7339916812606981
0.5258430821686753,1.728936520448209
0.5898506287008856,1.726462252945943
0.6538459886406368,1.7232482592814093
0.7178640069756738,1.721409630210721
0.7818855391046646,1.7197842884330272
0.8458839423645546,1.7167550243009162
0.9099046802062689,1.7150814692855336
0.9739349826939121,1.7139884882780456
1.0379323083442444,1.7108938132457734
1.1019509159123932,1.709090950624982
1.165989778488121,1.7085175669642216
1.229987833945841,1.7054671912403965
1.2939844073397413,1.7023268542426957
1.3579827363487194,1.699293083080251
1.4220240204571413,1.6988666864540207
1.4860260289930787,1.6960562625779787
1.5500366368315794,1.6937678163675407
1.6140365772164744,1.6908318557232316
1.6780664168483852,1.6897107793727848
1.7420379085187903,1.6850479817589452
1.8060751727111937,1.684377576230382
1.8700922576442864,1.6824822896616736
1.9340944201375239,1.679681210993763
1.9981185939912467,1.6782162219072951
2.0621315616026323,1.6760710139109691
2.126108543135064,1.671741450922162
2.1901356605843496,1.6704551380863424
2.2541557426675327,1.6687417785281256
2.3181537298172663,1.6656872565095162
2.3821503155851937,1.6625476706152778
2.4461603039885094,1.6602216246891084
2.5102350092239187,1.6618238904710243
2.5742164088096864,1.6577625033196979
2.638201285376973,1.653912168946554
2.7022211936923766,1.6521882616840964
2.766249003921794,1.650944000602344
2.8302096396543743,1.6456222475625089
2.8850608692449926,1.642749876278083
