timestamp,position_mm,x,y,r,theta
1762362077.6460552,0.003662109375,,,,
1762362077.8495808,1.22216796875,-6.8353261895e-07,-5.9365070229e-06,5.9757285271e-06,-96.568130493
1762362078.0473144,3.28515625,-3.6569638269e-06,-7.6397800512e-06,8.4699258878e-06,-115.57920837
1762362078.251243,5.33740234375,4.2476635826e-06,-5.1467708317e-07,4.2787310122e-06,-6.9086852074
1762362078.4490306,7.302490234375,1.8118058506e-05,2.1418340111e-05,2.8053686037e-05,49.77167511
1762362078.6527503,9.35595703125,1.0971833944e-05,2.5774630558e-05,2.8012724215e-05,66.941345215
1762362078.8565207,11.386474609375,3.7301774682e-06,1.1778463886e-05,1.2355017134e-05,72.427276611
1762362079.0543394,13.373779296875,7.6110272857e-06,1.2017840163e-05,1.4225196537e-05,57.653476715
1762362079.2580495,15.408935546875,1.1271733456e-05,2.2301410354e-05,2.4988095902e-05,63.186733246
1762362079.4560113,17.390380859375,1.0240632946e-05,1.8812499547e-05,2.1419167751e-05,61.438217163
1762362079.6598487,19.432373046875,-2.3354903078e-06,1.3333013158e-05,1.3536016013e-05,99.935462952
1762362079.8577018,21.402587890625,-1.00769239e-05,1.3168000805e-05,1.6581334421e-05,127.42531586
1762362080.0622005,23.444580078125,3.7123552374e-06,4.0472068576e-06,5.4919455579e-06,47.470970154
1762362080.2594674,25.42333984375,1.301062639e-05,-2.4818041311e-06,1.3245216905e-05,-10.79955101
1762362080.4637742,27.4658203125,-2.0613759943e-07,9.1109668574e-06,9.1132988018e-06,91.296096802
1762362080.6673412,29.504150390625,-1.3782645283e-06,1.1823592104e-05,1.1903653103e-05,96.648895264
1762362080.8649793,31.486083984375,1.1874696611e-05,7.2757748057e-06,1.3926424799e-05,31.496318817
1762362081.068594,33.535400390625,5.5307891671e-06,6.8087488216e-06,8.7720409283e-06,50.912826538
1762362081.2725084,35.577392578125,-3.8199868868e-06,8.6391064542e-06,9.4459765023e-06,113.85375214
1762362081.4704142,37.552734375,6.7512046371e-06,9.2449681688e-06,1.1447627912e-05,53.860935211
1762362081.674592,39.582763671875,9.9538210634e-06,2.3003894967e-05,2.5065070076e-05,66.601783752
1762362081.872302,41.56787109375,-8.0270439184e-07,2.3129043257e-05,2.3142967621e-05,91.987678528
1762362082.0760384,43.600341796875,2.9763000384e-06,1.7863572793e-05,1.8109822122e-05,80.540672302
1762362082.2736015,45.57666015625,8.8066644821e-06,1.884707126e-05,2.0803110601e-05,64.954742432
1762362082.47747,47.62890625,1.4629495126e-06,2.5786765036e-05,2.58282289e-05,86.752937317
