timestamp,position_mm,x,y,r,theta
1758127834.5396698,0.000732421875,,,,
1758127834.7405531,1.25439453125,3.3118179999e-05,2.8601001759e-05,4.3758787797e-05,40.814029694
1758127834.9418423,3.2978515625,-9.6232533906e-06,-3.886928971e-05,4.0042832552e-05,-103.90565491
1758127835.1429536,5.2744140625,-2.3756570954e-05,3.4022603359e-05,4.1495932237e-05,124.92498779
1758127835.3439674,7.321533203125,4.1793431592e-05,-1.5325123968e-05,4.4514606998e-05,-20.137348175
1758127835.5454772,9.294921875,3.5596935049e-05,-7.5408834164e-06,3.6386900319e-05,-11.960757256
1758127835.7469988,11.339599609375,-4.6400680731e-05,-4.5566048357e-06,4.6623878006e-05,-174.39146423
1758127835.9493458,13.313720703125,-7.3828264249e-06,-3.9054611989e-05,3.9746308175e-05,-100.70478058
1758127836.150594,15.3505859375,-2.9669488868e-05,3.9849572204e-05,4.9681657401e-05,126.66904449
1758127836.3517187,17.3984375,-3.3748699934e-05,3.4816948755e-05,4.8489117034e-05,134.10740662
1758127836.5529144,19.373291015625,3.9043658035e-05,1.148632964e-05,4.0698192606e-05,16.393457413
1758127836.7550542,21.410400390625,3.1807430787e-05,-3.3436437661e-05,4.6148761612e-05,-46.43025589
1758127836.956372,23.385498046875,3.8260310248e-05,1.3538170606e-05,4.0584891394e-05,19.486003876
1758127837.1579509,25.428955078125,-4.3349926273e-05,-7.681705938e-06,4.4025273382e-05,-169.95135498
1758127837.359079,27.406982421875,-2.1442319849e-05,-3.0413937566e-05,3.7212641473e-05,-125.18443298
1758127837.5600917,29.42626953125,2.3536540539e-05,3.5653170926e-05,4.2721389036e-05,56.569087982
1758127837.7612731,31.439208984375,-3.7151003198e-05,2.5063784051e-05,4.4815067668e-05,145.99456787
1758127837.9624562,33.4677734375,4.1334569687e-05,-8.0339068518e-06,4.2108080379e-05,-10.999036789
1758127838.163439,35.5087890625,4.1395735025e-05,-2.1784130695e-06,4.1453011363e-05,-3.0123608112
1758127838.3645186,37.48681640625,-2.7205607694e-05,-2.3760860131e-05,3.6120956793e-05,-138.86665344
1758127838.5659034,39.523193359375,-1.829467692e-05,3.8261561713e-05,4.2410400056e-05,115.55467987
1758127838.76769,41.504150390625,3.2991018088e-05,-1.7401391233e-05,3.7299003452e-05,-27.809783936
1758127838.969095,43.53076171875,3.6266057577e-05,-1.4829007569e-06,3.6296361941e-05,-2.3414912224
1758127839.17115,45.576416015625,1.6807482098e-05,-4.8087429604e-05,5.0940081564e-05,-70.734489441
1758127839.3730183,47.55810546875,-1.765172965e-05,-4.0513416025e-05,4.419186007e-05,-113.54278564
