timestamp,position_mm,x,y,r,theta
1758040232.355553,0.0,-2.0110102923e-05,-3.4605713154e-05,4.0024635382e-05,-120.16175079
1758040232.5881875,1.524658203125,-3.2672349334e-05,-1.9778650312e-05,3.8192636566e-05,-148.81080627
1758040232.8211963,3.82080078125,-3.1233204936e-05,1.2660690118e-05,3.3701722714e-05,157.93432617
1758040233.0543563,6.14501953125,-1.6071124264e-05,3.6581412132e-05,3.9955983084e-05,113.71707153
1758040233.2879496,8.4775390625,-1.0197761185e-05,3.7266101572e-05,3.8636208046e-05,105.30414581
1758040233.519667,10.819091796875,5.1108054322e-06,3.8820329792e-05,3.9155311242e-05,82.499977112
1758040233.7520874,13.14990234375,2.9367742172e-05,3.0446000892e-05,4.2301577196e-05,46.032752991
1758040233.9838362,15.443603515625,2.2755233658e-05,-4.0240094677e-05,4.6228407882e-05,-60.512420654
1758040234.2247849,17.899658203125,2.1225414457e-05,-3.310253669e-05,3.9322967496e-05,-57.331916809
1758040234.4556534,20.1728515625,-3.1839448638e-05,-2.6463429094e-05,4.1401250201e-05,-140.26824951
1758040234.6917858,22.511962890625,-3.5296936403e-05,-7.94828793e-06,3.6180783354e-05,-167.30960083
1758040234.924512,24.84130859375,1.3604973219e-06,4.103635365e-05,4.1058898205e-05,88.101135254
1758040235.1608055,27.187744140625,-1.4053078985e-06,3.84732557e-05,3.8498914364e-05,92.091896057
1758040235.3924656,29.518798828125,3.4448949009e-05,-8.9367886176e-06,3.5589273466e-05,-14.543150902
1758040235.6301334,31.929443359375,3.5309680243e-05,-9.044782928e-06,3.6449713662e-05,-14.36771965
1758040235.8612866,34.21337890625,2.0013512767e-06,-4.0081115003e-05,4.01310499e-05,-87.141448975
1758040236.0973837,36.613037109375,-2.2392432797e-08,-3.7427482312e-05,3.7427489588e-05,-90.03427124
1758040236.3280344,38.87841796875,-3.1529420085e-05,-1.1987471225e-05,3.3731343137e-05,-159.18319702
1758040236.565143,41.27392578125,-3.7416753912e-05,6.6024804255e-06,3.7994821469e-05,169.99272156
1758040236.796336,43.55517578125,1.144399539e-05,3.5844837839e-05,3.7627349229e-05,72.293540955
1758040237.0348969,45.955322265625,2.549193232e-05,2.6156261811e-05,3.6523808376e-05,45.736930847
1758040237.2671394,48.305419921875,2.9585113225e-05,-1.2275031622e-05,3.2030537113e-05,-22.533842087
