Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
94	300.000	0.004	299.999	0.724	4.063	1.991	1783020357.043
95	300.000	0.047	300.001	0.696	2.679	1.991	1783020357.297
96	300.000	-0.035	300.001	0.521	1.449	1.991	1783020357.530
97	300.000	0.032	299.999	0.663	0.056	1.991	1783020357.800
98	300.000	0.039	300.001	0.594	5.223	1.991	1783020358.039
99	300.000	0.045	299.998	0.582	3.877	1.991	1783020358.294
100	300.000	0.075	300.001	0.702	2.589	1.991	1783020358.529
101	300.000	-0.012	300.002	0.543	1.274	1.991	1783020358.796
102	300.000	0.007	300.001	0.684	0.085	1.991	1783020359.050
103	300.000	-0.042	299.997	0.588	5.211	1.991	1783020359.297
104	300.000	0.047	300.001	0.768	3.863	1.991	1783020359.543
105	300.000	-0.034	300.000	0.665	2.435	1.991	1783020359.815
106	300.000	-0.046	300.003	0.708	1.179	1.991	1783020360.050
107	300.000	-0.016	299.998	0.659	6.073	1.991	1783020360.296
108	300.000	0.006	300.000	0.581	5.120	1.991	1783020360.549
109	300.000	0.010	300.001	0.685	3.631	1.991	1783020360.796
110	300.000	-0.013	300.002	0.725	2.325	1.991	1783020361.046
111	300.000	-0.006	300.003	0.701	1.133	1.991	1783020361.299
112	300.000	-0.019	300.001	0.706	6.100	1.991	1783020361.556
113	300.000	-0.005	299.997	0.526	5.268	1.991	1783020361.797
114	300.000	-0.063	299.999	0.564	3.822	1.991	1783020362.050
115	300.000	0.040	300.002	0.667	2.403	1.991	1783020362.301
116	300.000	-0.029	300.002	0.710	1.133	1.991	1783020362.511
117	300.000	-0.014	300.000	0.661	6.245	1.991	1783020362.793
118	300.000	-0.016	300.001	0.675	5.070	1.991	1783020363.040
119	300.000	0.044	300.003	0.614	3.905	1.991	1783020363.318
120	300.000	0.035	299.998	0.695	2.335	1.991	1783020363.557
121	300.000	-0.102	300.000	0.529	1.021	1.991	1783020363.779
122	300.000	0.023	300.001	0.597	6.071	1.991	1783020364.048
123	300.000	0.019	300.000	0.677	4.825	1.991	1783020364.297
124	300.000	-0.000	300.000	0.588	3.474	1.991	1783020364.550
125	300.000	0.005	300.002	0.712	2.311	1.991	1783020364.779
126	300.000	0.016	300.002	0.699	1.126	1.991	1783020365.051
127	300.000	0.012	299.998	0.632	5.901	1.991	1783020365.299
128	300.000	0.004	299.996	0.652	4.787	1.991	1783020365.532
129	300.000	0.012	300.000	0.605	3.482	1.991	1783020365.795
130	300.000	0.012	299.998	0.715	2.271	1.991	1783020366.059
131	300.000	0.021	300.002	0.818	0.859	1.991	1783020366.295
132	300.000	-0.042	300.000	0.686	5.884	1.991	1783020366.543
133	300.000	0.032	299.999	0.565	4.736	1.991	1783020366.811
134	300.000	-0.034	300.002	0.623	3.393	1.991	1783020367.037
