Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	800.000	-0.029	800.787	0.113	3.099	1772054563.624
2	800.000	0.013	800.633	0.051	2.101	1772054563.879
3	800.000	0.009	800.468	0.056	5.664	1772054564.181
4	800.000	0.000	800.351	0.113	3.395	1772054564.428
5	800.000	0.010	800.261	0.160	0.482	1772054564.687
6	800.000	-0.024	800.193	0.055	1.700	1772054564.917
7	800.000	-0.019	800.141	0.056	5.418	1772054565.191
8	800.000	0.013	800.098	0.030	0.330	1772054565.441
9	800.000	-0.057	800.082	0.069	5.285	1772054565.690
10	800.000	-0.050	800.061	0.120	4.075	1772054565.936
11	800.000	-0.004	800.049	0.077	5.562	1772054566.169
12	800.000	0.014	800.043	0.072	6.261	1772054566.449
13	800.000	-0.001	800.030	0.095	5.676	1772054566.753
14	800.000	-0.022	800.032	0.081	6.022	1772054567.008
15	800.000	-0.013	800.025	0.044	5.202	1772054567.247
16	800.000	0.032	800.021	0.130	0.347	1772054567.487
17	800.000	0.015	800.022	0.175	0.034	1772054567.719
18	800.000	-0.022	800.020	0.110	0.138	1772054567.996
19	800.000	-0.024	800.018	0.128	0.459	1772054568.255
20	800.000	0.002	800.016	0.082	6.120	1772054568.563
21	800.000	0.019	800.015	0.101	0.464	1772054568.865
22	800.000	-0.004	800.015	0.086	0.688	1772054569.102
23	800.000	0.013	800.010	0.140	0.643	1772054569.348
24	800.000	-0.010	800.012	0.081	0.662	1772054569.664
25	800.000	-0.017	800.008	0.082	0.406	1772054569.958
26	800.000	-0.008	800.010	0.072	0.985	1772054570.190
27	800.000	-0.015	800.008	0.036	0.835	1772054570.460
28	800.000	0.007	800.006	0.017	5.789	1772054570.711
29	800.000	-0.037	800.004	0.105	0.338	1772054570.983
30	800.000	-0.034	800.009	0.075	0.683	1772054571.232
31	800.000	0.035	800.005	0.080	0.636	1772054571.519
32	800.000	-0.005	800.006	0.084	1.014	1772054571.807
33	800.000	-0.017	800.003	0.079	6.141	1772054572.069
34	800.000	0.021	800.008	0.113	0.453	1772054572.284
35	800.000	0.013	800.001	0.093	0.829	1772054572.554
36	800.000	-0.016	800.005	0.044	0.688	1772054572.816
37	800.000	0.008	800.002	0.098	0.738	1772054573.137
38	800.000	0.046	800.002	0.074	0.429	1772054573.423
39	800.000	0.011	800.006	0.058	0.135	1772054573.675
40	800.000	-0.025	800.003	0.007	0.860	1772054573.945
41	800.000	0.006	800.004	0.118	0.395	1772054574.227
42	800.000	0.032	800.004	0.123	6.253	1772054574.480
43	800.000	-0.014	799.998	0.161	0.196	1772054574.732
44	800.000	-0.038	800.000	0.138	0.486	1772054575.008
45	800.000	0.007	800.002	0.095	0.577	1772054575.284
46	800.000	-0.042	800.000	0.123	0.347	1772054575.552
47	800.000	0.001	800.003	0.164	0.302	1772054575.790
48	800.000	0.011	799.999	0.080	1.008	1772054576.038
49	800.000	0.002	800.004	0.041	1.015	1772054576.287
50	800.000	0.016	799.999	0.095	0.845	1772054576.563
51	800.000	-0.003	800.002	0.092	0.437	1772054576.828
