Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
106	100.000	-0.006	99.996	5.550	4.476	1783098458.372
107	100.000	-0.009	100.002	5.632	4.502	1783098458.627
108	100.000	-0.039	100.000	5.471	4.476	1783098458.933
109	100.000	-0.046	100.002	5.430	4.502	1783098459.174
110	100.000	-0.005	100.002	5.394	4.476	1783098459.426
111	100.000	0.051	99.999	5.432	4.482	1783098459.672
112	100.000	-0.029	100.004	5.295	4.487	1783098459.961
113	100.000	0.016	100.000	5.374	4.493	1783098460.209
114	100.000	-0.051	99.998	5.253	4.478	1783098460.487
115	100.000	-0.032	99.997	5.428	4.503	1783098460.723
116	100.000	0.058	100.001	5.543	4.488	1783098460.992
117	100.000	0.077	100.000	5.634	4.492	1783098461.222
118	100.000	-0.026	100.001	5.375	4.471	1783098461.494
119	100.000	-0.014	99.992	5.354	4.493	1783098461.748
120	100.000	0.010	99.999	5.399	4.498	1783098462.039
121	100.000	0.001	100.001	5.330	4.478	1783098462.303
122	100.000	-0.000	99.994	5.346	4.472	1783098462.560
123	100.000	0.009	99.998	5.355	4.492	1783098462.874
124	100.000	0.008	100.001	5.377	4.494	1783098463.166
125	100.000	-0.008	100.003	5.433	4.457	1783098463.437
126	100.000	0.020	100.004	5.472	4.496	1783098463.720
127	100.000	0.014	100.003	5.198	4.505	1783098463.981
128	100.000	0.031	100.003	5.372	4.506	1783098464.230
129	100.000	0.027	100.003	5.430	4.505	1783098464.497
130	100.000	0.038	99.997	5.115	4.502	1783098464.757
131	100.000	0.039	100.001	5.590	4.495	1783098465.048
132	100.000	-0.051	99.999	5.327	4.493	1783098465.275
133	100.000	0.001	100.002	5.305	4.492	1783098465.544
134	100.000	-0.038	99.998	5.438	4.484	1783098465.788
135	100.000	0.046	100.002	5.461	4.490	1783098466.034
136	100.000	-0.001	99.997	5.201	4.475	1783098466.295
137	100.000	-0.022	99.997	5.247	4.480	1783098466.551
138	100.000	0.018	100.001	5.409	4.475	1783098466.809
139	100.000	0.015	100.000	5.322	4.463	1783098467.050
140	100.000	-0.015	99.999	5.336	4.455	1783098467.307
141	100.000	0.010	99.999	5.269	4.472	1783098467.521
142	100.000	0.011	99.998	5.335	4.467	1783098467.821
143	100.000	-0.014	99.999	5.264	4.483	1783098468.119
144	100.000	0.001	99.998	5.446	4.491	1783098468.386
145	100.000	-0.030	99.998	5.421	4.455	1783098468.697
146	100.000	-0.034	100.004	5.360	4.468	1783098469.005
147	100.000	-0.026	100.000	5.428	4.457	1783098469.286
148	100.000	0.011	99.998	5.557	4.473	1783098469.562
149	100.000	-0.009	99.999	5.336	4.473	1783098469.782
150	100.000	0.000	99.998	5.256	4.468	1783098470.061
151	100.000	0.023	100.005	5.403	4.469	1783098470.286
152	100.000	0.048	100.001	5.541	4.484	1783098470.560
153	100.000	-0.009	100.000	5.370	4.469	1783098470.794
154	100.000	0.037	100.001	5.422	4.482	1783098471.033
155	100.000	0.006	100.001	5.433	4.474	1783098471.304
156	100.000	0.027	99.997	5.355	4.476	1783098471.528
157	100.000	-0.009	99.999	3.363	4.420	1783098471.789
158	100.000	-0.052	99.997	0.484	1.457	1783098472.031
159	100.000	0.004	100.003	0.269	3.397	1783098472.304
160	100.000	0.006	100.001	0.245	3.576	1783098472.551
161	100.000	-0.027	100.000	0.350	3.013	1783098472.772
162	100.000	-0.008	99.998	1.085	4.126	1783098473.055
163	100.000	-0.036	99.998	0.251	4.124	1783098473.289
164	100.000	0.025	99.999	0.552	3.566	1783098473.542
165	100.000	-0.020	99.997	0.752	1.342	1783098473.765
166	100.000	0.032	100.001	0.798	1.697	1783098474.060
167	100.000	0.028	100.001	0.700	1.051	1783098474.309
168	100.000	0.017	99.997	0.277	0.114	1783098474.563
169	100.000	0.006	99.999	0.504	5.299	1783098474.849
170	100.000	-0.008	100.002	0.389	5.700	1783098475.126
171	100.000	0.006	100.003	0.676	5.124	1783098475.422
172	100.000	-0.005	100.001	0.501	0.048	1783098475.675
173	100.000	-0.004	99.997	0.656	5.730	1783098475.912
174	100.000	0.003	100.000	0.737	0.734	1783098476.189
175	100.000	0.010	99.998	0.231	5.422	1783098476.490
176	100.000	0.027	100.001	0.291	0.610	1783098476.752
177	100.000	-0.021	100.004	0.647	0.640	1783098476.994
178	100.000	0.014	100.002	0.838	0.907	1783098477.254
179	100.000	-0.004	100.002	1.608	0.913	1783098477.550
180	100.000	-0.027	100.001	0.762	0.556	1783098477.798
181	100.000	-0.005	100.000	0.628	0.126	1783098478.071
182	100.000	0.005	100.000	0.456	5.380	1783098478.355
183	100.000	0.006	99.999	0.402	0.984	1783098478.629
184	100.000	0.017	100.000	0.401	0.757	1783098478.928
185	100.000	-0.020	99.999	1.039	0.984	1783098479.189
186	100.000	0.000	99.998	1.129	0.975	1783098479.490
187	100.000	-0.021	100.001	0.413	5.398	1783098479.730
188	100.000	0.000	99.999	0.405	0.681	1783098479.998
189	100.000	0.014	100.001	0.208	4.077	1783098480.291
190	100.000	-0.006	99.999	1.238	1.171	1783098480.536
191	100.000	-0.002	100.001	1.092	1.118	1783098480.797
192	100.000	0.014	100.000	1.984	1.130	1783098481.120
193	100.000	-0.018	99.999	0.432	0.138	1783098481.361
194	100.000	0.019	100.002	0.717	0.505	1783098481.617
195	100.000	-0.021	100.002	0.170	1.978	1783098481.882
196	100.000	-0.031	99.997	0.439	3.320	1783098482.175
197	100.000	-0.010	100.002	0.435	1.740	1783098482.427
198	100.000	0.004	99.994	0.991	1.372	1783098482.684
199	100.000	-0.006	100.001	0.719	1.308	1783098482.941
200	100.000	0.024	99.998	0.264	1.712	1783098483.192
201	100.000	-0.036	99.998	0.201	3.739	1783098483.491
202	100.000	0.012	99.998	0.581	4.948	1783098483.739
203	100.000	-0.017	100.002	0.136	4.838	1783098483.980
204	100.000	-0.010	99.998	0.350	5.663	1783098484.233
205	100.000	0.015	100.000	0.318	0.204	1783098484.463
206	100.000	0.007	99.996	0.741	1.280	1783098484.761
207	100.000	-0.028	100.001	1.468	1.355	1783098485.068
208	100.000	0.003	99.998	0.579	1.959	1783098485.293
209	100.000	0.015	99.998	0.688	2.485	1783098485.563
210	100.000	0.034	99.995	0.303	2.018	1783098485.811
211	100.000	0.010	99.995	0.349	2.428	1783098486.045
212	100.000	0.014	100.000	0.472	1.381	1783098486.304
213	100.000	0.019	100.004	0.563	1.394	1783098486.537
214	100.000	-0.052	100.000	0.334	1.388	1783098486.802
215	100.000	0.022	100.002	0.199	0.898	1783098487.051
216	100.000	0.022	100.000	0.718	1.389	1783098487.299
217	100.000	0.001	100.000	0.597	1.174	1783098487.553
218	100.000	0.032	99.995	0.219	6.281	1783098487.809
219	100.000	-0.025	99.999	0.205	4.435	1783098488.067
220	100.000	0.035	100.000	0.395	1.957	1783098488.296
221	100.000	-0.021	99.998	0.417	3.867	1783098488.557
222	100.000	-0.057	100.004	0.794	1.616	1783098488.775
223	100.000	-0.004	100.001	0.604	1.308	1783098489.058
224	100.000	-0.008	100.002	0.422	3.946	1783098489.291
225	100.000	0.010	100.001	0.829	1.376	1783098489.545
226	100.000	-0.045	100.003	0.289	3.226	1783098489.803
227	100.000	0.022	99.999	0.548	3.353	1783098490.053
228	100.000	0.047	99.998	1.083	1.463	1783098490.328
229	100.000	-0.052	100.000	0.518	2.037	1783098490.570
230	100.000	-0.001	100.002	0.607	1.349	1783098490.811
231	100.000	-0.002	99.997	1.007	1.319	1783098491.058
232	100.000	0.010	100.001	0.438	1.032	1783098491.351
233	100.000	0.028	100.006	1.268	1.196	1783098491.673
234	100.000	-0.013	100.004	1.232	1.081	1783098491.958
235	100.000	0.005	99.997	4.326	4.065	1783098492.224
236	100.000	-0.048	100.007	4.426	4.052	1783098492.447
237	100.000	-0.028	100.001	4.569	4.045	1783098492.725
238	100.000	0.006	100.001	4.472	4.026	1783098492.958
239	100.000	-0.071	100.001	4.544	4.043	1783098493.234
240	100.000	-0.064	99.999	4.656	4.047	1783098493.494
241	100.000	-0.044	100.000	4.537	4.043	1783098493.797
242	100.000	-0.008	99.999	4.585	4.066	1783098494.013
243	100.000	-0.005	99.999	4.402	4.043	1783098494.284
244	100.000	0.019	99.999	4.614	4.383	1783098494.539
245	100.000	0.008	100.001	1.264	5.890	1783098494.830
246	100.000	-0.024	99.999	4.568	1.158	1783098495.102
247	100.000	0.023	100.001	3.136	1.384	1783098495.397
248	100.000	0.007	100.001	2.388	3.649	1783098495.654
249	100.000	-0.002	100.001	5.010	4.256	1783098495.931
250	100.000	0.045	99.997	1.814	5.225	1783098496.225
251	100.000	0.074	100.000	4.034	1.038	1783098496.449
252	100.000	-0.025	99.999	4.724	1.225	1783098496.713
253	100.000	0.041	99.999	1.618	1.938	1783098496.964
254	100.000	-0.008	100.003	4.228	4.065	1783098497.242
255	100.000	0.023	99.997	4.017	4.488	1783098497.525
256	100.000	-0.034	100.002	1.707	0.574	1783098497.789
257	100.000	0.024	99.998	4.927	1.197	1783098498.021
258	100.000	0.003	100.003	3.543	1.343	1783098498.295
259	100.000	-0.007	99.998	1.949	3.619	1783098498.541
260	100.000	0.047	100.004	4.997	4.224	1783098498.809
261	100.000	0.028	100.003	2.324	4.876	1783098499.093
262	100.000	-0.046	99.999	3.426	0.923	1783098499.340
263	100.000	0.029	100.000	5.017	1.195	1783098499.577
264	100.000	0.001	100.005	2.175	1.585	1783098499.853
265	100.000	0.029	100.000	4.104	3.985	1783098500.105
266	100.000	0.022	99.996	5.000	4.343	1783098500.370
267	100.000	0.005	100.003	1.380	5.882	1783098500.650
268	100.000	0.002	100.002	4.374	1.091	1783098500.935
269	100.000	0.015	99.999	3.812	1.325	1783098501.218
270	100.000	0.025	100.000	2.102	3.594	1783098501.483
271	100.000	-0.024	100.000	5.306	4.243	1783098501.743
272	100.000	0.022	99.999	2.249	5.081	1783098502.034
273	100.000	-0.018	99.999	3.855	0.920	1783098502.309
274	100.000	0.040	100.000	4.347	1.239	1783098502.597
275	100.000	-0.008	100.002	1.219	2.327	1783098502.851
276	100.000	-0.017	99.998	4.575	4.033	1783098503.088
277	100.000	-0.015	100.000	4.275	4.425	1783098503.363
278	100.000	0.051	100.000	1.682	0.525	1783098503.659
279	100.000	-0.035	100.004	4.801	1.184	1783098503.912
280	100.000	0.006	100.001	3.212	1.362	1783098504.151
281	100.000	-0.016	99.997	1.905	3.490	1783098504.415
282	100.000	0.013	99.999	4.882	4.117	1783098504.658
283	100.000	-0.003	100.000	2.098	4.641	1783098504.939
284	100.000	-0.026	99.998	3.294	1.146	1783098505.244
285	100.000	0.009	100.002	4.148	1.305	1783098505.539
286	100.000	0.007	100.003	1.142	2.473	1783098505.792
287	100.000	0.032	100.000	4.698	4.094	1783098506.119
288	100.000	-0.008	99.999	2.260	4.686	1783098506.399
289	100.000	0.013	100.002	2.901	0.961	1783098506.673
290	100.000	-0.008	99.999	4.714	1.176	1783098506.914
291	100.000	0.019	100.001	2.222	1.357	1783098507.143
292	100.000	-0.040	100.002	2.804	3.816	1783098507.411
293	100.000	0.008	99.997	4.498	4.191	1783098507.644
294	100.000	-0.019	99.998	1.253	4.943	1783098507.926
295	100.000	-0.006	99.999	3.962	1.109	1783098508.227
296	100.000	-0.006	100.000	3.937	1.197	1783098508.455
297	100.000	0.002	99.997	1.080	2.054	1783098508.725
298	100.000	0.021	100.005	4.689	4.084	1783098509.046
299	100.000	-0.015	100.003	2.433	4.480	1783098509.343
300	100.000	-0.007	100.000	3.090	1.212	1783098509.606
301	100.000	-0.031	99.996	4.377	1.289	1783098509.912
302	100.000	-0.010	100.004	1.260	1.981	1783098510.163
303	100.000	-0.015	100.000	4.045	3.984	1783098510.418
304	100.000	0.031	99.999	4.358	4.329	1783098510.643
305	100.000	-0.006	99.998	0.762	5.954	1783098510.915
306	100.000	0.009	100.003	4.123	1.181	1783098511.153
307	100.000	-0.038	100.000	4.284	1.328	1783098511.398
308	100.000	-0.010	100.002	0.928	2.401	1783098511.662
309	100.000	0.032	99.998	4.049	4.013	1783098511.908
310	100.000	-0.010	100.003	3.653	4.312	1783098512.165
311	100.000	0.005	100.000	0.794	0.094	1783098512.389
312	100.000	0.020	100.002	3.976	1.192	1783098512.664
313	100.000	0.014	99.996	3.769	1.316	1783098512.897
314	100.000	-0.033	99.997	1.191	2.841	1783098513.176
315	100.000	-0.012	99.999	4.396	4.078	1783098513.481
316	100.000	0.005	99.999	1.741	4.654	1783098513.772
317	100.000	0.003	100.000	3.192	1.055	1783098514.032
318	100.000	-0.003	100.001	4.014	1.228	1783098514.287
319	100.000	-0.001	100.003	1.374	1.560	1783098514.532
320	100.000	-0.018	99.997	3.475	3.932	1783098514.803
