Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
1	300.000	-0.019	300.000	0.370	0.883	1.991	1771524961.310	1771524961.310	1771524961.310	1771524961.310	1771524961.310	1771524961.310
2	300.000	0.023	300.001	0.477	0.922	1.991	1771524961.572	1771524961.572	1771524961.572	1771524961.572	1771524961.572	1771524961.572
3	300.000	-0.020	300.003	0.510	0.745	1.991	1771524961.808	1771524961.808	1771524961.808	1771524961.808	1771524961.808	1771524961.808
4	300.000	0.035	300.000	0.390	0.665	1.991	1771524962.044	1771524962.044	1771524962.044	1771524962.044	1771524962.044	1771524962.044
5	300.000	-0.040	300.001	0.372	0.395	1.991	1771524962.254	1771524962.254	1771524962.254	1771524962.254	1771524962.254	1771524962.254
6	300.000	0.002	300.004	0.394	0.750	1.991	1771524962.505	1771524962.505	1771524962.505	1771524962.505	1771524962.505	1771524962.505
7	300.000	-0.057	300.002	0.386	0.748	1.991	1771524962.749	1771524962.749	1771524962.749	1771524962.749	1771524962.749	1771524962.749
8	300.000	0.051	300.000	0.453	0.702	1.991	1771524963.014	1771524963.014	1771524963.014	1771524963.014	1771524963.014	1771524963.014
9	300.000	0.008	300.000	0.435	0.738	1.991	1771524963.254	1771524963.254	1771524963.254	1771524963.254	1771524963.254	1771524963.254
10	300.000	-0.026	300.001	0.440	0.641	1.991	1771524963.496	1771524963.496	1771524963.496	1771524963.496	1771524963.496	1771524963.496
11	300.000	-0.013	300.003	0.538	0.975	1.991	1771524963.677	1771524963.677	1771524963.677	1771524963.677	1771524963.677	1771524963.677
12	300.000	-0.080	299.997	0.599	0.764	1.991	1771524963.860	1771524963.860	1771524963.860	1771524963.860	1771524963.860	1771524963.860
13	300.000	0.049	300.001	0.511	0.789	1.991	1771524964.050	1771524964.050	1771524964.050	1771524964.050	1771524964.050	1771524964.050
14	300.000	0.021	300.004	0.441	0.807	1.991	1771524964.228	1771524964.228	1771524964.228	1771524964.228	1771524964.228	1771524964.228
