Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
45	200.000	0.005	200.000	3.442	4.748	1.328	1771524106.789	1771524106.789	1771524106.789	1771524106.789	1771524106.789	1771524106.789
46	200.000	-0.021	200.003	3.247	4.702	1.328	1771524107.034	1771524107.034	1771524107.034	1771524107.034	1771524107.034	1771524107.034
47	200.000	0.015	199.998	3.329	4.737	1.328	1771524107.268	1771524107.268	1771524107.268	1771524107.268	1771524107.268	1771524107.268
48	200.000	0.008	200.000	3.408	4.670	1.328	1771524107.524	1771524107.524	1771524107.524	1771524107.524	1771524107.524	1771524107.524
49	200.000	-0.067	200.002	3.339	4.722	1.328	1771524107.770	1771524107.770	1771524107.770	1771524107.770	1771524107.770	1771524107.770
50	200.000	-0.025	200.004	3.298	4.660	1.328	1771524107.993	1771524107.993	1771524107.993	1771524107.993	1771524107.993	1771524107.993
51	200.000	-0.060	200.005	3.345	4.698	1.328	1771524108.204	1771524108.204	1771524108.204	1771524108.204	1771524108.204	1771524108.204
52	200.000	-0.032	200.000	3.310	4.652	1.328	1771524108.436	1771524108.436	1771524108.436	1771524108.436	1771524108.436	1771524108.436
53	200.000	0.007	199.997	3.310	4.669	1.328	1771524108.632	1771524108.632	1771524108.632	1771524108.632	1771524108.632	1771524108.632
54	200.000	-0.035	200.000	3.415	4.692	1.328	1771524108.840	1771524108.840	1771524108.840	1771524108.840	1771524108.840	1771524108.840
55	200.000	0.012	200.000	3.406	4.678	1.328	1771524109.051	1771524109.051	1771524109.051	1771524109.051	1771524109.051	1771524109.051
56	200.000	-0.054	200.001	3.301	4.634	1.328	1771524109.257	1771524109.257	1771524109.257	1771524109.257	1771524109.257	1771524109.257
