Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
106	500.000	0.032	500.000	1.888	5.119	1771616124.487
107	500.000	0.056	500.001	1.917	5.099	1771616124.725
108	500.000	-0.042	500.001	1.860	5.133	1771616124.926
109	500.000	0.003	500.001	1.925	5.138	1771616125.190
110	500.000	-0.011	499.999	1.891	5.102	1771616125.412
111	500.000	-0.076	500.000	2.012	5.150	1771616125.602
112	500.000	-0.053	500.001	1.939	5.125	1771616125.883
113	500.000	0.003	500.003	1.892	5.136	1771616126.116
114	500.000	-0.055	499.997	1.948	5.095	1771616126.367
115	500.000	0.001	500.000	2.026	5.232	1771616126.571
116	500.000	0.014	500.000	1.849	5.129	1771616126.802
117	500.000	-0.012	499.996	1.859	5.103	1771616126.983
118	500.000	0.012	500.003	1.917	5.145	1771616127.200
119	500.000	-0.014	500.000	1.974	5.069	1771616127.448
120	500.000	-0.026	500.001	1.983	5.116	1771616127.679
121	500.000	0.052	500.003	1.955	5.127	1771616127.891
122	500.000	0.019	499.999	1.982	5.127	1771616128.121
123	500.000	0.025	500.000	1.966	5.060	1771616128.364
124	500.000	-0.030	500.000	1.890	5.113	1771616128.565
125	500.000	-0.036	499.997	1.963	5.146	1771616128.794
126	500.000	-0.035	500.000	1.959	5.096	1771616129.043
127	500.000	-0.016	500.002	2.005	5.108	1771616129.304
128	500.000	-0.031	500.001	1.965	5.081	1771616129.555
129	500.000	-0.004	500.001	1.990	5.129	1771616129.774
130	500.000	-0.004	500.000	1.969	5.085	1771616129.966
131	500.000	0.001	500.001	2.045	5.094	1771616130.202
132	500.000	0.032	499.999	1.909	5.110	1771616130.419
133	500.000	0.031	500.002	1.874	5.144	1771616130.613
134	500.000	0.015	500.001	1.875	5.106	1771616130.891
135	500.000	0.019	499.997	2.003	5.082	1771616131.135
136	500.000	0.009	500.002	1.937	5.143	1771616131.353
137	500.000	-0.011	500.002	1.879	5.162	1771616131.545
