Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	0.071	400.001	0.269	4.195	1772226434.308
2	400.000	-0.044	400.003	0.400	4.120	1772226434.491
3	400.000	-0.058	399.995	0.237	4.356	1772226434.684
4	400.000	-0.032	399.999	0.470	4.182	1772226434.889
5	400.000	0.014	400.000	0.307	4.343	1772226435.125
6	400.000	-0.056	399.998	0.363	4.055	1772226435.333
7	400.000	-0.048	399.997	0.332	4.316	1772226435.568
8	400.000	0.034	400.001	0.293	4.547	1772226435.815
9	400.000	-0.036	400.005	0.304	4.378	1772226436.001
10	400.000	-0.008	399.999	0.346	4.367	1772226436.186
11	400.000	0.007	400.001	0.355	4.336	1772226436.385
12	400.000	-0.026	400.000	0.391	4.413	1772226436.602
13	400.000	0.004	400.000	0.400	4.366	1772226436.819
14	400.000	0.034	399.999	0.355	4.287	1772226437.077
15	400.000	-0.028	399.998	0.323	4.169	1772226437.256
16	400.000	0.000	399.998	0.369	4.491	1772226437.477
17	400.000	-0.007	400.000	0.266	4.353	1772226437.696
18	400.000	-0.006	400.001	0.253	4.487	1772226437.876
19	400.000	0.032	399.997	0.148	0.372	1772226438.079
20	400.000	-0.029	400.001	0.106	0.959	1772226438.277
21	400.000	0.003	399.998	0.083	2.062	1772226438.500
22	400.000	-0.023	399.999	0.266	2.102	1772226438.702
23	400.000	-0.004	399.998	0.079	2.123	1772226438.965
24	400.000	-0.073	399.998	0.076	1.710	1772226439.143
25	400.000	-0.009	400.000	0.369	1.623	1772226439.329
26	400.000	0.064	399.997	0.363	1.444	1772226439.563
27	400.000	-0.017	400.000	0.194	1.756	1772226439.758
28	400.000	-0.031	399.997	0.051	0.890	1772226440.020
29	400.000	0.001	399.997	0.154	5.359	1772226440.207
30	400.000	-0.058	400.002	0.329	1.598	1772226440.402
31	400.000	-0.020	400.000	0.030	0.844	1772226440.626
32	400.000	0.057	400.002	0.268	1.360	1772226440.902
33	400.000	0.036	400.002	0.076	4.644	1772226441.130
34	400.000	0.005	399.998	0.211	1.399	1772226441.338
35	400.000	-0.052	399.998	0.009	1.102	1772226441.587
