Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
100.000	99.999	2.470	3.376
100.000	100.001	2.943	2.764
100.000	100.004	3.405	2.381
100.000	100.001	2.833	2.978
100.000	99.995	1.620	3.260
100.000	100.003	2.091	2.976
100.000	99.999	2.912	2.680
100.000	99.997	3.488	3.043
100.000	100.001	2.929	3.531
100.000	100.000	2.300	3.451
100.000	100.002	3.108	2.526
100.000	100.002	3.169	3.034
100.000	100.000	2.312	3.500
100.000	99.998	2.336	3.049
100.000	100.000	3.030	2.769
100.000	99.999	3.649	3.254
100.000	99.995	2.542	3.717
100.000	99.998	0.336	0.310
100.000	100.000	2.109	2.898
100.000	100.000	3.186	3.240
100.000	99.999	2.874	3.458
100.000	100.000	1.273	2.896
100.000	100.001	1.783	2.879
100.000	99.998	3.354	3.263
100.000	99.996	2.864	3.390
100.000	100.002	1.909	3.071
100.000	99.999	2.798	2.702
100.000	99.998	3.654	3.180
100.000	99.998	3.075	3.204
100.000	99.998	2.227	3.061
100.000	100.000	3.076	2.653
100.000	100.002	3.230	3.318
100.000	100.001	2.642	3.020
100.000	100.000	2.104	2.750
100.000	99.995	2.455	2.864
100.000	100.008	2.881	3.334
100.000	100.001	2.328	3.172
100.000	100.001	1.757	2.684
100.000	100.002	3.174	3.123
100.000	100.000	2.999	3.317
100.000	99.999	2.343	3.160
100.000	100.000	1.504	2.571
100.000	100.002	3.070	3.177
100.000	100.002	3.334	3.551
100.000	99.997	2.765	3.109
100.000	99.999	2.547	2.565
100.000	100.000	3.712	3.116
100.000	99.999	3.790	3.364
100.000	100.000	2.634	2.838
100.000	99.997	2.523	2.612
100.000	99.996	4.043	3.334
100.000	100.002	3.681	3.465
100.000	99.999	3.041	2.600
100.000	99.998	2.295	2.487
100.000	99.999	4.359	3.357
100.000	100.000	3.394	3.502
100.000	99.999	2.764	2.363
100.000	100.001	1.808	2.429
100.000	99.999	3.352	3.397
100.000	100.000	3.759	3.496
100.000	99.999	2.105	2.902
100.000	100.000	2.141	2.145
100.000	100.000	3.185	3.444
100.000	100.001	3.335	3.713
100.000	99.998	2.164	3.018
100.000	99.996	2.548	2.405
100.000	100.004	3.485	3.439
100.000	100.001	3.834	3.633
100.000	100.000	2.667	2.542
100.000	99.999	2.914	2.388
100.000	99.998	3.753	3.556
100.000	100.001	3.803	3.671
100.000	99.997	2.541	2.728
100.000	100.003	2.499	2.554
100.000	99.998	4.126	3.655
100.000	100.000	4.372	3.572
100.000	99.998	3.499	2.775
100.000	100.001	2.887	2.471
100.000	100.002	3.509	3.703
100.000	99.997	3.040	3.698
100.000	99.997	3.056	2.325
100.000	100.004	2.499	2.683
100.000	100.001	4.074	3.653
100.000	100.001	3.194	3.583
100.000	100.000	2.847	2.416
100.000	100.002	2.889	2.833
100.000	100.001	3.444	3.643
100.000	100.001	2.583	3.638
100.000	100.003	2.899	2.270
100.000	99.995	3.432	2.939
100.000	99.998	4.157	3.455
100.000	99.994	2.229	3.231
100.000	99.998	2.249	2.312
100.000	100.000	3.649	3.302
100.000	99.999	3.608	3.551
100.000	99.999	2.132	2.902
100.000	99.999	2.574	2.362
100.000	99.998	3.765	3.408
100.000	100.001	3.630	3.249
100.000	100.001	3.350	2.396
100.000	100.005	3.107	2.349
100.000	100.001	3.669	3.298
100.000	99.997	2.624	3.334
100.000	100.002	2.509	2.158
100.000	99.993	3.289	2.288
100.000	99.999	3.802	3.203
100.000	99.998	2.142	3.114
100.000	100.006	2.697	2.093
100.000	100.001	3.179	2.669
100.000	100.002	3.995	3.314
100.000	100.001	2.033	3.261
100.000	99.999	2.675	1.969
100.000	99.999	2.710	2.578
100.000	100.000	3.958	3.309
100.000	100.005	1.563	3.227
100.000	99.999	3.111	1.604
100.000	99.998	2.721	2.641
100.000	100.001	4.188	3.330
100.000	99.998	1.405	3.263
100.000	99.999	0.609	0.865
100.000	100.000	1.963	0.520
100.000	100.003	3.068	2.957
100.000	99.999	3.376	3.408
100.000	100.003	0.449	1.757
100.000	99.997	2.322	1.559
100.000	100.002	2.584	3.128
100.000	99.998	3.867	3.436
100.000	100.005	0.823	2.656
100.000	100.000	1.978	1.869
100.000	100.001	3.324	3.275
100.000	100.001	4.123	3.453
100.000	100.001	1.666	2.464
100.000	100.002	1.403	1.857
100.000	100.001	3.489	3.475
100.000	100.000	3.961	2.690
100.000	100.001	4.143	3.432
100.000	100.002	2.341	2.468
100.000	99.998	1.789	2.750
100.000	99.999	4.272	3.498
100.000	100.000	3.630	3.375
100.000	100.005	2.165	2.298
100.000	100.000	2.397	3.048
100.000	100.002	4.715	3.570
100.000	99.995	3.116	3.190
100.000	100.004	2.416	1.925
100.000	99.998	2.391	3.331
100.000	99.999	4.596	3.618
100.000	99.999	3.527	3.241
100.000	100.000	2.398	1.752
100.000	100.002	2.591	3.221
100.000	100.001	3.992	3.779
100.000	99.999	2.811	3.483
100.000	100.000	2.130	1.913
100.000	99.998	3.266	3.308
100.000	100.000	4.272	3.602
100.000	99.996	3.224	3.289
100.000	100.000	2.248	2.178
100.000	100.004	3.548	3.323
100.000	99.998	4.870	3.650
100.000	99.998	3.028	3.338
100.000	100.003	1.887	2.201
100.000	99.999	3.770	3.458
100.000	100.005	4.986	3.786
100.000	100.001	3.296	3.518
100.000	99.998	1.975	2.095
100.000	100.001	3.325	3.079
100.000	99.998	4.649	3.804
100.000	99.997	2.584	3.311
100.000	100.001	2.007	2.216
100.000	99.997	3.399	3.310
100.000	99.998	3.290	3.871
100.000	100.003	1.320	3.155
100.000	100.001	1.412	2.789
100.000	99.999	3.803	3.436
100.000	100.003	3.267	3.764
100.000	100.001	1.582	2.723
100.000	100.004	1.227	2.576
100.000	99.999	3.668	3.287
100.000	100.004	2.830	3.631
100.000	100.000	1.922	2.754
100.000	99.998	1.493	2.901
100.000	100.001	4.104	3.549
100.000	99.997	2.686	3.782
100.000	99.999	1.158	2.941
100.000	99.997	2.609	2.717
100.000	99.998	3.087	3.537
100.000	100.003	3.561	3.529
100.000	100.001	1.250	2.961
100.000	100.003	0.763	2.032
100.000	100.001	3.361	3.664
