Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
107	400.000	-0.019	399.997	0.052	3.795	1773084685.692
108	400.000	0.023	399.998	0.234	4.910	1773084685.958
109	400.000	-0.008	399.996	0.221	3.809	1773084686.232
110	400.000	-0.026	399.999	0.048	4.913	1773084686.524
111	400.000	0.017	400.000	0.176	3.925	1773084686.833
112	400.000	0.005	400.001	0.059	4.092	1773084687.143
113	400.000	-0.006	400.002	0.166	4.036	1773084687.453
114	400.000	0.021	400.000	0.128	3.375	1773084687.765
115	400.000	0.009	400.000	0.154	3.879	1773084688.103
116	400.000	0.009	400.001	0.119	3.988	1773084688.399
117	400.000	-0.024	400.000	0.091	4.075	1773084688.668
118	400.000	0.002	399.999	0.147	3.460	1773084688.982
119	400.000	-0.011	399.997	0.154	3.349	1773084689.289
120	400.000	-0.027	400.000	0.141	3.555	1773084689.586
121	400.000	-0.007	400.000	0.288	3.189	1773084689.829
122	400.000	-0.003	400.002	0.171	4.821	1773084690.104
123	400.000	-0.001	400.001	0.142	3.475	1773084690.419
124	400.000	0.041	400.000	0.156	3.799	1773084690.720
125	400.000	-0.016	400.000	0.186	3.413	1773084691.054
126	400.000	-0.017	399.999	0.184	3.220	1773084691.354
127	400.000	0.021	400.003	0.067	2.889	1773084691.637
128	400.000	-0.001	399.998	0.227	2.517	1773084691.913
129	400.000	-0.004	399.999	0.168	3.300	1773084692.230
130	400.000	-0.014	400.002	0.181	2.842	1773084692.550
131	400.000	-0.009	400.001	0.143	3.978	1773084692.853
132	400.000	0.001	400.001	0.188	3.350	1773084693.160
133	400.000	0.004	400.001	0.206	2.321	1773084693.469
134	400.000	0.003	400.001	0.101	2.901	1773084693.794
135	400.000	0.026	400.000	0.214	2.340	1773084694.064
136	400.000	-0.021	399.998	0.110	3.673	1773084694.347
137	400.000	-0.039	400.003	0.822	2.395	1773084694.652
138	400.000	0.007	399.998	0.819	2.403	1773084694.917
139	400.000	-0.005	400.001	0.867	2.403	1773084695.177
140	400.000	0.006	399.999	0.826	2.428	1773084695.461
141	400.000	0.016	399.998	0.851	2.439	1773084695.770
142	400.000	-0.008	399.998	0.828	2.418	1773084696.078
143	400.000	-0.017	400.000	0.799	2.421	1773084696.343
144	400.000	-0.005	400.001	0.824	2.501	1773084696.648
145	400.000	-0.002	399.996	0.518	2.049	1773084696.975
146	400.000	0.017	400.000	0.616	4.771	1773084697.270
147	400.000	-0.015	400.004	0.826	2.425	1773084697.568
148	400.000	-0.012	399.999	0.475	5.289	1773084697.884
149	400.000	0.009	399.998	0.409	2.923	1773084698.143
150	400.000	-0.020	400.001	0.383	2.008	1773084698.444
151	400.000	0.014	400.001	0.595	4.664	1773084698.754
152	400.000	-0.037	400.002	0.837	2.468	1773084699.017
153	400.000	0.002	400.004	0.309	5.520	1773084699.307
154	400.000	0.018	400.001	0.335	3.901	1773084699.583
155	400.000	-0.023	400.001	0.636	2.044	1773084699.900
156	400.000	-0.026	400.001	0.630	4.915	1773084700.191
157	400.000	-0.017	400.003	0.786	2.345	1773084700.515
158	400.000	0.021	400.003	0.333	5.913	1773084700.792
159	400.000	-0.031	400.005	0.355	3.614	1773084701.093
160	400.000	0.012	399.999	0.602	2.114	1773084701.375
161	400.000	0.006	399.999	0.748	5.073	1773084701.645
162	400.000	0.016	399.998	0.737	2.549	1773084701.949
163	400.000	-0.013	399.999	0.282	5.553	1773084702.263
164	400.000	-0.008	399.998	0.375	3.629	1773084702.569
165	400.000	-0.014	399.996	0.609	2.039	1773084702.804
166	400.000	-0.012	400.001	0.603	5.274	1773084703.093
167	400.000	-0.025	399.999	0.614	2.663	1773084703.391
168	400.000	-0.003	399.999	0.242	1.442	1773084703.694
169	400.000	0.013	400.003	0.493	4.169	1773084703.990
170	400.000	-0.051	399.999	0.773	2.082	1773084704.281
171	400.000	-0.004	399.999	0.633	5.189	1773084704.606
172	400.000	-0.012	399.999	0.772	2.451	1773084704.884
173	400.000	-0.020	399.998	0.191	1.416	1773084705.161
174	400.000	0.026	399.998	0.599	4.570	1773084705.449
175	400.000	-0.007	400.002	0.912	2.229	1773084705.712
176	400.000	0.010	399.998	0.428	5.561	1773084706.026
177	400.000	-0.029	400.002	0.475	3.226	1773084706.328
178	400.000	-0.005	400.001	0.288	1.326	1773084706.644
179	400.000	0.005	399.999	0.470	4.429	1773084706.949
180	400.000	0.008	399.999	0.778	2.110	1773084707.277
181	400.000	-0.014	400.001	0.683	5.206	1773084707.586
182	400.000	-0.030	399.999	0.810	2.571	1773084707.882
183	400.000	-0.009	399.999	0.191	0.421	1773084708.152
184	400.000	-0.012	400.001	0.443	4.482	1773084708.459
185	400.000	-0.006	400.000	0.757	2.157	1773084708.776
186	400.000	-0.021	399.999	0.662	5.124	1773084709.086
187	400.000	0.011	399.999	0.847	2.501	1773084709.395
188	400.000	0.015	399.998	0.453	5.566	1773084709.719
189	400.000	-0.004	399.997	0.468	3.273	1773084710.020
190	400.000	0.001	400.002	0.631	2.017	1773084710.312
191	400.000	-0.024	399.998	0.544	4.813	1773084710.639
192	400.000	-0.008	400.001	0.817	2.341	1773084710.952
193	400.000	-0.006	399.999	0.586	5.421	1773084711.267
194	400.000	0.026	400.005	0.647	2.712	1773084711.521
195	400.000	0.002	399.998	0.339	1.557	1773084711.852
196	400.000	0.016	399.999	0.668	4.544	1773084712.159
197	400.000	-0.035	400.001	0.835	2.349	1773084712.404
198	400.000	0.002	400.000	0.489	5.316	1773084712.732
199	400.000	0.022	399.995	0.589	2.757	1773084713.035
200	400.000	0.005	400.001	0.245	1.448	1773084713.344
201	400.000	0.001	399.997	0.436	4.157	1773084713.669
202	400.000	-0.032	399.999	0.606	2.149	1773084713.966
203	400.000	0.002	400.001	0.749	5.274	1773084714.232
204	400.000	-0.010	400.000	0.598	2.581	1773084714.566
205	400.000	0.021	399.999	0.263	6.253	1773084714.860
206	400.000	-0.040	399.999	0.370	3.527	1773084715.165
207	400.000	0.007	400.002	0.678	2.039	1773084715.492
208	400.000	0.008	400.004	0.779	4.976	1773084715.779
209	400.000	-0.004	400.002	0.703	2.641	1773084716.037
210	400.000	-0.015	399.996	0.207	0.456	1773084716.350
211	400.000	-0.028	400.001	0.389	3.940	1773084716.674
212	400.000	-0.018	400.000	0.662	1.959	1773084716.960
213	400.000	0.006	399.996	0.690	5.239	1773084717.236
214	400.000	0.029	400.001	0.734	2.545	1773084717.548
215	400.000	0.015	400.000	0.319	0.911	1773084717.815
216	400.000	-0.011	399.998	0.638	4.583	1773084718.107
217	400.000	-0.049	400.000	0.831	2.316	1773084718.411
218	400.000	-0.016	400.000	0.642	5.258	1773084718.737
219	400.000	0.017	400.002	0.730	2.545	1773084719.049
220	400.000	-0.023	400.000	0.252	0.129	1773084719.332
221	400.000	0.019	399.998	0.581	4.515	1773084719.597
222	400.000	0.021	400.003	0.749	2.325	1773084719.882
223	400.000	-0.002	400.000	0.551	5.536	1773084720.152
224	400.000	0.026	400.005	0.446	3.578	1773084720.401
225	400.000	-0.001	399.998	0.632	2.225	1773084720.730
226	400.000	0.033	399.999	0.714	5.067	1773084721.030
227	400.000	0.009	400.003	0.809	2.455	1773084721.349
228	400.000	-0.004	400.001	0.545	5.689	1773084721.622
229	400.000	0.009	399.999	0.385	3.562	1773084721.918
230	400.000	0.017	399.997	0.651	1.940	1773084722.219
231	400.000	0.017	400.001	0.716	5.119	1773084722.482
232	400.000	-0.010	400.002	0.678	2.499	1773084722.774
233	400.000	0.023	400.002	0.250	0.887	1773084723.025
234	400.000	-0.002	399.998	0.631	4.739	1773084723.301
235	400.000	-0.001	400.002	0.878	2.415	1773084723.593
236	400.000	-0.015	400.002	0.566	5.469	1773084723.905
237	400.000	0.009	400.003	0.582	2.959	1773084724.221
238	400.000	0.014	399.997	0.341	1.292	1773084724.510
239	400.000	-0.006	399.997	0.641	4.754	1773084724.788
240	400.000	-0.007	400.000	0.852	2.342	1773084725.082
241	400.000	-0.001	399.996	0.527	5.773	1773084725.332
242	400.000	0.014	399.999	0.334	3.735	1773084725.598
243	400.000	0.009	400.003	0.774	2.230	1773084725.913
244	400.000	0.002	399.999	0.760	5.255	1773084726.182
245	400.000	0.015	399.997	0.757	2.479	1773084726.505
246	400.000	-0.030	400.000	0.310	6.028	1773084726.822
247	400.000	-0.003	400.002	0.411	3.946	1773084727.111
248	400.000	-0.018	400.002	0.680	2.030	1773084727.377
249	400.000	-0.005	399.999	0.785	5.180	1773084727.697
250	400.000	0.026	399.998	0.752	2.627	1773084728.016
251	400.000	0.003	400.001	0.335	5.959	1773084728.312
252	400.000	-0.023	399.999	0.372	3.390	1773084728.614
253	400.000	-0.016	400.000	0.460	2.023	1773084728.934
254	400.000	0.019	400.000	0.771	4.955	1773084729.237
255	400.000	0.013	400.000	0.791	2.475	1773084729.512
256	400.000	-0.031	399.998	0.482	5.778	1773084729.821
257	400.000	-0.003	400.002	0.446	3.427	1773084730.125
258	400.000	-0.034	399.998	0.566	1.846	1773084730.445
259	400.000	0.032	400.002	0.574	4.800	1773084730.766
260	400.000	-0.028	399.999	0.773	2.364	1773084731.050
261	400.000	0.004	400.000	0.583	5.889	1773084731.304
262	400.000	-0.014	399.996	0.446	3.882	1773084731.589
263	400.000	-0.004	400.000	0.681	2.175	1773084731.890
264	400.000	0.026	400.000	0.715	5.057	1773084732.193
265	400.000	0.042	400.000	0.769	2.519	1773084732.496
266	400.000	0.007	400.002	0.346	5.960	1773084732.817
267	400.000	0.014	400.002	0.400	3.379	1773084733.126
268	400.000	0.003	399.997	0.445	1.835	1773084733.431
269	400.000	0.016	399.997	0.811	5.012	1773084733.667
270	400.000	-0.014	400.000	0.668	2.759	1773084733.926
