timestamp,position_mm
1772558098.0308142,0.0
1772558098.1325681,0.04736328125
1772558098.2342978,0.09814453125
1772558098.3369803,0.1484375
1772558098.438752,0.199951171875
1772558098.5344963,0.248779296875
1772558098.6362107,0.29931640625
1772558098.7389061,0.349853515625
1772558098.84067,0.4013671875
1772558098.9424036,0.453369140625
1772558099.038151,0.50146484375
1772558099.140874,0.5517578125
1772558099.2425933,0.60302734375
1772558099.3442886,0.65380859375
1772558099.446051,0.703369140625
1772558099.5428073,0.753173828125
1772558099.644486,0.803955078125
1772558099.746214,0.85302734375
1772558099.8489404,0.906005859375
1772558099.9506688,0.957275390625
1772558100.0523949,1.009033203125
1772558100.1481793,1.056640625
1772558100.2508695,1.10595703125
1772558100.35263,1.158203125
1772558100.454322,1.20947265625
1772558100.55605,1.260986328125
1772558100.6528316,1.30908203125
1772558100.7545187,1.35888671875
1772558100.8562894,1.410400390625
1772558100.9589715,1.4609375
1772558101.0547578,1.5078125
1772558101.1564455,1.558349609375
1772558101.258214,1.608642578125
1772558101.360897,1.659912109375
1772558101.462678,1.7109375
1772558101.5584133,1.759521484375
1772558101.660141,1.810546875
1772558101.7628672,1.86181640625
1772558101.8645525,1.91259765625
1772558101.9663222,1.963623046875
1772558102.0630207,2.01123046875
1772558102.164793,2.060546875
1772558102.2665234,2.112060546875
1772558102.3682482,2.162841796875
1772558102.4709306,2.212158203125
1772558102.5666752,2.261962890625
1772558102.6684391,2.31396484375
1772558102.7701304,2.365234375
1772558102.872856,2.41650390625
1772558102.968602,2.464111328125
1772558103.0703301,2.515625
1772558103.172058,2.565673828125
1772558103.27482,2.615234375
1772558103.3765445,2.666259765625
1772558103.472301,2.71533203125
1772558103.5749803,2.765625
1772558103.6769357,2.816162109375
1772558103.7793133,2.8681640625
1772558103.8751707,2.916259765625
1772558103.9770024,2.9677734375
1772558104.078771,3.0185546875
1772558104.180503,3.0693359375
1772558104.2821875,3.120849609375
1772558104.383914,3.169189453125
1772558104.4806988,3.219482421875
1772558104.5823843,3.271240234375
1772558104.685112,3.32177734375
1772558104.7868805,3.3720703125
1772558104.8826234,3.419921875
1772558104.9843104,3.470947265625
1772558105.0860543,3.52197265625
1772558105.1888072,3.57177734375
1772558105.2904918,3.62255859375
1772558105.3862352,3.6708984375
1772558105.4889605,3.72265625
1772558105.5907328,3.773193359375
1772558105.6924179,3.82421875
1772558105.7941458,3.875
1772558105.8908956,3.923828125
1772558105.992614,3.974365234375
1772558106.0943437,4.024658203125
1772558106.19707,4.074951171875
1772558106.2988424,4.123046875
1772558106.3945863,4.17333984375
1772558106.496317,4.225830078125
1772558106.5989957,4.278076171875
1772558106.6947808,4.325927734375
1772558106.7965097,4.377197265625
1772558106.8982377,4.42919921875
1772558107.000921,4.47998046875
1772558107.1026862,4.53076171875
1772558107.204426,4.577880859375
1772558107.3001623,4.62890625
1772558107.4028893,4.68017578125
1772558107.5046172,4.73095703125
1772558107.6063035,4.78271484375
1772558107.7080836,4.8330078125
1772558107.8048153,4.88232421875
1772558107.9065344,4.93359375
1772558108.0082283,4.9853515625
1772558108.1109543,5.035888671875
1772558108.2067406,5.083740234375
1772558108.3084674,5.134521484375
1772558108.4101996,5.186767578125
1772558108.5128982,5.238037109375
1772558108.6146634,5.289794921875
1772558108.7103925,5.337890625
1772558108.813077,5.389892578125
1772558108.9148467,5.44140625
1772558109.0165322,5.491455078125
1772558109.1182601,5.542724609375
1772558109.2150016,5.59033203125
1772558109.3167295,5.640869140625
1772558109.4184942,5.69091796875
1772558109.5201879,5.74267578125
1772558109.6169302,5.7900390625
1772558109.7186985,5.841552734375
1772558109.820424,5.891845703125
1772558109.9221563,5.94384765625
1772558110.0248837,5.99462890625
1772558110.1270468,6.04296875
1772558110.2229471,6.092529296875
1772558110.325862,6.14404296875
1772558110.4270895,6.19482421875
1772558110.529021,6.24560546875
1772558110.6302114,6.296630859375
1772558110.7269516,6.343994140625
1772558110.828681,6.395263671875
1772558110.930408,6.44580078125
1772558111.0321307,6.49658203125
1772558111.134816,6.546875
1772558111.2305586,6.594482421875
1772558111.3323212,6.64501953125
1772558111.4350142,6.697021484375
1772558111.5367417,6.74853515625
1772558111.638511,6.800048828125
1772558111.7342432,6.8486328125
1772558111.8369403,6.900146484375
1772558111.9386663,6.951416015625
1772558112.0404313,7.001708984375
1772558112.1431215,7.051513671875
