Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	1000.000	-0.009	1000.001	0.015	3.094	1772136967.543
2	1000.000	-0.002	999.996	0.011	1.097	1772136967.913
3	1000.000	-0.029	1000.002	0.056	1.262	1772136968.308
4	1000.000	0.004	1000.005	0.043	1.489	1772136968.713
5	1000.000	-0.009	999.999	0.045	2.822	1772136969.103
6	1000.000	-0.001	1000.002	0.033	3.443	1772136969.544
7	1000.000	0.006	999.999	0.012	2.222	1772136969.958
8	1000.000	-0.002	1000.001	0.016	0.036	1772136970.320
9	1000.000	0.013	999.998	0.082	2.461	1772136970.720
10	1000.000	0.008	1000.001	0.023	1.137	1772136971.116
11	1000.000	0.006	999.997	0.056	2.699	1772136971.524
12	1000.000	-0.006	1000.001	0.026	1.995	1772136971.902
13	1000.000	-0.005	1000.003	0.015	0.872	1772136972.257
14	1100.000	0.011	1001.087	0.051	6.020	1772136972.631
15	1100.000	-0.003	1043.195	0.035	1.810	1772136973.052
16	1100.000	-0.000	1074.102	0.056	5.892	1772136973.471
17	1100.000	-0.000	1087.673	0.034	0.242	1772136973.828
18	1100.000	-0.017	1096.069	0.066	1.113	1772136974.225
19	1100.000	0.007	1099.860	0.054	2.531	1772136974.610
20	1100.000	-0.001	1101.244	0.030	3.039	1772136974.998
21	1100.000	-0.018	1101.437	0.053	3.436	1772136975.386
22	1100.000	-0.008	1101.172	0.045	6.259	1772136975.744
23	1100.000	-0.014	1100.827	0.027	4.635	1772136976.105
24	1100.000	-0.019	1100.540	0.027	5.692	1772136976.465
25	1100.000	-0.010	1100.323	0.046	2.205	1772136976.860
26	1100.000	0.002	1100.184	0.035	1.587	1772136977.236
27	1100.000	0.015	1100.104	0.013	2.757	1772136977.620
28	1100.000	-0.010	1100.060	0.038	2.636	1772136978.011
29	1100.000	0.009	1100.037	0.030	4.926	1772136978.364
30	1100.000	0.011	1100.028	0.047	3.411	1772136978.721
31	1100.000	0.018	1100.031	0.027	0.058	1772136979.116
32	1100.000	0.001	1100.021	0.039	4.980	1772136979.479
33	1100.000	-0.011	1100.021	0.017	3.778	1772136979.882
34	1100.000	-0.017	1100.015	0.005	3.125	1772136980.257
35	1100.000	0.038	1100.015	0.028	3.486	1772136980.645
36	1100.000	-0.006	1100.016	0.032	5.168	1772136981.051
37	1100.000	-0.009	1100.012	0.034	6.133	1772136981.430
38	1100.000	0.007	1100.004	0.020	3.232	1772136981.827
39	1100.000	-0.000	1100.014	0.012	5.885	1772136982.189
40	1100.000	0.014	1100.008	0.042	0.249	1772136982.554
41	1100.000	-0.006	1100.012	0.050	2.272	1772136982.919
42	1100.000	-0.003	1100.010	0.029	0.560	1772136983.310
43	1100.000	-0.000	1100.003	0.033	0.325	1772136983.679
44	1100.000	0.019	1100.004	0.032	1.564	1772136984.057
45	1100.000	-0.019	1100.005	0.038	0.057	1772136984.429
46	1100.000	0.012	1100.006	0.024	3.390	1772136984.834
47	1100.000	-0.014	1100.000	0.044	6.278	1772136985.258
48	1100.000	-0.012	1100.004	0.003	2.520	1772136985.660
49	1100.000	0.007	1100.005	0.046	2.085	1772136986.028
50	1100.000	0.020	1100.005	0.021	2.693	1772136986.453
51	1100.000	-0.019	1100.005	0.016	4.340	1772136986.872
52	1100.000	0.006	1099.999	0.048	5.905	1772136987.246
53	1100.000	0.001	1099.999	0.023	0.826	1772136987.603
