Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
100.000	100.001	1.171	1.027
100.000	99.996	1.336	0.998
100.000	100.000	1.350	0.954
100.000	100.001	1.462	1.031
100.000	99.998	1.384	0.967
100.000	99.997	1.102	1.062
100.000	100.000	1.423	1.120
100.000	100.002	1.240	1.028
100.000	100.000	1.011	0.980
100.000	99.999	1.259	0.953
100.000	100.003	1.271	1.060
100.000	100.002	1.264	0.917
100.000	100.003	1.170	0.963
100.000	100.004	1.220	0.912
100.000	99.998	1.559	1.052
100.000	100.004	1.258	0.960
100.000	100.005	1.307	1.052
100.000	100.001	1.137	0.907
100.000	99.995	1.066	1.021
100.000	100.000	1.031	0.887
100.000	100.002	1.309	0.969
100.000	100.003	1.550	1.036
100.000	99.999	1.374	1.121
100.000	100.001	1.153	1.023
100.000	100.000	1.367	0.933
100.000	100.001	1.471	1.049
100.000	100.003	1.636	1.119
100.000	99.998	1.573	1.134
100.000	100.007	1.574	0.968
100.000	100.000	1.473	0.942
100.000	100.000	1.387	1.008
100.000	100.003	1.394	0.997
100.000	99.997	0.917	0.940
100.000	99.997	1.488	1.151
100.000	100.005	1.238	1.049
100.000	100.002	1.386	1.124
100.000	99.995	1.264	1.010
100.000	99.999	1.503	1.124
100.000	100.003	1.544	1.153
100.000	99.999	1.386	1.093
100.000	100.001	1.404	1.124
100.000	100.000	1.501	1.073
100.000	99.999	1.242	1.026
100.000	100.003	1.470	1.046
100.000	100.002	1.251	1.077
100.000	100.005	1.457	1.064
100.000	99.998	1.414	1.062
100.000	100.003	1.359	1.180
100.000	100.000	1.391	1.151
100.000	99.998	1.437	1.154
100.000	100.002	1.747	1.188
100.000	100.001	1.622	1.217
100.000	99.998	1.465	1.090
100.000	100.001	1.606	1.224
100.000	100.004	1.372	1.149
100.000	99.997	1.463	1.059
100.000	100.003	1.587	1.038
100.000	100.001	1.351	1.037
100.000	100.000	1.701	1.090
100.000	100.000	1.291	1.171
100.000	100.002	1.428	1.167
100.000	99.998	1.643	1.177
100.000	100.003	1.510	1.187
100.000	100.003	1.493	1.119
100.000	99.999	1.616	1.177
100.000	100.002	3.124	4.971
100.000	100.001	1.433	1.080
100.000	100.001	1.401	1.003
100.000	99.997	1.547	1.042
100.000	99.996	1.533	1.132
100.000	100.001	1.525	1.180
100.000	100.001	1.680	1.217
100.000	99.999	1.383	1.064
100.000	100.001	1.628	1.023
100.000	99.996	1.492	1.171
100.000	100.000	1.524	1.168
100.000	100.000	1.377	1.142
100.000	100.001	1.363	1.056
100.000	100.003	1.644	1.109
100.000	100.002	1.369	1.001
100.000	99.998	1.302	1.124
100.000	100.000	1.472	1.113
100.000	99.999	1.339	1.026
100.000	100.001	1.629	1.036
100.000	99.999	1.506	1.115
100.000	100.002	1.378	0.994
100.000	100.002	1.302	1.059
100.000	100.005	1.316	1.142
100.000	99.996	1.569	1.085
100.000	99.998	1.409	1.135
100.000	100.000	1.315	1.044
100.000	100.001	1.250	1.092
100.000	99.996	1.539	1.094
100.000	100.000	1.244	0.991
100.000	100.002	0.851	2.893
100.000	100.001	1.078	2.708
100.000	100.001	1.362	2.859
100.000	99.997	1.250	2.941
100.000	100.002	1.918	3.178
100.000	99.999	1.590	3.387
100.000	99.999	1.734	3.366
100.000	99.995	2.384	3.222
100.000	100.005	2.909	2.822
100.000	99.999	4.108	3.644
100.000	99.999	2.655	3.352
100.000	100.000	2.991	3.619
100.000	100.000	1.465	3.124
100.000	100.002	1.964	3.751
100.000	100.000	2.747	3.543
100.000	100.003	3.063	3.644
100.000	100.002	3.116	3.605
100.000	100.001	2.377	3.670
100.000	99.995	3.361	3.581
100.000	99.999	2.850	3.435
100.000	100.005	2.510	3.241
100.000	99.995	2.648	3.830
100.000	100.001	2.404	3.809
100.000	100.002	1.989	3.458
100.000	100.000	1.867	3.023
100.000	100.004	2.319	3.188
100.000	99.996	2.053	3.333
100.000	100.001	2.498	3.376
100.000	99.997	3.045	3.313
100.000	100.000	2.871	3.649
100.000	99.996	2.682	3.462
100.000	99.998	2.414	3.550
100.000	100.002	2.279	3.524
100.000	99.998	1.853	3.664
100.000	100.002	2.240	3.098
100.000	100.003	2.428	3.359
100.000	99.998	3.410	3.381
100.000	100.002	2.291	3.291
100.000	100.000	3.052	3.290
100.000	99.998	2.548	3.158
100.000	99.996	1.656	2.882
100.000	99.999	2.370	2.845
100.000	100.001	2.700	3.198
100.000	99.999	2.315	2.586
100.000	99.997	2.757	3.113
100.000	99.999	2.724	3.149
100.000	100.001	2.781	3.214
100.000	100.000	3.174	3.172
100.000	99.999	2.356	3.189
100.000	99.995	2.669	2.942
100.000	99.997	3.198	3.145
100.000	100.000	2.609	3.086
100.000	99.999	2.649	2.859
100.000	99.998	2.619	2.936
100.000	99.999	2.764	2.366
100.000	99.997	2.146	2.478
100.000	100.003	2.475	2.310
100.000	100.000	2.402	2.352
100.000	100.002	2.685	2.320
100.000	100.000	2.555	2.346
100.000	99.998	2.564	2.330
100.000	100.002	2.826	2.741
100.000	99.998	3.191	3.111
100.000	100.004	2.559	3.478
100.000	99.998	2.769	3.717
100.000	100.003	2.702	2.961
100.000	99.999	2.669	2.344
100.000	100.002	2.507	2.573
100.000	100.001	3.045	3.064
100.000	99.998	3.113	3.278
100.000	99.999	2.567	3.592
100.000	100.002	2.907	3.238
100.000	100.002	2.939	2.358
100.000	100.001	2.714	2.314
100.000	100.001	2.565	2.626
100.000	100.002	3.042	3.268
100.000	99.999	3.337	3.391
100.000	100.002	3.432	3.422
100.000	100.001	3.585	2.907
100.000	100.000	3.585	2.403
100.000	99.997	3.358	2.549
100.000	99.999	3.131	2.899
