Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
100.000	100.000	1.279	0.811
100.000	99.996	1.319	0.865
100.000	100.002	1.265	0.949
100.000	99.999	1.232	0.849
100.000	99.998	1.388	0.926
100.000	100.003	1.263	0.945
100.000	99.998	1.303	0.985
100.000	100.003	1.206	0.833
100.000	99.995	1.267	0.857
100.000	99.999	1.336	0.931
100.000	100.002	1.448	1.011
100.000	100.001	1.320	0.872
100.000	100.002	1.339	0.875
100.000	100.000	1.234	0.934
100.000	99.999	1.351	0.991
100.000	100.002	1.338	1.017
100.000	100.005	1.382	0.964
100.000	100.004	1.417	0.891
100.000	99.995	1.271	0.831
100.000	100.000	0.750	1.891
100.000	100.004	1.228	2.668
100.000	100.000	1.560	3.000
100.000	99.998	1.785	3.169
100.000	100.002	1.717	3.502
100.000	100.002	2.192	3.341
100.000	100.000	2.888	3.155
100.000	100.001	2.449	3.360
100.000	100.001	2.166	3.445
100.000	100.003	2.066	3.499
100.000	99.998	3.128	3.724
100.000	99.998	3.048	3.582
100.000	99.997	2.717	3.646
100.000	99.998	2.836	3.625
100.000	100.001	2.242	3.636
100.000	100.002	2.383	3.650
100.000	99.997	2.344	3.583
100.000	100.000	1.692	3.311
100.000	100.004	2.554	3.349
100.000	100.001	3.042	3.472
100.000	99.994	2.909	3.442
100.000	100.000	2.023	3.395
100.000	99.995	1.857	3.621
100.000	100.000	2.339	3.251
100.000	100.002	2.625	3.244
100.000	99.995	2.471	3.255
100.000	100.003	2.737	3.080
100.000	99.999	2.110	3.059
100.000	100.002	2.591	2.862
100.000	100.005	2.823	3.049
100.000	99.998	2.755	3.012
100.000	99.995	2.527	3.106
100.000	100.000	3.095	3.143
100.000	99.999	2.846	3.065
100.000	99.998	2.359	3.197
100.000	99.999	2.636	2.808
100.000	99.999	2.270	2.642
100.000	100.003	2.492	2.271
100.000	99.999	2.257	2.237
100.000	99.998	2.564	2.230
100.000	99.997	2.425	2.264
100.000	99.999	2.639	2.614
100.000	99.999	3.024	3.139
100.000	100.000	2.907	3.632
100.000	100.001	2.578	2.525
100.000	99.998	2.607	2.544
