Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.002	0.103	4.506
400.000	400.001	0.320	2.500
400.000	400.001	0.645	1.965
400.000	400.001	0.129	0.417
400.000	399.998	0.127	3.193
400.000	399.998	0.815	2.151
400.000	400.002	0.306	2.078
400.000	400.002	0.190	5.061
400.000	399.997	0.531	1.775
400.000	400.002	0.832	2.211
400.000	399.998	0.247	1.440
400.000	399.999	0.117	3.194
400.000	400.000	0.823	2.067
400.000	399.998	0.411	2.294
400.000	399.997	0.240	4.572
400.000	399.998	0.434	2.217
400.000	400.001	0.898	2.249
400.000	400.000	0.075	5.814
400.000	399.999	0.109	3.154
400.000	400.003	0.735	2.291
400.000	399.999	0.679	1.970
400.000	400.000	0.155	5.484
400.000	399.998	0.162	1.850
400.000	400.000	0.816	2.262
400.000	399.999	0.112	4.855
400.000	400.000	0.344	2.396
400.000	400.000	0.888	2.329
400.000	400.002	0.416	2.205
400.000	400.002	0.132	4.928
400.000	400.000	0.497	2.289
400.000	399.998	0.915	2.091
400.000	400.001	0.082	5.024
400.000	399.999	0.348	2.284
400.000	400.004	0.090	4.617
400.000	400.002	0.075	4.673
400.000	399.996	0.348	2.359
400.000	400.006	0.840	2.137
400.000	400.000	0.089	1.826
400.000	400.000	0.150	3.324
400.000	399.999	0.839	2.198
400.000	399.999	0.451	2.016
400.000	400.004	0.173	4.434
400.000	400.000	0.643	2.173
400.000	400.001	0.556	2.065
400.000	400.003	0.062	4.095
400.000	400.001	0.486	2.290
400.000	400.001	0.704	2.122
400.000	400.001	0.116	3.968
400.000	399.999	0.088	3.266
400.000	400.000	0.712	2.294
400.000	399.998	0.673	2.282
400.000	399.997	0.160	4.421
400.000	400.002	0.674	2.180
400.000	400.003	0.540	2.212
400.000	399.999	0.133	4.954
400.000	399.998	0.312	2.343
400.000	400.000	0.771	2.103
400.000	399.998	0.008	4.683
400.000	399.999	0.193	3.252
400.000	400.002	0.861	2.260
400.000	400.000	0.289	1.931
400.000	399.999	0.061	2.873
400.000	399.998	0.858	2.141
400.000	399.999	0.344	3.055
400.000	399.999	0.271	1.848
400.000	400.002	0.455	4.577
400.000	400.003	0.645	2.258
400.000	400.000	0.523	1.815
400.000	400.001	0.200	4.586
400.000	400.001	0.468	3.304
400.000	399.997	0.870	2.168
400.000	400.001	0.150	0.318
400.000	399.997	0.321	3.550
400.000	400.002	0.817	2.234
400.000	399.998	0.136	1.337
400.000	400.002	0.142	4.066
400.000	400.000	0.569	2.345
400.000	399.998	0.584	1.948
400.000	400.000	0.096	4.497
400.000	400.000	0.481	2.333
400.000	400.000	0.772	2.064
400.000	400.001	0.144	2.421
400.000	400.001	0.220	3.427
400.000	400.004	0.761	2.215
400.000	399.997	0.473	1.943
400.000	399.999	0.116	4.879
400.000	400.000	0.423	2.462
400.000	399.999	0.727	2.168
400.000	399.999	0.062	1.622
400.000	399.999	0.307	4.299
400.000	399.998	0.657	2.492
400.000	399.998	0.814	1.984
400.000	399.999	0.169	1.489
400.000	399.999	0.179	4.266
400.000	400.002	0.833	2.131
400.000	400.000	0.126	0.251
400.000	400.000	0.365	3.397
400.000	399.999	0.904	2.249
400.000	399.999	0.536	2.023
400.000	400.001	0.054	5.872
400.000	400.001	0.210	3.769
400.000	400.003	0.838	2.194
400.000	400.001	0.554	1.761
400.000	399.999	0.165	5.086
400.000	400.000	0.222	3.289
400.000	400.000	0.952	2.153
400.000	399.999	0.250	2.031
400.000	399.999	0.288	4.643
400.000	400.003	0.624	2.302
400.000	400.000	0.974	2.022
400.000	399.997	0.038	1.807
400.000	400.002	0.342	3.486
400.000	400.001	0.969	2.171
400.000	400.001	0.510	2.046
400.000	400.000	0.079	4.824
400.000	399.996	0.262	2.872
400.000	399.999	0.938	2.348
400.000	400.000	0.253	1.206
400.000	399.998	0.283	3.979
400.000	400.001	0.857	2.483
400.000	400.001	0.570	2.039
400.000	400.000	0.198	4.996
400.000	400.000	0.448	2.940
400.000	400.003	1.067	2.132
400.000	400.002	0.538	1.527
400.000	400.001	0.538	0.530
400.000	400.001	0.970	2.049
400.000	400.001	0.375	1.633
400.000	400.000	0.315	4.467
400.000	400.000	0.631	2.718
400.000	399.999	0.829	2.102
400.000	400.000	0.165	0.766
400.000	400.000	0.303	3.834
400.000	400.001	0.768	2.324
400.000	400.001	0.638	1.904
400.000	400.002	0.282	4.587
400.000	400.003	0.444	2.696
400.000	400.001	0.766	2.086
400.000	399.997	0.108	0.787
400.000	400.003	0.287	3.861
400.000	399.998	0.912	2.294
400.000	400.000	0.489	1.527
400.000	399.998	0.278	5.467
400.000	400.000	0.558	2.692
