Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
106	100.000	-0.005	100.001	5.368	5.468	1771878099.395
107	100.000	0.011	99.997	5.291	5.462	1771878099.636
108	100.000	-0.010	99.999	5.075	5.534	1771878099.911
109	100.000	-0.017	100.002	5.198	5.462	1771878100.209
110	100.000	-0.012	100.000	5.254	5.455	1771878100.451
111	100.000	0.021	99.996	5.251	5.471	1771878100.700
112	100.000	0.007	99.997	5.128	5.415	1771878100.973
113	100.000	-0.038	99.999	5.299	5.458	1771878101.260
114	100.000	-0.002	99.997	5.165	5.483	1771878101.513
115	100.000	-0.007	100.001	5.368	5.488	1771878101.739
116	100.000	-0.011	100.000	5.165	5.417	1771878102.028
117	100.000	0.001	99.998	5.242	5.448	1771878102.280
118	100.000	0.012	100.002	5.299	5.486	1771878102.590
119	100.000	0.005	99.997	5.315	5.389	1771878102.904
120	100.000	0.009	100.000	5.448	5.414	1771878103.160
121	100.000	-0.022	100.002	5.246	5.438	1771878103.424
122	100.000	0.010	100.000	5.162	5.401	1771878103.704
123	100.000	-0.012	100.002	5.339	5.467	1771878103.965
124	100.000	-0.000	100.000	5.234	5.465	1771878104.237
125	100.000	-0.012	100.003	5.201	5.469	1771878104.512
126	100.000	-0.024	100.000	5.226	5.475	1771878104.734
127	100.000	0.006	100.003	5.377	5.460	1771878105.002
128	100.000	0.018	100.005	5.270	5.500	1771878105.252
129	100.000	-0.004	100.001	5.200	5.524	1771878105.501
130	100.000	-0.013	100.001	5.231	5.489	1771878105.743
131	100.000	0.046	100.000	5.327	5.527	1771878106.013
132	100.000	-0.016	100.000	5.289	5.488	1771878106.245
133	100.000	-0.006	100.002	5.318	5.516	1771878106.478
134	100.000	0.014	99.998	5.174	5.431	1771878106.732
135	100.000	-0.048	100.003	5.480	5.487	1771878106.996
136	100.000	-0.001	100.005	5.252	5.456	1771878107.257
137	100.000	-0.043	100.002	5.385	5.432	1771878107.498
138	100.000	0.036	100.001	5.227	5.443	1771878107.743
139	100.000	0.043	99.996	5.602	5.423	1771878107.989
140	100.000	-0.042	99.998	5.282	5.466	1771878108.237
141	100.000	-0.019	100.001	5.416	5.370	1771878108.503
142	100.000	-0.025	99.996	5.051	5.405	1771878108.741
143	100.000	-0.004	100.005	5.031	5.446	1771878109.008
144	100.000	0.062	100.002	5.177	5.385	1771878109.250
145	100.000	0.011	100.002	5.250	5.461	1771878109.529
146	100.000	-0.030	100.000	5.168	5.427	1771878109.810
147	100.000	-0.020	99.997	5.194	5.458	1771878110.065
148	100.000	0.009	100.000	5.262	5.449	1771878110.289
149	100.000	-0.030	100.000	5.251	5.378	1771878110.570
150	100.000	-0.053	100.001	5.213	5.405	1771878110.812
151	100.000	0.006	100.000	5.351	5.392	1771878111.051
152	100.000	0.017	99.997	5.278	5.438	1771878111.286
153	100.000	0.056	100.002	5.194	5.390	1771878111.532
154	100.000	-0.005	100.000	5.378	5.395	1771878111.803
155	100.000	0.013	99.999	5.229	5.413	1771878112.047
156	100.000	-0.025	100.004	5.261	5.400	1771878112.328
157	100.000	-0.001	99.998	5.302	5.480	1771878112.578
158	100.000	0.012	100.003	5.283	5.456	1771878112.832
159	100.000	0.052	99.999	5.197	5.524	1771878113.084
160	100.000	0.022	99.997	5.238	5.485	1771878113.364
161	100.000	0.053	99.998	5.245	5.541	1771878113.611
162	100.000	0.042	100.000	5.370	5.426	1771878113.879
163	100.000	-0.009	99.997	5.405	5.459	1771878114.122
164	100.000	0.005	100.003	5.260	5.464	1771878114.410
165	100.000	0.041	100.001	5.346	5.437	1771878114.671
166	100.000	-0.018	100.005	5.126	5.499	1771878114.917
167	100.000	0.009	100.002	5.129	5.498	1771878115.176
168	100.000	0.005	100.002	5.447	5.470	1771878115.411
169	100.000	-0.021	100.000	5.349	5.462	1771878115.679
170	100.000	-0.031	100.001	5.283	5.475	1771878115.989
171	100.000	-0.014	100.009	5.309	5.527	1771878116.240
172	100.000	0.025	100.002	5.255	5.492	1771878116.534
173	100.000	-0.019	100.000	5.239	5.485	1771878116.760
174	100.000	-0.006	100.000	5.200	5.565	1771878117.054
175	100.000	0.005	100.000	5.204	5.554	1771878117.349
176	100.000	0.005	99.997	5.360	5.546	1771878117.614
177	100.000	-0.017	100.001	5.249	5.413	1771878117.914
178	100.000	-0.037	100.004	5.332	5.495	1771878118.151
179	100.000	0.033	100.000	5.047	5.470	1771878118.410
180	100.000	-0.013	99.999	5.239	5.474	1771878118.662
181	100.000	0.027	100.002	3.902	5.215	1771878118.908
182	100.000	0.013	99.997	2.656	2.777	1771878119.196
183	100.000	-0.006	100.002	5.584	2.002	1771878119.481
184	100.000	-0.001	100.001	4.954	1.218	1771878119.736
185	100.000	0.003	100.001	5.632	0.115	1771878119.976
186	100.000	-0.047	100.002	5.462	5.685	1771878120.236
187	100.000	-0.001	99.999	1.814	4.944	1771878120.488
188	100.000	0.010	100.000	4.483	2.364	1771878120.733
189	100.000	-0.002	100.002	6.286	1.893	1771878121.006
190	100.000	-0.004	99.999	4.993	0.994	1771878121.277
191	100.000	0.027	100.000	5.927	6.170	1771878121.571
192	100.000	0.037	100.002	4.126	5.306	1771878121.875
193	100.000	-0.011	99.998	2.856	2.614	1771878122.161
194	100.000	-0.003	100.002	5.543	2.011	1771878122.438
195	100.000	0.024	99.994	4.955	1.199	1771878122.664
196	100.000	0.007	99.997	4.965	0.193	1771878122.941
197	100.000	-0.015	99.995	5.210	5.565	1771878123.189
198	100.000	0.004	100.003	2.059	4.821	1771878123.424
199	100.000	-0.029	100.002	3.789	2.463	1771878123.671
200	100.000	0.009	100.001	5.652	1.977	1771878123.914
201	100.000	-0.009	99.999	5.183	1.174	1771878124.192
202	100.000	-0.026	99.995	5.459	6.151	1771878124.496
203	100.000	-0.018	100.007	4.714	5.348	1771878124.737
204	100.000	0.024	99.999	1.423	4.044	1771878124.955
205	100.000	0.003	100.006	4.366	2.274	1771878125.226
206	100.000	0.014	99.995	5.707	1.789	1771878125.475
207	100.000	0.010	99.998	5.117	0.766	1771878125.752
208	100.000	-0.010	99.999	6.012	6.083	1771878125.981
209	100.000	0.008	99.997	4.343	5.404	1771878126.255
210	100.000	-0.030	100.002	1.263	3.427	1771878126.495
211	100.000	-0.002	100.002	4.386	2.219	1771878126.726
212	100.000	0.009	99.998	4.830	1.703	1771878126.976
213	100.000	-0.009	100.001	4.592	0.620	1771878127.231
214	100.000	-0.013	99.999	5.883	5.928	1771878127.469
215	100.000	0.003	100.006	4.419	5.326	1771878127.737
216	100.000	-0.004	100.002	1.563	3.014	1771878128.017
217	100.000	0.008	99.996	5.169	2.081	1771878128.295
218	100.000	0.023	100.004	4.512	1.472	1771878128.546
219	100.000	0.004	99.999	4.970	0.320	1771878128.805
220	100.000	0.015	99.998	5.672	5.689	1771878129.055
221	100.000	0.042	100.003	2.865	5.015	1771878129.321
222	100.000	-0.011	100.002	3.301	2.428	1771878129.614
223	100.000	-0.058	100.001	5.285	1.956	1771878129.850
224	100.000	0.039	100.002	4.825	1.170	1771878130.113
225	100.000	-0.023	100.003	5.524	6.276	1771878130.369
226	100.000	0.044	100.007	4.996	5.455	1771878130.609
227	100.000	0.045	100.000	2.152	4.534	1771878130.844
228	100.000	0.000	99.999	3.732	2.446	1771878131.108
229	100.000	0.013	100.005	5.012	1.871	1771878131.372
230	100.000	0.006	100.003	4.407	1.139	1771878131.614
231	100.000	-0.032	100.004	4.949	0.097	1771878131.868
232	100.000	-0.044	99.996	4.434	5.363	1771878132.114
233	100.000	0.021	100.001	1.980	4.319	1771878132.360
234	100.000	0.035	99.998	4.062	2.393	1771878132.616
235	100.000	0.017	100.002	5.005	1.877	1771878132.856
236	100.000	-0.022	99.998	4.356	1.062	1771878133.108
237	100.000	-0.008	100.002	5.126	6.256	1771878133.375
238	100.000	-0.022	99.998	4.429	5.491	1771878133.621
239	100.000	-0.019	100.001	1.162	3.964	1771878133.883
240	100.000	0.032	100.004	4.345	2.237	1771878134.193
241	100.000	-0.000	100.001	4.012	1.497	1771878134.496
242	100.000	-0.004	99.997	4.650	0.133	1771878134.796
243	100.000	0.030	99.996	5.236	5.473	1771878135.051
244	100.000	-0.011	100.002	2.178	4.806	1771878135.305
245	100.000	-0.027	99.996	3.467	2.343	1771878135.572
246	100.000	-0.011	99.998	4.871	1.791	1771878135.814
247	100.000	-0.040	100.002	4.636	0.981	1771878136.059
248	100.000	0.036	100.003	5.619	6.172	1771878136.316
249	100.000	0.024	99.996	4.997	5.502	1771878136.570
250	100.000	-0.004	99.999	1.363	4.295	1771878136.832
251	100.000	-0.030	100.001	4.539	2.221	1771878137.122
252	100.000	-0.046	100.004	4.764	1.712	1771878137.366
253	100.000	-0.001	100.003	4.646	0.643	1771878137.637
254	100.000	-0.007	99.999	5.797	5.865	1771878137.895
255	100.000	0.016	100.005	3.506	5.090	1771878138.204
256	100.000	-0.000	99.998	2.481	2.731	1771878138.447
257	100.000	-0.082	99.999	5.212	2.001	1771878138.762
258	100.000	0.009	100.001	4.450	1.245	1771878139.008
259	100.000	0.022	100.000	5.338	0.155	1771878139.256
260	100.000	0.011	99.999	5.535	5.481	1771878139.495
261	100.000	-0.018	99.995	2.665	4.746	1771878139.765
262	100.000	0.020	100.000	3.393	2.512	1771878139.989
263	100.000	0.002	100.002	4.869	2.050	1771878140.261
264	100.000	-0.015	100.000	4.180	1.214	1771878140.489
265	100.000	0.010	99.998	5.072	0.047	1771878140.767
266	100.000	-0.018	100.000	5.463	5.646	1771878141.010
267	100.000	0.028	100.001	2.274	4.746	1771878141.233
268	100.000	-0.034	100.001	3.162	2.522	1771878141.517
269	100.000	-0.004	100.002	4.637	2.062	1771878141.750
270	100.000	0.021	100.003	4.099	1.231	1771878142.035
271	100.000	0.038	99.998	5.047	6.272	1771878142.257
272	100.000	-0.011	100.000	4.892	5.552	1771878142.530
273	100.000	0.029	100.005	1.636	4.343	1771878142.784
274	100.000	0.005	100.000	3.786	2.323	1771878143.015
275	100.000	-0.040	99.998	4.847	1.919	1771878143.257
276	100.000	0.027	99.997	4.347	0.996	1771878143.515
277	100.000	0.020	99.998	5.200	6.157	1771878143.793
278	100.000	-0.002	100.002	3.854	5.286	1771878144.092
279	100.000	0.048	99.997	1.725	3.030	1771878144.331
280	100.000	-0.020	100.000	4.564	2.159	1771878144.561
281	100.000	-0.039	99.997	4.690	1.668	1771878144.817
282	100.000	0.053	99.998	4.566	0.580	1771878145.075
283	100.000	-0.047	100.003	5.451	5.977	1771878145.333
284	100.000	-0.008	100.001	3.255	5.309	1771878145.570
285	100.000	0.033	100.001	1.451	2.804	1771878145.835
286	100.000	-0.014	99.997	4.795	2.081	1771878146.084
287	100.000	0.009	100.000	4.480	1.510	1771878146.355
288	100.000	0.027	99.997	4.986	0.395	1771878146.617
289	100.000	-0.023	100.000	5.073	5.819	1771878146.864
290	100.000	0.005	100.001	2.509	5.305	1771878147.103
291	100.000	-0.038	99.997	2.304	2.694	1771878147.355
292	100.000	-0.023	100.000	4.912	2.072	1771878147.612
293	100.000	-0.029	100.001	4.444	1.489	1771878147.843
294	100.000	-0.026	100.000	5.235	0.436	1771878148.096
295	100.000	-0.055	100.001	5.295	5.834	1771878148.334
296	100.000	0.001	100.005	3.112	5.193	1771878148.577
297	100.000	0.009	100.002	2.383	2.586	1771878148.847
298	100.000	0.046	100.000	4.640	2.055	1771878149.083
299	100.000	0.010	100.000	4.303	1.420	1771878149.348
300	100.000	-0.000	99.995	5.079	0.297	1771878149.587
301	100.000	0.022	100.004	5.283	5.720	1771878149.857
302	100.000	-0.008	99.998	1.549	4.983	1771878150.150
303	100.000	-0.000	99.994	3.667	2.260	1771878150.407
304	100.000	-0.009	100.001	4.920	1.894	1771878150.672
305	100.000	-0.007	99.998	4.377	0.989	1771878150.923
306	100.000	0.036	100.001	5.663	6.191	1771878151.200
