Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
1	400.000	0.049	400.001	1.460	4.060	2.655	1771525475.263	1771525475.263	1771525475.263	1771525475.263	1771525475.263	1771525475.263
2	400.000	0.041	400.001	1.320	4.006	2.655	1771525475.518	1771525475.518	1771525475.518	1771525475.518	1771525475.518	1771525475.518
3	400.000	0.009	399.995	1.322	4.094	2.655	1771525475.752	1771525475.752	1771525475.752	1771525475.752	1771525475.752	1771525475.752
4	400.000	0.037	399.996	1.359	4.018	2.655	1771525476.009	1771525476.009	1771525476.009	1771525476.009	1771525476.009	1771525476.009
5	400.000	0.031	399.998	1.311	4.011	2.655	1771525476.241	1771525476.241	1771525476.241	1771525476.241	1771525476.241	1771525476.241
6	400.000	-0.002	400.001	1.319	4.038	2.655	1771525476.439	1771525476.439	1771525476.439	1771525476.439	1771525476.439	1771525476.439
7	400.000	-0.041	399.999	1.403	4.049	2.655	1771525476.708	1771525476.708	1771525476.708	1771525476.708	1771525476.708	1771525476.708
8	400.000	-0.021	400.003	1.443	4.053	2.655	1771525476.936	1771525476.936	1771525476.936	1771525476.936	1771525476.936	1771525476.936
9	400.000	0.016	399.999	1.429	4.078	2.655	1771525477.184	1771525477.184	1771525477.184	1771525477.184	1771525477.184	1771525477.184
10	400.000	-0.022	399.997	1.384	4.001	2.655	1771525477.402	1771525477.402	1771525477.402	1771525477.402	1771525477.402	1771525477.402
11	400.000	0.014	400.001	1.385	4.013	2.655	1771525477.604	1771525477.604	1771525477.604	1771525477.604	1771525477.604	1771525477.604
12	400.000	-0.011	400.000	1.391	4.042	2.655	1771525477.827	1771525477.827	1771525477.827	1771525477.827	1771525477.827	1771525477.827
13	400.000	0.013	399.999	1.360	4.081	2.655	1771525478.055	1771525478.055	1771525478.055	1771525478.055	1771525478.055	1771525478.055
14	400.000	0.072	399.997	1.281	4.019	2.655	1771525478.295	1771525478.295	1771525478.295	1771525478.295	1771525478.295	1771525478.295
15	400.000	0.026	399.998	1.331	3.990	2.655	1771525478.516	1771525478.516	1771525478.516	1771525478.516	1771525478.516	1771525478.516
16	400.000	0.058	400.004	1.366	4.115	2.655	1771525478.705	1771525478.705	1771525478.705	1771525478.705	1771525478.705	1771525478.705
17	400.000	0.102	400.003	1.430	4.028	2.655	1771525478.954	1771525478.954	1771525478.954	1771525478.954	1771525478.954	1771525478.954
18	400.000	-0.040	400.002	1.263	3.983	2.655	1771525479.144	1771525479.144	1771525479.144	1771525479.144	1771525479.144	1771525479.144
19	400.000	-0.004	400.000	1.254	4.013	2.655	1771525479.338	1771525479.338	1771525479.338	1771525479.338	1771525479.338	1771525479.338
20	400.000	-0.044	399.998	1.406	4.006	2.655	1771525479.565	1771525479.565	1771525479.565	1771525479.565	1771525479.565	1771525479.565
21	400.000	0.003	400.000	1.291	4.064	2.655	1771525479.831	1771525479.831	1771525479.831	1771525479.831	1771525479.831	1771525479.831
22	400.000	0.042	400.002	1.343	4.066	2.655	1771525480.042	1771525480.042	1771525480.042	1771525480.042	1771525480.042	1771525480.042
23	400.000	-0.037	400.001	1.273	4.002	2.655	1771525480.268	1771525480.268	1771525480.268	1771525480.268	1771525480.268	1771525480.268
24	400.000	-0.013	400.000	1.330	3.991	2.655	1771525480.513	1771525480.513	1771525480.513	1771525480.513	1771525480.513	1771525480.513
25	400.000	-0.039	400.001	1.346	4.008	2.655	1771525480.723	1771525480.723	1771525480.723	1771525480.723	1771525480.723	1771525480.723
26	400.000	0.035	399.995	1.259	3.922	2.655	1771525480.959	1771525480.959	1771525480.959	1771525480.959	1771525480.959	1771525480.959
27	400.000	-0.024	399.997	1.323	4.084	2.655	1771525481.128	1771525481.128	1771525481.128	1771525481.128	1771525481.128	1771525481.128
28	400.000	0.023	400.000	1.353	3.956	2.655	1771525481.358	1771525481.358	1771525481.358	1771525481.358	1771525481.358	1771525481.358
29	400.000	-0.009	400.002	1.342	4.127	2.655	1771525481.612	1771525481.612	1771525481.612	1771525481.612	1771525481.612	1771525481.612
30	400.000	-0.010	399.998	1.515	4.073	2.655	1771525481.826	1771525481.826	1771525481.826	1771525481.826	1771525481.826	1771525481.826
31	400.000	-0.003	400.000	1.348	4.022	2.655	1771525482.069	1771525482.069	1771525482.069	1771525482.069	1771525482.069	1771525482.069
32	400.000	-0.021	400.003	1.259	4.037	2.655	1771525482.262	1771525482.262	1771525482.262	1771525482.262	1771525482.262	1771525482.262
33	400.000	-0.033	399.999	1.480	3.977	2.655	1771525482.475	1771525482.475	1771525482.475	1771525482.475	1771525482.475	1771525482.475
34	400.000	0.005	399.998	1.405	4.047	2.655	1771525482.726	1771525482.726	1771525482.726	1771525482.726	1771525482.726	1771525482.726
35	400.000	0.011	399.999	1.330	4.027	2.655	1771525482.987	1771525482.987	1771525482.987	1771525482.987	1771525482.987	1771525482.987
36	400.000	-0.078	400.001	1.324	4.052	2.655	1771525483.226	1771525483.226	1771525483.226	1771525483.226	1771525483.226	1771525483.226
37	400.000	-0.032	399.999	1.400	3.998	2.655	1771525483.471	1771525483.471	1771525483.471	1771525483.471	1771525483.471	1771525483.471
38	400.000	-0.014	400.003	1.285	3.983	2.655	1771525483.673	1771525483.673	1771525483.673	1771525483.673	1771525483.673	1771525483.673
39	400.000	0.036	400.001	1.369	3.972	2.655	1771525483.940	1771525483.940	1771525483.940	1771525483.940	1771525483.940	1771525483.940
40	400.000	0.007	399.999	1.400	4.022	2.655	1771525484.162	1771525484.162	1771525484.162	1771525484.162	1771525484.162	1771525484.162
41	400.000	-0.043	399.998	1.369	4.002	2.655	1771525484.373	1771525484.373	1771525484.373	1771525484.373	1771525484.373	1771525484.373
42	400.000	0.017	399.999	1.380	3.973	2.655	1771525484.620	1771525484.620	1771525484.620	1771525484.620	1771525484.620	1771525484.620
43	400.000	-0.001	400.001	1.354	3.963	2.655	1771525484.879	1771525484.879	1771525484.879	1771525484.879	1771525484.879	1771525484.879
44	400.000	-0.063	399.997	1.323	3.996	2.655	1771525485.098	1771525485.098	1771525485.098	1771525485.098	1771525485.098	1771525485.098
45	400.000	0.021	400.003	1.528	3.964	2.655	1771525485.295	1771525485.295	1771525485.295	1771525485.295	1771525485.295	1771525485.295
46	400.000	-0.088	400.001	1.364	3.975	2.655	1771525485.536	1771525485.536	1771525485.536	1771525485.536	1771525485.536	1771525485.536
47	400.000	0.007	399.999	1.320	4.030	2.655	1771525485.805	1771525485.805	1771525485.805	1771525485.805	1771525485.805	1771525485.805
48	400.000	0.064	400.002	1.341	4.022	2.655	1771525486.027	1771525486.027	1771525486.027	1771525486.027	1771525486.027	1771525486.027
49	400.000	0.069	399.998	1.233	3.963	2.655	1771525486.207	1771525486.207	1771525486.207	1771525486.207	1771525486.207	1771525486.207
50	400.000	0.025	399.999	1.298	4.070	2.655	1771525486.402	1771525486.402	1771525486.402	1771525486.402	1771525486.402	1771525486.402
51	400.000	0.031	400.002	1.455	4.036	2.655	1771525486.613	1771525486.613	1771525486.613	1771525486.613	1771525486.613	1771525486.613
52	400.000	-0.028	400.002	1.358	4.058	2.655	1771525486.853	1771525486.853	1771525486.853	1771525486.853	1771525486.853	1771525486.853
53	400.000	0.036	400.000	1.332	4.005	2.655	1771525487.041	1771525487.041	1771525487.041	1771525487.041	1771525487.041	1771525487.041
54	400.000	0.041	399.997	1.533	3.925	2.655	1771525487.284	1771525487.284	1771525487.284	1771525487.284	1771525487.284	1771525487.284
55	400.000	-0.052	400.001	1.390	3.982	2.655	1771525487.550	1771525487.550	1771525487.550	1771525487.550	1771525487.550	1771525487.550
56	400.000	-0.073	400.002	1.273	3.987	2.655	1771525487.770	1771525487.770	1771525487.770	1771525487.770	1771525487.770	1771525487.770
57	400.000	0.016	399.997	1.322	3.996	2.655	1771525487.956	1771525487.956	1771525487.956	1771525487.956	1771525487.956	1771525487.956
58	400.000	0.039	399.998	1.356	3.974	2.655	1771525488.151	1771525488.151	1771525488.151	1771525488.151	1771525488.151	1771525488.151
59	400.000	0.035	399.998	1.366	3.983	2.655	1771525488.431	1771525488.431	1771525488.431	1771525488.431	1771525488.431	1771525488.431
60	400.000	0.037	400.001	1.365	3.937	2.655	1771525488.655	1771525488.655	1771525488.655	1771525488.655	1771525488.655	1771525488.655
61	400.000	0.015	399.997	1.421	3.963	2.655	1771525488.896	1771525488.896	1771525488.896	1771525488.896	1771525488.896	1771525488.896
62	400.000	0.002	400.002	1.490	4.032	2.655	1771525489.137	1771525489.137	1771525489.137	1771525489.137	1771525489.137	1771525489.137
63	400.000	-0.008	400.002	1.343	4.036	2.655	1771525489.363	1771525489.363	1771525489.363	1771525489.363	1771525489.363	1771525489.363
64	400.000	-0.028	400.002	1.361	3.999	2.655	1771525489.646	1771525489.646	1771525489.646	1771525489.646	1771525489.646	1771525489.646
65	400.000	-0.060	399.999	1.376	4.031	2.655	1771525489.871	1771525489.871	1771525489.871	1771525489.871	1771525489.871	1771525489.871
66	400.000	0.044	399.998	1.440	4.016	2.655	1771525490.045	1771525490.045	1771525490.045	1771525490.045	1771525490.045	1771525490.045
67	400.000	0.007	399.999	1.339	3.910	2.655	1771525490.323	1771525490.323	1771525490.323	1771525490.323	1771525490.323	1771525490.323
68	400.000	0.008	400.000	1.331	3.958	2.655	1771525490.543	1771525490.543	1771525490.543	1771525490.543	1771525490.543	1771525490.543
69	400.000	0.043	400.000	1.460	3.971	2.655	1771525490.725	1771525490.725	1771525490.725	1771525490.725	1771525490.725	1771525490.725
70	400.000	0.048	399.998	1.438	3.928	2.655	1771525490.931	1771525490.931	1771525490.931	1771525490.931	1771525490.931	1771525490.931
71	400.000	-0.068	399.998	1.325	4.024	2.655	1771525491.116	1771525491.116	1771525491.116	1771525491.116	1771525491.116	1771525491.116
72	400.000	0.035	399.998	1.385	3.965	2.655	1771525491.357	1771525491.357	1771525491.357	1771525491.357	1771525491.357	1771525491.357
73	400.000	-0.030	399.999	1.418	3.887	2.655	1771525491.558	1771525491.558	1771525491.558	1771525491.558	1771525491.558	1771525491.558
74	400.000	-0.012	400.002	1.400	3.943	2.655	1771525491.812	1771525491.812	1771525491.812	1771525491.812	1771525491.812	1771525491.812
75	400.000	-0.054	400.003	1.380	3.939	2.655	1771525492.032	1771525492.032	1771525492.032	1771525492.032	1771525492.032	1771525492.032
76	400.000	-0.023	400.000	1.386	3.968	2.655	1771525492.241	1771525492.241	1771525492.241	1771525492.241	1771525492.241	1771525492.241
77	400.000	0.009	399.997	1.466	3.984	2.655	1771525492.438	1771525492.438	1771525492.438	1771525492.438	1771525492.438	1771525492.438
78	400.000	-0.046	400.003	1.323	4.018	2.655	1771525492.611	1771525492.611	1771525492.611	1771525492.611	1771525492.611	1771525492.611
79	400.000	0.007	399.999	1.296	3.988	2.655	1771525492.816	1771525492.816	1771525492.816	1771525492.816	1771525492.816	1771525492.816
80	400.000	-0.015	399.997	1.432	4.028	2.655	1771525493.019	1771525493.019	1771525493.019	1771525493.019	1771525493.019	1771525493.019
81	400.000	0.033	400.000	1.360	3.961	2.655	1771525493.255	1771525493.255	1771525493.255	1771525493.255	1771525493.255	1771525493.255
82	400.000	-0.056	400.000	1.375	3.968	2.655	1771525493.445	1771525493.445	1771525493.445	1771525493.445	1771525493.445	1771525493.445
83	400.000	-0.022	400.000	1.408	3.972	2.655	1771525493.734	1771525493.734	1771525493.734	1771525493.734	1771525493.734	1771525493.734
84	400.000	-0.035	400.003	1.443	3.959	2.655	1771525493.941	1771525493.941	1771525493.941	1771525493.941	1771525493.941	1771525493.941
85	400.000	0.012	400.001	1.467	3.948	2.655	1771525494.135	1771525494.135	1771525494.135	1771525494.135	1771525494.135	1771525494.135
86	400.000	-0.022	400.002	1.458	3.936	2.655	1771525494.347	1771525494.347	1771525494.347	1771525494.347	1771525494.347	1771525494.347
87	400.000	-0.039	399.996	1.412	3.964	2.655	1771525494.594	1771525494.594	1771525494.594	1771525494.594	1771525494.594	1771525494.594
88	400.000	0.030	400.001	1.303	4.042	2.655	1771525494.827	1771525494.827	1771525494.827	1771525494.827	1771525494.827	1771525494.827
89	400.000	0.006	400.002	1.269	4.023	2.655	1771525495.084	1771525495.084	1771525495.084	1771525495.084	1771525495.084	1771525495.084
90	400.000	0.024	400.003	1.446	3.974	2.655	1771525495.315	1771525495.315	1771525495.315	1771525495.315	1771525495.315	1771525495.315
91	400.000	-0.009	400.002	1.286	3.931	2.655	1771525495.575	1771525495.575	1771525495.575	1771525495.575	1771525495.575	1771525495.575
92	400.000	0.029	399.998	1.367	3.956	2.655	1771525495.830	1771525495.830	1771525495.830	1771525495.830	1771525495.830	1771525495.830
93	400.000	-0.025	399.998	1.433	3.988	2.655	1771525496.077	1771525496.077	1771525496.077	1771525496.077	1771525496.077	1771525496.077
94	400.000	0.004	400.002	1.334	3.944	2.655	1771525496.309	1771525496.309	1771525496.309	1771525496.309	1771525496.309	1771525496.309
95	400.000	-0.002	399.999	1.331	4.003	2.655	1771525496.498	1771525496.498	1771525496.498	1771525496.498	1771525496.498	1771525496.498
96	400.000	-0.035	400.007	1.509	3.983	2.655	1771525496.717	1771525496.717	1771525496.717	1771525496.717	1771525496.717	1771525496.717
97	400.000	-0.012	400.000	1.433	3.956	2.655	1771525496.926	1771525496.926	1771525496.926	1771525496.926	1771525496.926	1771525496.926
98	400.000	0.073	400.002	1.481	4.036	2.655	1771525497.122	1771525497.122	1771525497.122	1771525497.122	1771525497.122	1771525497.122
99	400.000	0.012	399.999	1.400	3.964	2.655	1771525497.318	1771525497.318	1771525497.318	1771525497.318	1771525497.318	1771525497.318
100	400.000	-0.010	400.003	1.487	3.972	2.655	1771525497.508	1771525497.508	1771525497.508	1771525497.508	1771525497.508	1771525497.508
101	400.000	-0.002	400.003	1.422	3.950	2.655	1771525497.750	1771525497.750	1771525497.750	1771525497.750	1771525497.750	1771525497.750
