# # Date: 2026-03-03
# # RES_mm: 1.0
# # NSTEPS: 204
# Step,Encoder_Pos_mm,Unix_Time_s,Elapsed_Time_s
5.300000000000000000e+01,2.271283300000000000e+07,1.772557252951790094e+09,1.231542811393737793e+02
5.400000000000000000e+01,2.271695200000000000e+07,1.772557255236226320e+09,1.254387173652648926e+02
5.500000000000000000e+01,2.272104300000000000e+07,1.772557257517191648e+09,1.277196826934814453e+02
5.600000000000000000e+01,2.272512700000000000e+07,1.772557259791886568e+09,1.299943776130676270e+02
5.700000000000000000e+01,2.272926000000000000e+07,1.772557262065333605e+09,1.322678246498107910e+02
5.800000000000000000e+01,2.273338700000000000e+07,1.772557264353437185e+09,1.345559282302856445e+02
5.900000000000000000e+01,2.273747200000000000e+07,1.772557266637997627e+09,1.368404886722564697e+02
6.000000000000000000e+01,2.274153300000000000e+07,1.772557268908494711e+09,1.391109857559204102e+02
6.100000000000000000e+01,2.274565100000000000e+07,1.772557271178386927e+09,1.413808779716491699e+02
6.200000000000000000e+01,2.274976200000000000e+07,1.772557273458070755e+09,1.436605618000030518e+02
6.300000000000000000e+01,2.275386000000000000e+07,1.772557275745556116e+09,1.459480471611022949e+02
6.400000000000000000e+01,2.275794900000000000e+07,1.772557278025498629e+09,1.482279896736145020e+02
6.500000000000000000e+01,2.276206300000000000e+07,1.772557280324706078e+09,1.505271971225738525e+02
6.600000000000000000e+01,2.276615400000000000e+07,1.772557282610340834e+09,1.528128318786621094e+02
6.700000000000000000e+01,2.277025000000000000e+07,1.772557284885522604e+09,1.550880136489868164e+02
6.800000000000000000e+01,2.277434800000000000e+07,1.772557287179585457e+09,1.573820765018463135e+02
6.900000000000000000e+01,2.277845600000000000e+07,1.772557289466919422e+09,1.596694104671478271e+02
7.000000000000000000e+01,2.278254300000000000e+07,1.772557291755448818e+09,1.619579398632049561e+02
7.100000000000000000e+01,2.278664200000000000e+07,1.772557294032178164e+09,1.642346692085266113e+02
7.200000000000000000e+01,2.279073800000000000e+07,1.772557296317785025e+09,1.665202760696411133e+02
7.300000000000000000e+01,2.279483200000000000e+07,1.772557298610498190e+09,1.688129892349243164e+02
7.400000000000000000e+01,2.279892100000000000e+07,1.772557300897115231e+09,1.710996062755584717e+02
7.500000000000000000e+01,2.280303300000000000e+07,1.772557303190540791e+09,1.733930318355560303e+02
7.600000000000000000e+01,2.280713200000000000e+07,1.772557305472539663e+09,1.756750307083129883e+02
7.700000000000000000e+01,2.281121600000000000e+07,1.772557307753938198e+09,1.779564292430877686e+02
7.800000000000000000e+01,2.281529200000000000e+07,1.772557310036567211e+09,1.802390582561492920e+02
7.900000000000000000e+01,2.281941000000000000e+07,1.772557312306322575e+09,1.825088136196136475e+02
8.000000000000000000e+01,2.282351700000000000e+07,1.772557314583448410e+09,1.847859394550323486e+02
8.100000000000000000e+01,2.282760900000000000e+07,1.772557316874595881e+09,1.870770869255065918e+02
8.200000000000000000e+01,2.283168900000000000e+07,1.772557319162328720e+09,1.893648197650909424e+02
8.300000000000000000e+01,2.283578900000000000e+07,1.772557321436979294e+09,1.916394703388214111e+02
8.400000000000000000e+01,2.283988100000000000e+07,1.772557323712040901e+09,1.939145319461822510e+02
8.500000000000000000e+01,2.284397800000000000e+07,1.772557325999227762e+09,1.962017188072204590e+02
8.600000000000000000e+01,2.284806800000000000e+07,1.772557328280609131e+09,1.984831001758575439e+02
8.700000000000000000e+01,2.285217800000000000e+07,1.772557330550010443e+09,2.007525014877319336e+02
8.800000000000000000e+01,2.285626500000000000e+07,1.772557332826452494e+09,2.030289435386657715e+02
8.900000000000000000e+01,2.286036500000000000e+07,1.772557335115978003e+09,2.053184690475463867e+02
9.000000000000000000e+01,2.286445800000000000e+07,1.772557337399838209e+09,2.076023292541503906e+02
9.100000000000000000e+01,2.286854800000000000e+07,1.772557339695303679e+09,2.098977947235107422e+02
9.200000000000000000e+01,2.287262700000000000e+07,1.772557341975896597e+09,2.121783876419067383e+02
9.300000000000000000e+01,2.287672200000000000e+07,1.772557344253608704e+09,2.144560997486114502e+02
9.400000000000000000e+01,2.288080000000000000e+07,1.772557346532234430e+09,2.167347254753112793e+02
9.500000000000000000e+01,2.288489600000000000e+07,1.772557348823990822e+09,2.190264818668365479e+02
9.600000000000000000e+01,2.288898800000000000e+07,1.772557351106209755e+09,2.213087007999420166e+02
9.700000000000000000e+01,2.289309200000000000e+07,1.772557353398375750e+09,2.236008667945861816e+02
9.800000000000000000e+01,2.289719200000000000e+07,1.772557355672821999e+09,2.258753130435943604e+02
9.900000000000000000e+01,2.290126900000000000e+07,1.772557357950539827e+09,2.281530308723449707e+02
1.000000000000000000e+02,2.290534300000000000e+07,1.772557360244802713e+09,2.304472937583923340e+02
1.010000000000000000e+02,2.290944600000000000e+07,1.772557362519066334e+09,2.327215573787689209e+02
1.020000000000000000e+02,2.291354700000000000e+07,1.772557364810663939e+09,2.350131549835205078e+02
1.030000000000000000e+02,2.291765200000000000e+07,1.772557367102373600e+09,2.373048646450042725e+02
1.040000000000000000e+02,2.292173200000000000e+07,1.772557369382242441e+09,2.395847334861755371e+02
1.050000000000000000e+02,2.292583900000000000e+07,1.772557371665212870e+09,2.418677039146423340e+02
1.060000000000000000e+02,2.292993900000000000e+07,1.772557373961223841e+09,2.441637148857116699e+02
1.070000000000000000e+02,2.293402400000000000e+07,1.772557376253854275e+09,2.464563453197479248e+02
1.080000000000000000e+02,2.293809700000000000e+07,1.772557378538238764e+09,2.487407298088073730e+02
1.090000000000000000e+02,2.294218700000000000e+07,1.772557380817173481e+09,2.510196645259857178e+02
1.100000000000000000e+02,2.294627800000000000e+07,1.772557383100774288e+09,2.533032653331756592e+02
1.110000000000000000e+02,2.295037700000000000e+07,1.772557385396467447e+09,2.555989584922790527e+02
1.120000000000000000e+02,2.295447700000000000e+07,1.772557387668368340e+09,2.578708593845367432e+02
1.130000000000000000e+02,2.295858300000000000e+07,1.772557389957425356e+09,2.601599164009094238e+02
1.140000000000000000e+02,2.296267000000000000e+07,1.772557392241646528e+09,2.624441375732421875e+02
1.150000000000000000e+02,2.296677000000000000e+07,1.772557394517527342e+09,2.647200183868408203e+02
1.160000000000000000e+02,2.297086200000000000e+07,1.772557396807457447e+09,2.670099484920501709e+02
1.170000000000000000e+02,2.297495300000000000e+07,1.772557399089067698e+09,2.692915587425231934e+02
1.180000000000000000e+02,2.297903900000000000e+07,1.772557401373756647e+09,2.715762476921081543e+02
1.190000000000000000e+02,2.298313600000000000e+07,1.772557403646388292e+09,2.738488793373107910e+02
1.200000000000000000e+02,2.298722000000000000e+07,1.772557405920154095e+09,2.761226451396942139e+02
1.210000000000000000e+02,2.299131200000000000e+07,1.772557408207780600e+09,2.784102716445922852e+02
1.220000000000000000e+02,2.299540300000000000e+07,1.772557410495084524e+09,2.806975755691528320e+02
1.230000000000000000e+02,2.299950800000000000e+07,1.772557412774803162e+09,2.829772942066192627e+02
1.240000000000000000e+02,2.300360200000000000e+07,1.772557415058828115e+09,2.852613191604614258e+02
1.250000000000000000e+02,2.300769600000000000e+07,1.772557417335510492e+09,2.875380015373229980e+02
1.260000000000000000e+02,2.301178700000000000e+07,1.772557419637565374e+09,2.898400564193725586e+02
1.270000000000000000e+02,2.301588800000000000e+07,1.772557421927875042e+09,2.921303660869598389e+02
1.280000000000000000e+02,2.301997500000000000e+07,1.772557424220610142e+09,2.944231011867523193e+02
1.290000000000000000e+02,2.302406800000000000e+07,1.772557426497105360e+09,2.966995964050292969e+02
1.300000000000000000e+02,2.302816300000000000e+07,1.772557428779778242e+09,2.989822692871093750e+02
1.310000000000000000e+02,2.303226600000000000e+07,1.772557431068598747e+09,3.012710897922515869e+02
