Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
200.000	200.001	2.036	4.011
200.000	200.003	2.083	2.356
200.000	200.002	3.340	1.649
200.000	200.003	2.488	1.018
200.000	199.996	1.803	5.285
200.000	199.999	2.767	4.561
200.000	200.002	1.588	3.409
200.000	200.002	2.794	1.923
200.000	199.999	3.115	1.226
200.000	200.000	1.364	5.828
200.000	200.002	2.925	4.743
200.000	200.004	1.965	4.042
200.000	200.000	1.942	2.497
200.000	200.001	3.387	1.660
200.000	200.000	2.160	0.884
200.000	200.001	2.061	5.078
200.000	199.998	2.739	4.513
200.000	200.003	1.808	3.493
200.000	200.001	2.715	2.068
200.000	199.999	3.294	1.333
200.000	200.001	1.365	6.270
200.000	199.999	2.649	4.810
200.000	199.999	2.165	4.254
200.000	200.002	1.741	3.012
200.000	199.997	3.024	1.802
200.000	199.999	3.236	1.232
200.000	199.998	1.274	6.061
200.000	199.998	2.844	4.783
200.000	199.999	2.225	4.258
200.000	200.005	1.998	2.536
200.000	199.997	3.558	1.621
200.000	200.000	2.603	0.981
200.000	199.998	1.924	5.241
200.000	200.001	3.071	4.663
200.000	200.003	1.823	3.953
200.000	200.004	2.309	2.228
200.000	199.999	3.353	1.495
200.000	199.997	1.833	0.625
200.000	200.001	2.328	4.958
200.000	199.996	2.669	4.507
200.000	200.003	1.642	3.015
200.000	200.005	3.136	1.775
200.000	199.998	2.764	1.066
200.000	200.001	1.716	5.322
200.000	199.998	2.960	4.621
200.000	200.001	1.645	3.918
200.000	200.001	2.111	2.355
200.000	200.000	3.379	1.606
200.000	200.000	2.526	0.982
200.000	199.999	2.226	4.991
200.000	200.002	2.900	4.535
200.000	199.998	1.580	3.426
200.000	200.002	2.655	2.022
200.000	200.004	3.187	1.297
200.000	200.000	1.288	5.857
200.000	199.997	2.874	4.696
200.000	199.998	1.810	3.935
200.000	200.002	2.323	2.235
200.000	200.008	3.421	1.430
200.000	200.000	1.434	0.147
200.000	200.000	2.822	4.709
200.000	199.999	2.073	4.126
200.000	200.001	2.198	2.475
200.000	200.001	3.308	1.537
200.000	199.997	2.243	0.803
200.000	200.004	1.966	5.104
200.000	200.005	2.864	4.531
200.000	199.997	1.655	3.390
200.000	199.999	2.800	1.948
200.000	200.001	3.109	1.191
200.000	200.006	1.381	6.019
200.000	200.000	2.907	4.751
200.000	199.997	1.970	4.145
200.000	200.000	2.190	2.477
200.000	200.001	3.336	1.625
200.000	200.000	2.402	0.975
200.000	200.001	1.885	5.155
200.000	199.999	3.010	4.583
200.000	200.001	1.793	3.793
200.000	200.004	2.299	2.366
200.000	200.001	3.338	1.505
200.000	200.004	1.764	0.584
200.000	200.001	2.521	4.881
200.000	199.999	2.590	4.474
200.000	200.000	1.756	2.952
200.000	199.999	2.990	1.810
200.000	200.002	2.984	1.145
200.000	200.003	1.364	5.812
200.000	199.997	2.875	4.730
200.000	200.002	2.216	4.233
200.000	199.998	1.970	2.666
200.000	200.000	3.212	1.643
200.000	200.000	2.480	0.942
200.000	200.000	1.838	5.214
200.000	199.998	2.894	4.590
200.000	199.998	1.705	3.586
200.000	200.000	2.336	2.212
200.000	200.000	3.417	1.485
200.000	200.004	1.836	0.649
200.000	200.001	2.452	4.861
200.000	200.000	2.349	4.376
200.000	200.002	1.869	2.760
200.000	199.998	3.130	1.745
200.000	200.000	2.692	1.050
200.000	200.003	1.536	5.483
200.000	200.004	2.926	4.676
200.000	200.000	1.800	3.964
200.000	200.000	2.058	2.451
200.000	200.000	3.365	1.520
200.000	199.999	1.831	0.638
200.000	199.998	2.491	4.882
200.000	199.998	2.574	4.440
200.000	199.999	1.577	3.151
200.000	199.999	2.741	1.899
200.000	199.998	3.363	1.230
200.000	199.999	1.311	6.090
200.000	199.999	2.868	4.723
200.000	200.001	2.083	4.198
200.000	200.005	1.830	2.631
200.000	199.998	3.184	1.596
200.000	199.999	2.564	0.898
200.000	199.999	1.913	5.055
200.000	200.002	2.716	4.476
200.000	199.995	1.415	3.365
200.000	199.997	2.700	1.970
200.000	200.000	3.259	1.179
200.000	199.999	1.354	6.244
200.000	200.001	2.612	4.747
200.000	199.995	2.228	4.298
200.000	199.999	1.676	2.865
200.000	199.997	3.092	1.774
200.000	200.001	2.919	1.064
200.000	200.000	1.787	5.211
200.000	199.998	2.888	4.537
200.000	199.995	1.552	3.697
200.000	199.999	2.345	2.178
200.000	200.000	3.270	1.321
200.000	200.002	1.556	0.161
200.000	200.000	2.723	4.727
200.000	199.999	2.112	4.261
200.000	200.000	1.801	2.679
200.000	200.002	3.243	1.574
200.000	199.999	2.045	0.691
200.000	199.997	2.392	4.865
200.000	200.002	2.504	4.344
200.000	200.000	1.743	2.768
200.000	200.000	3.054	1.742
200.000	200.000	2.813	1.017
200.000	199.998	1.366	5.610
200.000	200.002	2.918	4.579
200.000	200.000	1.866	3.968
200.000	200.000	2.113	2.467
200.000	199.999	3.291	1.610
200.000	200.001	2.189	0.703
200.000	199.998	2.080	5.004
200.000	200.004	2.933	4.477
200.000	199.997	1.588	3.594
200.000	200.000	2.477	2.258
200.000	200.002	3.394	1.443
200.000	200.001	1.985	0.578
200.000	199.997	2.313	4.888
200.000	199.997	2.506	4.383
200.000	200.000	1.643	3.030
200.000	200.004	2.901	1.883
200.000	200.001	3.391	1.218
200.000	200.003	1.604	0.221
200.000	200.001	2.647	4.777
200.000	200.001	2.105	4.213
200.000	199.996	1.817	2.604
200.000	200.003	3.089	1.736
200.000	200.002	2.962	1.037
200.000	199.999	1.495	5.565
200.000	199.997	2.899	4.638
200.000	199.997	1.964	4.103
200.000	199.997	1.959	2.529
200.000	199.999	3.278	1.619
200.000	200.000	2.693	0.932
200.000	200.000	1.575	5.501
200.000	200.001	2.994	4.591
200.000	200.001	1.494	3.666
200.000	200.003	2.528	2.155
200.000	200.001	3.524	1.453
200.000	200.001	1.960	0.668
200.000	200.001	2.159	4.952
200.000	199.999	2.805	4.474
200.000	200.000	1.540	3.373
200.000	200.003	2.640	2.151
200.000	199.998	3.267	1.281
200.000	199.999	1.614	0.265
200.000	200.000	2.496	4.798
200.000	199.999	2.423	4.281
200.000	199.997	1.768	2.745
200.000	200.001	3.303	1.721
200.000	200.003	3.019	1.018
200.000	199.998	1.442	5.656
200.000	200.004	2.965	4.609
200.000	199.998	1.606	3.802
200.000	199.997	2.405	2.235
200.000	200.002	3.458	1.491
200.000	200.000	2.506	0.783
200.000	199.999	1.945	5.160
200.000	200.001	2.718	4.382
200.000	200.001	1.585	3.049
200.000	200.001	3.079	1.813
200.000	200.003	2.805	0.969
200.000	199.999	1.928	5.135
200.000	200.002	2.798	4.458
200.000	200.001	1.594	3.369
200.000	200.000	2.699	2.125
200.000	200.001	3.389	1.322
200.000	199.996	1.610	0.105
200.000	200.002	2.603	4.745
200.000	199.998	2.489	4.323
200.000	200.002	1.783	2.785
200.000	199.998	3.133	1.818
200.000	199.999	2.909	1.014
200.000	200.001	1.534	5.702
200.000	199.999	2.859	4.609
200.000	200.000	1.909	3.973
200.000	199.997	2.331	2.315
200.000	199.997	3.553	1.491
200.000	199.996	2.406	0.750
200.000	199.999	1.888	5.167
200.000	200.001	2.826	4.473
200.000	200.001	1.640	3.548
200.000	200.001	2.658	2.125
200.000	200.003	3.239	1.326
200.000	200.001	1.752	0.259
200.000	200.002	2.497	4.784
200.000	200.000	2.334	4.263
200.000	199.998	1.744	2.877
200.000	200.000	2.974	1.950
200.000	199.999	3.200	1.197
200.000	200.000	1.427	5.817
200.000	199.999	2.858	4.577
200.000	200.000	1.663	3.877
200.000	200.000	2.424	2.257
200.000	199.999	3.415	1.428
200.000	200.001	1.995	0.532
200.000	200.001	2.176	4.937
200.000	200.001	2.706	4.401
200.000	200.001	1.628	3.057
200.000	200.004	3.075	1.892
200.000	200.001	3.144	1.200
200.000	199.997	1.582	6.198
200.000	200.006	2.623	4.698
200.000	200.002	2.282	4.219
200.000	199.996	1.764	2.788
200.000	200.001	3.052	1.917
200.000	199.999	3.292	1.177
200.000	199.997	1.556	6.146
200.000	200.002	2.721	4.684
200.000	200.001	2.287	4.219
200.000	200.000	1.722	2.818
200.000	199.999	3.212	1.808
200.000	200.002	3.020	1.043
200.000	199.999	1.559	5.842
200.000	199.997	2.790	4.625
200.000	200.001	1.959	3.984
200.000	200.004	2.308	2.366
200.000	200.000	3.347	1.465
200.000	199.999	2.122	0.538
200.000	199.998	2.132	4.935
200.000	200.002	2.784	4.454
200.000	199.996	1.688	3.218
200.000	199.996	3.073	1.802
200.000	200.001	3.038	1.031
200.000	200.001	1.602	5.667
200.000	200.007	2.831	4.576
200.000	199.999	1.788	3.836
200.000	200.003	2.296	2.339
200.000	200.001	3.376	1.424
200.000	200.001	2.022	0.415
200.000	199.999	2.450	4.783
200.000	200.000	2.279	4.169
200.000	200.000	1.862	2.794
200.000	200.000	3.066	1.777
200.000	199.999	2.945	0.984
