Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	500.000	0.063	499.999	0.073	4.010	1771880020.791
2	500.000	-0.015	500.000	0.134	4.198	1771880021.065
3	500.000	-0.019	500.002	0.138	4.117	1771880021.292
4	500.000	0.015	499.999	0.083	4.540	1771880021.531
5	500.000	0.003	499.999	0.009	0.689	1771880021.809
6	500.000	0.032	500.000	0.093	4.073	1771880022.061
7	500.000	0.002	500.000	0.069	5.983	1771880022.317
8	500.000	-0.029	499.999	0.058	4.483	1771880022.545
9	500.000	0.021	499.997	0.102	4.562	1771880022.784
10	500.000	-0.029	499.999	0.077	6.139	1771880023.050
11	500.000	-0.023	500.002	0.071	4.393	1771880023.307
12	500.000	0.090	500.000	0.126	5.033	1771880023.558
13	500.000	-0.077	499.997	0.113	5.284	1771880023.797
14	500.000	0.031	500.001	0.042	1.064	1771880024.060
15	500.000	-0.002	500.000	0.088	4.137	1771880024.302
16	500.000	0.008	499.999	0.125	2.348	1771880024.528
17	500.000	0.024	499.999	0.061	4.734	1771880024.794
18	500.000	0.043	500.002	0.051	4.289	1771880025.041
19	500.000	-0.009	500.002	0.066	5.308	1771880025.318
20	500.000	0.015	500.000	0.101	3.705	1771880025.550
21	500.000	0.023	500.002	0.022	4.778	1771880025.792
22	500.000	-0.028	500.000	0.009	0.667	1771880026.059
23	500.000	0.024	500.002	0.060	0.456	1771880026.288
24	500.000	0.007	500.000	0.065	4.306	1771880026.543
25	500.000	-0.048	500.001	0.073	3.783	1771880026.809
26	500.000	0.002	500.001	0.066	5.817	1771880027.056
27	500.000	-0.009	499.998	0.059	4.998	1771880027.308
28	500.000	-0.020	500.000	0.044	3.788	1771880027.558
29	500.000	-0.039	499.999	0.028	4.528	1771880027.823
30	500.000	-0.034	500.000	0.112	4.083	1771880028.026
31	500.000	0.001	500.003	0.061	3.450	1771880028.304
32	500.000	0.013	500.000	0.129	4.450	1771880028.542
33	500.000	-0.018	499.997	0.035	3.124	1771880028.811
34	500.000	0.052	500.002	0.053	3.963	1771880029.038
35	500.000	-0.001	500.001	0.009	5.168	1771880029.305
36	500.000	0.012	500.000	0.041	4.036	1771880029.562
37	500.000	-0.020	500.000	0.089	4.347	1771880029.813
38	500.000	-0.018	500.000	0.101	4.058	1771880030.043
39	500.000	0.007	499.999	0.045	4.800	1771880030.273
40	500.000	-0.005	499.999	0.060	4.351	1771880030.537
41	500.000	-0.033	500.003	0.050	3.665	1771880030.797
42	500.000	-0.004	500.000	0.107	3.802	1771880031.056
43	500.000	0.040	500.000	0.010	5.070	1771880031.288
44	500.000	-0.016	499.998	0.092	4.858	1771880031.542
45	500.000	0.023	500.001	0.137	4.157	1771880031.805
46	500.000	0.016	500.003	0.098	4.828	1771880032.075
47	500.000	0.006	499.996	0.076	4.385	1771880032.326
48	500.000	-0.034	499.999	0.028	4.391	1771880032.529
49	500.000	-0.013	500.001	0.040	4.712	1771880032.794
50	500.000	-0.040	500.000	0.079	4.276	1771880033.047
51	500.000	0.015	500.000	0.055	4.473	1771880033.309
52	500.000	0.012	500.003	0.050	0.626	1771880033.548
