Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.002	0.348	2.315
400.000	400.000	0.207	2.412
400.000	399.999	0.268	2.626
400.000	399.999	0.264	2.227
400.000	399.998	0.215	1.891
400.000	400.000	0.249	1.979
400.000	399.999	0.269	1.873
400.000	400.000	0.303	2.181
400.000	400.000	0.235	2.141
400.000	399.999	0.660	2.330
400.000	400.001	0.946	2.336
400.000	399.999	0.897	2.453
400.000	399.997	0.843	2.372
400.000	400.002	0.895	2.391
400.000	399.997	0.896	2.354
400.000	399.999	0.926	2.414
400.000	399.999	0.912	2.391
400.000	399.996	0.250	2.733
400.000	400.001	0.118	2.468
400.000	400.000	0.110	3.677
400.000	400.001	0.142	2.861
400.000	400.000	0.057	3.278
400.000	400.004	0.173	3.249
400.000	400.001	0.180	2.930
400.000	400.002	0.130	3.990
400.000	399.998	0.333	2.466
400.000	400.002	0.226	2.113
400.000	399.999	0.231	2.079
400.000	400.000	0.183	1.894
400.000	400.000	0.262	2.197
400.000	400.000	0.279	2.129
400.000	399.999	0.257	2.333
400.000	400.000	0.236	2.027
400.000	400.001	0.255	2.028
400.000	399.996	0.609	2.537
400.000	400.002	0.757	2.519
400.000	400.001	0.911	2.420
400.000	400.001	0.863	2.475
400.000	399.998	0.803	2.371
400.000	400.000	0.819	2.416
400.000	400.001	0.777	2.288
400.000	400.001	0.533	2.356
400.000	399.999	0.230	2.307
400.000	399.996	0.328	2.924
400.000	400.000	0.297	2.865
400.000	400.001	0.275	3.036
400.000	399.999	0.202	2.611
400.000	400.001	0.240	3.000
400.000	400.000	0.212	2.872
400.000	399.999	0.256	3.054
400.000	400.002	0.390	2.410
400.000	399.999	0.029	5.833
400.000	400.002	0.136	3.569
400.000	399.999	0.055	5.174
400.000	399.997	0.040	3.124
400.000	400.001	0.097	3.964
400.000	400.000	0.051	1.806
400.000	400.000	0.086	4.221
400.000	400.001	0.142	5.937
400.000	399.998	0.767	2.254
400.000	399.996	0.761	2.129
400.000	400.000	0.770	2.399
400.000	400.000	0.861	2.294
400.000	399.996	0.773	2.210
400.000	400.002	0.772	2.359
400.000	399.998	0.728	2.348
400.000	399.998	0.293	2.710
400.000	400.001	0.324	2.824
400.000	399.999	0.454	2.800
400.000	400.001	0.426	2.435
400.000	400.000	0.468	2.781
400.000	400.000	0.354	2.776
400.000	400.001	0.383	2.635
400.000	400.001	0.399	2.602
400.000	400.000	0.253	2.363
400.000	400.000	0.104	5.291
400.000	400.002	0.116	4.724
400.000	400.002	0.066	5.048
400.000	400.001	0.130	4.806
400.000	400.004	0.169	4.177
400.000	399.999	0.131	5.158
400.000	400.003	0.226	5.333
400.000	399.997	0.188	4.555
400.000	400.002	0.598	2.392
400.000	400.001	0.709	2.337
400.000	399.998	0.696	2.422
400.000	400.002	0.705	2.229
400.000	400.001	0.784	2.037
400.000	400.003	0.697	2.228
400.000	400.001	0.789	2.420
400.000	400.000	0.733	2.283
400.000	399.998	0.373	2.480
400.000	400.000	0.576	2.462
400.000	400.000	0.615	2.481
400.000	399.999	0.654	2.434
400.000	400.001	0.543	2.399
400.000	399.998	0.643	2.372
400.000	400.000	0.619	2.505
400.000	399.999	0.573	2.473
400.000	400.000	0.599	2.353
400.000	400.002	0.504	2.477
400.000	399.999	0.252	4.502
400.000	399.999	0.206	4.638
400.000	400.001	0.209	4.318
400.000	400.000	0.161	4.649
400.000	399.998	0.168	4.808
400.000	400.001	0.246	4.425
400.000	400.000	0.168	4.439
400.000	399.999	0.221	4.120
400.000	400.002	0.648	2.264
400.000	400.000	0.669	2.238
400.000	399.999	0.656	2.053
400.000	400.001	0.594	2.411
400.000	399.999	0.618	2.090
400.000	400.002	0.635	2.262
400.000	399.998	0.653	2.140
400.000	399.998	0.419	2.695
400.000	399.998	0.725	2.438
400.000	399.998	0.794	2.617
400.000	399.998	0.744	2.549
400.000	399.999	0.813	2.446
400.000	400.004	0.784	2.557
400.000	399.998	0.672	2.544
400.000	400.002	0.416	2.503
400.000	400.000	0.269	4.712
400.000	400.001	0.274	4.327
400.000	399.999	0.229	4.692
400.000	399.999	0.215	4.602
400.000	399.997	0.326	4.330
400.000	399.999	0.294	4.612
400.000	400.002	0.290	4.550
400.000	399.999	0.266	4.245
400.000	399.999	0.451	2.298
400.000	400.001	0.530	2.314
400.000	400.000	0.424	1.847
400.000	399.998	0.564	2.171
400.000	400.004	0.443	2.133
400.000	400.004	0.497	1.966
400.000	400.004	0.539	2.207
400.000	399.999	0.542	2.031
400.000	400.000	0.537	2.532
400.000	400.001	0.782	2.508
400.000	400.001	0.929	2.469
400.000	400.001	0.832	2.415
400.000	400.002	0.793	2.438
400.000	400.000	0.889	2.417
400.000	399.997	0.892	2.571
400.000	400.000	0.860	2.554
400.000	400.000	0.291	2.526
400.000	400.003	0.246	4.304
400.000	400.001	0.256	4.576
400.000	400.002	0.347	4.432
400.000	400.000	0.294	4.223
400.000	400.001	0.292	4.331
400.000	399.997	0.289	4.267
400.000	400.000	0.191	4.335
400.000	400.003	0.335	4.259
400.000	400.001	0.572	2.214
400.000	400.000	0.469	2.196
400.000	400.002	0.497	2.115
400.000	400.000	0.499	2.088
400.000	400.000	0.470	2.184
400.000	400.000	0.499	2.075
400.000	399.998	0.476	2.259
400.000	399.998	0.428	2.097
400.000	399.999	0.568	2.442
400.000	400.004	0.820	2.441
400.000	399.997	0.875	2.566
400.000	400.003	0.803	2.570
400.000	399.997	0.877	2.565
400.000	400.003	0.856	2.453
400.000	400.001	0.887	2.518
400.000	399.998	0.820	2.495
400.000	400.001	0.363	2.522
400.000	399.997	0.198	4.545
400.000	400.000	0.286	4.406
400.000	399.999	0.224	4.364
400.000	400.002	0.166	4.550
400.000	399.998	0.225	4.770
400.000	400.002	0.253	4.322
400.000	400.001	0.292	4.395
400.000	399.996	0.269	4.438
400.000	400.001	0.454	2.783
400.000	400.001	0.463	1.936
400.000	400.002	0.464	2.048
400.000	399.998	0.435	2.316
400.000	399.998	0.422	2.005
400.000	400.000	0.430	2.012
400.000	400.003	0.487	2.131
400.000	400.001	0.306	2.194
400.000	399.999	0.895	2.415
400.000	400.000	0.953	2.501
400.000	400.002	0.857	2.459
400.000	399.999	0.933	2.442
400.000	400.000	0.941	2.477
400.000	400.000	0.947	2.471
400.000	399.998	0.890	2.586
400.000	399.999	0.922	2.502
400.000	400.002	0.290	3.324
400.000	400.001	0.287	4.040
400.000	400.002	0.323	3.949
400.000	400.000	0.370	3.781
400.000	399.997	0.345	3.783
400.000	400.002	0.325	3.902
400.000	400.001	0.329	3.812
400.000	400.000	0.364	4.064
400.000	400.000	0.330	1.925
400.000	399.995	0.213	2.014
400.000	399.999	0.160	1.820
400.000	400.002	0.295	1.504
400.000	400.003	0.281	1.574
400.000	400.000	0.196	1.670
400.000	400.005	0.295	1.723
400.000	400.003	0.240	1.751
400.000	400.000	0.352	2.741
400.000	400.000	0.974	2.402
400.000	400.001	0.962	2.399
400.000	400.000	0.944	2.381
400.000	400.003	0.953	2.446
400.000	399.999	0.914	2.369
400.000	400.001	0.949	2.460
400.000	400.001	0.907	2.344
400.000	400.001	0.255	2.756
400.000	399.998	0.302	3.316
400.000	400.000	0.365	3.647
400.000	399.999	0.330	3.251
400.000	400.002	0.310	3.303
400.000	399.999	0.295	3.697
400.000	399.999	0.411	3.583
400.000	400.002	0.397	3.474
400.000	400.001	0.394	2.529
400.000	400.001	0.151	1.561
400.000	400.001	0.075	1.515
400.000	399.998	0.069	0.710
400.000	400.000	0.152	1.734
400.000	400.001	0.079	0.658
400.000	399.999	0.117	1.268
