Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
400.000	400.002	0.612	2.696
400.000	399.999	0.570	2.312
400.000	399.996	0.499	2.005
400.000	399.999	0.597	1.422
400.000	399.998	0.514	0.966
400.000	399.999	0.671	0.274
400.000	400.000	0.750	6.038
400.000	399.998	0.745	5.109
400.000	400.000	0.653	4.583
400.000	399.998	0.601	3.955
400.000	400.001	0.595	3.273
400.000	400.003	0.660	2.684
400.000	399.999	0.575	2.476
400.000	399.997	0.591	1.988
400.000	400.001	0.524	1.641
400.000	399.998	0.521	1.261
400.000	400.000	0.562	0.719
400.000	400.002	0.734	0.221
400.000	399.997	0.738	6.028
400.000	399.997	0.744	5.350
400.000	400.002	0.722	4.747
400.000	400.002	0.694	4.054
400.000	400.001	0.748	3.565
400.000	399.999	0.574	3.089
400.000	399.998	0.681	2.734
400.000	400.003	0.651	2.404
400.000	400.000	0.632	2.010
400.000	399.999	0.552	1.628
400.000	399.999	0.516	1.160
400.000	399.999	0.664	0.643
400.000	399.998	0.629	6.097
400.000	400.000	0.772	5.497
400.000	400.002	0.741	4.718
400.000	399.998	0.666	4.280
400.000	399.997	0.654	3.695
400.000	400.001	0.602	2.951
400.000	400.000	0.595	2.626
400.000	400.001	0.602	2.417
400.000	399.998	0.517	2.077
400.000	399.999	0.550	1.606
400.000	399.999	0.476	1.059
400.000	399.999	0.645	0.316
400.000	399.998	0.734	6.130
400.000	399.997	0.765	5.351
400.000	399.999	0.777	4.690
400.000	400.000	0.652	4.250
400.000	399.998	0.685	3.450
400.000	399.998	0.622	2.977
400.000	400.001	0.590	2.364
400.000	399.999	0.516	2.320
400.000	399.998	0.525	1.790
400.000	400.002	0.533	1.458
400.000	400.005	0.573	0.798
400.000	400.002	0.673	0.223
400.000	399.998	0.709	5.937
400.000	399.998	0.781	5.507
400.000	400.000	0.717	4.853
400.000	400.002	0.654	4.038
400.000	400.001	0.576	3.505
400.000	400.001	0.587	3.018
400.000	400.001	0.535	2.722
400.000	400.002	0.557	2.204
400.000	400.001	0.562	1.817
400.000	400.001	0.489	1.233
400.000	400.001	0.599	0.734
400.000	400.002	0.647	0.265
400.000	399.996	0.735	6.014
400.000	399.999	0.730	5.529
400.000	399.999	0.665	4.959
400.000	400.002	0.702	4.153
400.000	400.000	0.640	3.613
400.000	400.000	0.627	2.968
400.000	399.997	0.583	2.401
400.000	400.002	0.568	2.189
400.000	400.000	0.549	1.885
400.000	400.000	0.449	1.591
