Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	400.000	-0.010	399.998	0.095	4.016	1772228204.388
2	400.000	-0.061	400.000	0.196	4.238	1772228204.609
3	400.000	0.016	399.999	0.169	4.321	1772228204.837
4	400.000	0.005	400.001	0.047	4.640	1772228205.087
5	400.000	0.015	400.001	0.071	5.145	1772228205.301
6	400.000	-0.046	400.001	0.125	3.875	1772228205.576
7	400.000	0.058	400.000	0.115	4.085	1772228205.827
8	400.000	-0.036	399.998	0.111	4.118	1772228206.071
9	400.000	0.049	400.003	0.111	4.527	1772228206.315
10	400.000	-0.002	399.997	0.084	3.960	1772228206.537
11	400.000	-0.018	399.997	0.153	4.347	1772228206.768
12	400.000	-0.069	400.000	0.164	4.031	1772228207.012
13	400.000	0.023	399.999	0.037	3.305	1772228207.234
14	400.000	0.026	399.998	0.024	4.487	1772228207.506
15	400.000	-0.006	399.999	0.011	5.282	1772228207.759
16	400.000	-0.030	399.999	0.185	4.703	1772228208.008
17	400.000	-0.020	400.003	0.107	4.754	1772228208.262
18	400.000	-0.010	400.002	0.086	4.816	1772228208.518
19	400.000	0.039	399.999	0.062	2.904	1772228208.776
20	400.000	0.013	399.998	0.064	5.095	1772228209.012
21	400.000	-0.013	399.997	0.187	3.833	1772228209.268
22	400.000	0.007	399.997	0.078	4.121	1772228209.516
23	400.000	0.024	399.998	0.163	3.416	1772228209.767
24	400.000	-0.053	399.998	0.047	4.166	1772228210.024
25	400.000	0.033	399.995	0.050	3.482	1772228210.267
26	400.000	-0.009	399.999	0.097	4.499	1772228210.514
27	400.000	-0.013	399.998	0.152	4.147	1772228210.790
28	400.000	0.051	399.999	0.111	5.198	1772228211.006
29	400.000	-0.000	399.998	0.061	4.224	1772228211.263
30	400.000	0.001	400.000	0.085	4.231	1772228211.506
31	400.000	-0.002	400.002	0.180	3.995	1772228211.757
32	400.000	-0.008	400.000	0.084	4.840	1772228212.013
33	400.000	-0.036	400.002	0.103	4.937	1772228212.268
34	400.000	0.058	399.997	0.029	3.792	1772228212.494
35	400.000	-0.079	399.997	0.158	4.384	1772228212.753
36	400.000	0.003	400.000	0.083	4.204	1772228212.993
37	400.000	0.016	399.999	0.156	3.809	1772228213.266
38	400.000	-0.034	400.002	0.098	4.731	1772228213.520
39	400.000	-0.008	399.999	0.120	4.211	1772228213.786
40	400.000	-0.065	400.005	0.025	5.004	1772228214.040
41	400.000	0.006	399.997	0.082	4.645	1772228214.309
42	400.000	0.031	400.000	0.106	4.196	1772228214.541
43	400.000	0.052	399.999	0.125	4.626	1772228214.772
44	400.000	-0.032	399.999	0.031	5.636	1772228215.069
45	400.000	0.018	400.001	0.121	4.466	1772228215.365
46	400.000	-0.016	399.998	0.060	4.775	1772228215.620
47	400.000	0.075	399.998	0.041	3.833	1772228215.911
48	400.000	-0.049	400.002	0.091	4.469	1772228216.142
49	400.000	0.071	399.999	0.175	3.770	1772228216.426
50	400.000	0.082	400.003	0.086	5.094	1772228216.651
51	400.000	-0.006	399.999	0.082	4.454	1772228216.921
52	400.000	-0.044	399.998	0.033	3.266	1772228217.172
