Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	300.000	0.026	300.009	1.897	1.520	1783099291.840
2	300.000	0.020	300.012	1.830	1.528	1783099292.132
3	300.000	-0.006	300.012	1.847	1.495	1783099292.386
4	300.000	-0.020	300.010	1.690	1.540	1783099292.636
5	300.000	-0.019	300.009	1.871	1.505	1783099292.891
6	300.000	-0.023	300.009	1.811	1.493	1783099293.114
7	300.000	0.037	300.006	1.732	1.494	1783099293.405
8	300.000	-0.003	300.007	1.752	1.525	1783099293.707
9	300.000	-0.014	300.004	1.787	1.457	1783099293.953
10	300.000	-0.039	300.004	1.718	1.514	1783099294.224
11	300.000	0.021	300.007	1.821	1.508	1783099294.532
12	300.000	-0.014	300.008	1.788	1.504	1783099294.772
13	300.000	0.024	300.003	1.812	1.478	1783099295.047
14	300.000	-0.037	300.002	1.853	1.445	1783099295.323
15	300.000	0.080	299.999	1.838	1.439	1783099295.551
16	300.000	0.042	300.004	1.719	1.471	1783099295.817
17	300.000	-0.021	300.005	1.746	1.474	1783099296.098
18	300.000	-0.047	300.004	1.809	1.446	1783099296.393
19	300.000	0.023	300.003	1.882	1.406	1783099296.629
20	300.000	-0.028	300.003	1.791	1.428	1783099296.897
21	300.000	-0.010	300.000	1.864	1.396	1783099297.132
22	300.000	-0.006	300.006	1.782	1.456	1783099297.405
23	300.000	0.020	299.998	1.828	1.452	1783099297.712
24	300.000	0.018	300.006	1.750	1.444	1783099298.021
25	300.000	0.047	300.002	1.872	1.425	1783099298.262
26	300.000	0.034	300.002	1.769	1.444	1783099298.498
27	300.000	0.029	300.003	1.741	1.456	1783099298.724
28	300.000	-0.043	300.000	1.724	1.470	1783099299.009
29	300.000	0.018	300.001	1.767	1.454	1783099299.245
30	300.000	0.006	300.000	1.848	1.421	1783099299.522
31	300.000	0.013	300.003	1.731	1.473	1783099299.761
32	300.000	0.066	300.003	1.745	1.428	1783099300.004
33	300.000	-0.001	300.003	1.760	1.468	1783099300.252
34	300.000	-0.053	300.001	1.790	1.421	1783099300.524
35	300.000	0.003	300.000	1.846	1.418	1783099300.805
36	300.000	-0.078	300.002	1.757	1.418	1783099301.068
37	300.000	0.004	300.002	1.724	1.430	1783099301.337
38	300.000	0.001	300.003	1.843	1.391	1783099301.641
39	300.000	-0.032	300.003	1.788	1.424	1783099301.876
40	300.000	-0.005	299.997	1.740	1.459	1783099302.118
41	300.000	0.045	299.999	1.822	1.412	1783099302.366
42	300.000	-0.034	300.001	1.708	1.421	1783099302.632
43	300.000	0.001	300.003	1.706	1.472	1783099302.877
44	300.000	-0.008	300.001	1.780	1.403	1783099303.094
45	300.000	0.014	300.000	1.765	1.441	1783099303.373
46	300.000	0.030	299.998	1.760	1.444	1783099303.607
47	300.000	-0.013	299.997	1.750	1.412	1783099303.878
48	300.000	0.002	300.001	1.724	1.416	1783099304.119
49	300.000	-0.025	300.003	1.740	1.435	1783099304.393
50	300.000	0.020	300.004	1.852	1.456	1783099304.703
51	300.000	-0.015	299.999	1.783	1.462	1783099304.991
52	300.000	0.034	300.001	1.705	1.451	1783099305.260
53	300.000	0.053	300.000	1.781	1.420	1783099305.509
54	300.000	-0.033	299.997	1.866	1.413	1783099305.755
55	300.000	0.024	300.002	1.845	1.466	1783099306.007
56	300.000	0.001	300.002	1.777	1.442	1783099306.273
57	300.000	-0.005	300.003	1.760	1.455	1783099306.525
58	300.000	-0.032	300.006	1.803	1.425	1783099306.766
59	300.000	0.021	300.005	1.807	1.423	1783099307.012
60	300.000	0.000	300.004	1.886	1.393	1783099307.268
61	300.000	-0.050	299.998	1.754	1.422	1783099307.517
62	300.000	0.055	300.000	1.490	0.907	1783099307.771
63	300.000	0.021	299.997	0.641	1.917	1783099308.019
64	300.000	0.004	300.002	0.676	1.051	1783099308.269
65	300.000	0.032	300.002	0.277	1.822	1783099308.497
66	300.000	0.035	299.999	0.264	1.617	1783099308.783
67	300.000	0.012	300.002	0.306	1.317	1783099309.040
68	300.000	-0.028	300.000	0.536	1.313	1783099309.335
69	300.000	-0.012	300.000	0.391	0.713	1783099309.591
70	300.000	0.022	299.998	0.268	2.196	1783099309.836
71	300.000	-0.026	299.999	0.459	1.303	1783099310.071
72	300.000	0.033	300.001	0.453	1.202	1783099310.333
73	300.000	0.027	300.003	0.332	0.702	1783099310.564
74	300.000	0.042	300.000	0.341	1.821	1783099310.837
75	300.000	0.034	300.003	0.516	1.477	1783099311.080
76	300.000	0.027	299.998	0.466	0.859	1783099311.329
77	300.000	-0.044	300.000	0.322	1.510	1783099311.571
78	300.000	0.004	300.001	0.452	1.381	1783099311.834
79	300.000	0.025	299.998	0.296	2.053	1783099312.085
80	300.000	0.001	300.003	0.414	1.945	1783099312.322
81	300.000	0.030	299.998	0.514	1.683	1783099312.581
82	300.000	0.046	300.002	0.346	1.629	1783099312.816
83	300.000	-0.037	299.999	0.325	0.674	1783099313.070
84	300.000	-0.026	300.002	0.442	1.804	1783099313.344
85	300.000	0.013	299.999	0.245	1.983	1783099313.649
86	300.000	0.031	299.999	0.353	1.023	1783099313.884
87	300.000	-0.025	300.001	0.303	1.683	1783099314.151
88	300.000	-0.039	300.000	0.385	1.614	1783099314.449
89	300.000	-0.013	299.998	0.428	1.569	1783099314.694
90	300.000	-0.048	300.001	0.292	0.899	1783099314.972
91	300.000	0.024	300.000	0.315	2.438	1783099315.237
92	300.000	0.002	300.000	0.219	1.800	1783099315.535
93	300.000	0.009	299.998	0.410	2.029	1783099315.785
94	300.000	0.039	300.002	0.250	1.371	1783099316.026
95	300.000	-0.019	299.999	0.363	1.850	1783099316.281
96	300.000	0.014	300.004	0.179	2.588	1783099316.529
