Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
100.000	100.003	1.232	0.842
100.000	100.000	1.127	0.703
100.000	100.000	1.057	0.802
100.000	100.000	1.236	0.820
100.000	100.002	0.906	0.698
100.000	100.000	0.980	0.627
100.000	99.999	1.060	0.668
100.000	100.001	0.994	0.642
100.000	100.001	1.038	0.725
100.000	99.999	1.058	0.620
100.000	99.998	0.964	0.627
100.000	100.000	1.093	0.692
100.000	100.002	0.954	0.716
100.000	100.002	1.090	0.813
100.000	100.000	1.030	0.548
100.000	100.002	1.135	0.766
100.000	99.998	1.132	0.843
100.000	99.998	1.023	0.600
100.000	99.999	1.128	0.724
100.000	100.002	1.028	0.750
100.000	100.000	0.990	0.761
100.000	100.001	1.088	0.770
100.000	99.998	1.038	0.711
100.000	100.002	1.081	0.699
100.000	100.003	0.996	0.600
100.000	100.005	1.103	0.739
100.000	99.998	0.941	0.666
100.000	99.999	0.978	0.732
100.000	100.002	1.056	0.713
100.000	100.000	1.188	0.726
100.000	100.001	1.192	0.764
100.000	100.007	0.968	0.664
100.000	100.001	0.953	0.546
100.000	100.002	0.967	0.690
100.000	100.005	1.009	0.738
100.000	99.999	0.999	0.751
100.000	99.999	0.997	0.686
100.000	99.999	0.992	0.657
100.000	100.003	1.023	0.778
100.000	99.999	1.082	0.750
100.000	100.004	0.884	0.619
100.000	100.001	0.888	0.613
100.000	100.001	1.061	0.691
100.000	99.997	1.011	0.599
100.000	99.999	0.935	0.611
100.000	100.002	1.005	0.685
100.000	100.002	0.902	0.624
100.000	100.002	0.994	0.715
100.000	99.998	0.877	2.771
100.000	100.001	1.223	2.712
100.000	99.999	1.739	2.858
100.000	100.004	2.034	3.217
100.000	99.997	1.857	3.242
100.000	100.001	2.719	3.258
100.000	100.001	2.998	3.218
100.000	100.001	2.873	3.201
100.000	99.998	2.112	3.313
100.000	100.001	2.520	3.489
100.000	99.997	3.342	3.581
100.000	99.998	2.922	3.575
100.000	100.004	2.644	3.515
100.000	99.998	2.619	3.317
100.000	100.003	2.488	3.533
100.000	100.000	2.434	3.499
100.000	99.998	1.920	3.309
100.000	100.001	2.124	3.242
100.000	99.997	3.010	3.315
100.000	100.003	3.238	3.459
100.000	99.997	2.474	3.443
100.000	99.999	2.067	3.485
100.000	100.003	2.311	3.254
100.000	100.002	2.876	3.197
100.000	99.998	3.091	3.117
100.000	100.000	2.986	3.021
100.000	100.004	2.078	2.950
100.000	100.000	2.515	2.801
100.000	99.997	2.818	2.935
100.000	99.999	2.853	3.166
100.000	99.998	2.829	3.158
100.000	99.998	2.968	3.122
100.000	100.001	2.382	3.034
100.000	99.998	2.474	3.049
100.000	100.000	2.594	2.969
100.000	100.002	2.668	2.972
100.000	100.002	2.362	2.234
100.000	100.002	2.369	2.168
100.000	99.998	2.404	2.179
100.000	100.003	2.290	2.236
100.000	100.001	2.935	2.881
100.000	100.000	2.787	3.429
100.000	100.002	2.586	2.413
100.000	99.998	3.003	3.192
100.000	99.997	2.672	2.843
100.000	100.000	2.484	2.672
100.000	99.998	3.482	3.362
100.000	99.999	3.574	2.364
100.000	100.000	3.011	3.064
100.000	100.000	2.596	3.174
100.000	100.000	3.289	2.416
100.000	100.000	2.298	3.258
100.000	100.003	2.158	2.796
100.000	99.999	3.454	2.846
100.000	100.001	2.630	3.475
100.000	99.998	2.931	2.574
100.000	100.001	2.960	3.221
100.000	100.003	2.149	3.356
100.000	99.999	3.147	2.925
100.000	99.999	2.896	3.436
100.000	99.998	1.634	3.163
100.000	100.003	3.105	3.164
100.000	100.000	2.260	3.347
100.000	100.000	1.893	2.798
100.000	100.002	3.342	3.213
100.000	100.000	2.289	3.078
100.000	99.998	6.487	3.000
100.000	100.001	3.410	3.273
100.000	100.002	2.738	2.885
100.000	99.999	2.938	3.119
100.000	100.004	2.478	2.940
100.000	99.997	2.596	2.669
100.000	100.001	2.895	3.294
100.000	100.000	1.820	2.702
100.000	99.999	3.151	3.051
100.000	99.997	2.493	3.216
100.000	99.997	1.846	2.857
100.000	100.001	3.272	3.543
100.000	100.001	2.697	3.051
100.000	100.002	3.327	2.935
100.000	99.990	3.402	3.449
100.000	100.000	2.687	2.370
100.000	100.003	3.756	3.278
100.000	100.000	3.516	3.325
100.000	100.002	2.503	2.378
100.000	100.003	4.166	3.429
100.000	99.994	2.475	2.539
100.000	100.000	2.508	3.270
100.000	99.997	3.486	3.523
100.000	100.002	2.401	2.155
100.000	100.001	3.559	3.511
100.000	99.998	2.477	3.372
100.000	99.995	2.453	2.570
100.000	99.999	4.176	3.526
100.000	99.999	2.585	2.690
100.000	100.005	3.009	3.043
100.000	100.001	3.825	3.575
100.000	99.998	2.755	2.284
100.000	100.004	4.127	3.601
100.000	99.998	3.976	3.404
100.000	100.001	3.011	2.461
100.000	100.000	3.594	3.724
100.000	100.001	2.820	2.680
100.000	100.003	2.809	3.023
100.000	99.997	4.018	3.712
100.000	100.003	2.984	2.474
100.000	99.997	3.271	3.394
100.000	99.998	2.747	3.393
100.000	100.000	3.095	2.643
100.000	100.003	4.112	3.429
100.000	100.000	2.149	2.327
100.000	100.003	3.310	3.135
100.000	99.998	3.122	3.495
100.000	99.996	2.591	2.192
100.000	100.000	3.844	3.380
100.000	100.004	2.982	2.654
100.000	100.000	2.942	2.483
100.000	99.999	3.550	3.350
100.000	99.999	2.494	2.188
100.000	100.000	3.415	2.768
100.000	99.997	2.277	3.249
100.000	100.002	3.037	2.141
100.000	100.002	3.916	3.286
100.000	99.998	1.462	2.491
100.000	100.001	2.523	2.458
100.000	100.000	3.351	3.407
100.000	99.997	2.241	1.593
100.000	100.004	3.345	3.084
100.000	100.000	2.109	3.456
100.000	100.000	2.674	1.979
100.000	100.005	3.481	3.317
100.000	99.995	0.528	1.967
100.000	99.999	1.839	2.796
100.000	100.001	3.379	3.319
100.000	100.001	1.659	1.643
100.000	100.000	3.533	3.244
100.000	99.999	2.088	2.920
100.000	100.000	1.548	2.358
100.000	99.998	4.490	3.419
100.000	100.001	2.259	2.355
100.000	99.998	3.077	3.271
100.000	99.998	3.300	3.294
100.000	100.001	2.120	2.290
100.000	100.001	4.543	3.526
100.000	100.002	2.349	2.608
100.000	99.998	2.448	3.191
100.000	100.003	4.780	3.508
100.000	99.996	2.309	1.946
100.000	99.999	3.276	3.467
100.000	99.999	3.232	3.568
100.000	99.996	1.600	2.421
100.000	100.000	4.422	3.551
100.000	100.003	2.628	2.948
100.000	100.000	2.962	3.204
100.000	99.998	4.752	3.605
100.000	99.996	1.877	2.427
100.000	99.999	4.306	3.569
100.000	100.001	3.627	3.567
100.000	100.000	2.121	2.764
100.000	100.002	4.605	3.677
100.000	100.001	2.000	2.834
100.000	100.002	2.957	3.243
100.000	99.996	3.165	3.788
100.000	100.003	1.350	2.258
100.000	99.999	3.667	3.405
100.000	100.000	2.142	3.410
100.000	100.000	1.495	2.873
100.000	100.000	3.125	3.464
100.000	100.000	1.908	2.510
100.000	100.001	3.386	3.501
100.000	100.002	2.752	3.710
100.000	99.998	1.137	2.285
100.000	100.000	3.935	3.499
100.000	99.998	1.318	3.134
100.000	99.999	1.730	3.523
100.000	100.000	3.292	3.811
100.000	100.001	0.779	2.262
100.000	99.999	3.296	3.803
100.000	100.001	2.054	3.902
100.000	100.001	0.985	2.852
100.000	99.998	3.229	3.905
100.000	99.996	1.557	2.409
100.000	100.006	2.633	3.567
100.000	100.000	2.749	3.987
100.000	99.999	1.945	2.067
100.000	100.001	3.668	3.657
100.000	100.000	1.580	3.713
100.000	100.003	1.040	2.842
100.000	100.002	3.233	3.729
100.000	99.999	1.126	2.974
100.000	100.000	2.444	3.534
100.000	100.001	3.460	3.771
100.000	99.997	1.894	2.358
100.000	99.999	2.655	3.572
100.000	100.002	2.322	3.646
100.000	100.000	2.094	2.915
100.000	100.000	3.506	3.575
100.000	100.004	2.031	2.952
100.000	99.998	2.835	3.723
100.000	99.997	3.431	3.889
100.000	99.997	2.390	2.842
100.000	100.002	3.716	3.513
100.000	100.000	2.515	3.771
100.000	99.999	3.331	3.503
100.000	100.000	3.395	3.757
100.000	100.000	1.797	3.207
100.000	99.999	4.235	3.664
