Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Timestamp (s)
1	100.000	0.002	99.998	4.317	0.289	1771878415.739
2	100.000	-0.015	100.001	4.389	0.281	1771878415.997
3	100.000	0.041	100.001	4.290	0.269	1771878416.261
4	100.000	0.024	99.999	4.494	0.306	1771878416.563
5	100.000	0.053	100.000	4.332	0.303	1771878416.813
6	100.000	0.012	100.003	4.348	0.311	1771878417.135
7	100.000	-0.020	99.997	4.357	0.327	1771878417.428
8	100.000	-0.020	100.001	4.354	0.328	1771878417.668
9	100.000	-0.011	100.000	4.329	0.340	1771878417.920
10	100.000	-0.019	100.000	4.266	0.342	1771878418.199
11	100.000	0.029	100.003	4.352	0.346	1771878418.501
12	100.000	-0.013	99.999	4.435	0.380	1771878418.746
13	100.000	-0.016	99.999	4.307	0.352	1771878419.055
14	100.000	-0.019	100.000	4.493	0.339	1771878419.279
15	100.000	0.059	99.998	4.395	0.342	1771878419.568
16	100.000	0.018	99.999	4.302	0.337	1771878419.845
17	100.000	-0.058	99.998	4.452	0.334	1771878420.105
18	100.000	-0.008	100.004	4.286	0.301	1771878420.392
19	100.000	0.048	100.003	4.338	0.341	1771878420.671
20	100.000	-0.023	99.999	4.277	0.361	1771878420.928
21	100.000	0.022	99.999	4.312	0.389	1771878421.180
22	100.000	0.043	100.003	4.297	0.326	1771878421.440
23	100.000	-0.043	99.998	4.290	0.278	1771878421.697
24	100.000	0.012	99.998	4.351	0.382	1771878422.003
25	100.000	0.017	100.000	4.202	0.372	1771878422.313
26	200.000	0.055	109.211	0.528	3.098	1771878422.615
27	200.000	-0.038	139.565	0.385	5.949	1771878422.868
28	200.000	-0.035	160.167	0.175	5.531	1771878423.106
29	200.000	-0.041	174.800	0.234	0.725	1771878423.370
30	200.000	0.026	184.756	0.093	3.497	1771878423.598
31	200.000	0.021	191.568	0.091	0.620	1771878423.861
32	200.000	-0.020	195.777	0.060	4.783	1771878424.130
33	200.000	-0.007	198.620	0.730	2.618	1771878424.432
34	200.000	0.014	199.761	0.441	4.499	1771878424.661
35	200.000	-0.029	200.328	0.194	5.499	1771878424.938
36	200.000	0.007	200.597	1.323	2.530	1771878425.241
37	200.000	0.047	200.618	1.368	1.603	1771878425.499
38	200.000	-0.011	200.558	1.705	3.592	1771878425.722
39	200.000	0.017	200.472	1.369	0.295	1771878425.979
40	200.000	0.006	200.374	0.520	4.288	1771878426.229
41	200.000	0.019	200.292	0.332	3.123	1771878426.485
42	200.000	0.029	200.230	0.763	5.554	1771878426.731
43	200.000	-0.014	200.178	1.443	0.555	1771878426.997
44	200.000	0.051	200.128	2.092	2.190	1771878427.251
45	200.000	0.015	200.105	2.498	3.219	1771878427.472
46	200.000	-0.056	200.080	2.587	4.051	1771878427.752
47	200.000	-0.052	200.065	2.612	4.596	1771878427.989
48	200.000	0.043	200.047	2.793	4.998	1771878428.270
49	200.000	-0.022	200.040	2.704	5.302	1771878428.575
50	200.000	0.022	200.037	2.686	5.523	1771878428.811
51	200.000	0.009	200.030	2.813	5.664	1771878429.050
52	200.000	-0.008	200.022	2.936	5.692	1771878429.326
53	200.000	-0.001	200.025	2.856	5.820	1771878429.564
54	200.000	0.010	200.021	2.852	5.876	1771878429.807
55	200.000	0.006	200.021	2.860	5.859	1771878430.063
56	200.000	0.024	200.019	2.891	5.890	1771878430.309
57	200.000	-0.008	200.015	2.935	5.888	1771878430.584
58	200.000	0.015	200.017	2.888	6.030	1771878430.880
59	200.000	0.038	200.011	2.951	6.071	1771878431.129
