Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
93	200.000	-0.022	200.000	1.984	0.049	1.328	1782937299.881
94	200.000	0.026	200.000	4.173	4.706	1.328	1782937300.144
95	200.000	0.017	199.996	2.800	1.907	1.328	1782937300.448
96	200.000	0.045	200.001	3.184	5.461	1.328	1782937300.721
97	200.000	0.020	200.001	2.556	4.315	1.328	1782937300.963
98	200.000	-0.012	200.000	3.222	1.697	1.328	1782937301.232
99	200.000	-0.039	199.999	3.947	4.946	1.328	1782937301.545
100	200.000	-0.022	200.002	1.417	2.345	1.328	1782937301.867
101	200.000	-0.028	199.997	2.147	5.907	1.328	1782937302.154
102	200.000	0.051	199.999	3.644	4.494	1.328	1782937302.399
103	200.000	-0.031	200.001	2.954	1.925	1.328	1782937302.655
104	200.000	0.004	199.999	2.618	5.696	1.328	1782937302.906
105	200.000	0.023	200.003	3.536	4.483	1.328	1782937303.161
106	200.000	0.007	199.999	2.993	1.940	1.328	1782937303.410
107	200.000	-0.028	199.997	2.890	5.608	1.328	1782937303.645
108	200.000	0.019	199.998	3.487	4.476	1.328	1782937303.906
109	200.000	0.015	200.000	2.951	1.915	1.328	1782937304.153
110	200.000	0.016	200.000	2.772	5.803	1.328	1782937304.402
111	200.000	-0.012	200.003	3.107	4.518	1.328	1782937304.667
112	200.000	-0.028	199.996	3.278	1.647	1.328	1782937304.965
113	200.000	-0.029	200.001	3.682	5.088	1.328	1782937305.200
114	200.000	-0.024	200.003	2.032	4.220	1.328	1782937305.472
115	200.000	-0.009	199.999	3.022	1.545	1.328	1782937305.715
116	200.000	0.051	200.002	4.100	4.925	1.328	1782937306.043
117	200.000	0.058	199.997	1.571	2.308	1.328	1782937306.346
118	200.000	0.040	199.998	2.847	5.465	1.328	1782937306.673
119	200.000	-0.044	200.000	1.716	4.208	1.328	1782937306.955
120	200.000	-0.048	200.003	3.107	1.550	1.328	1782937307.215
121	200.000	-0.002	199.997	4.208	4.984	1.328	1782937307.480
122	200.000	-0.031	199.999	1.035	2.874	1.328	1782937307.783
123	200.000	-0.019	200.003	2.022	0.675	1.328	1782937308.000
124	200.000	0.018	200.004	4.420	4.805	1.328	1782937308.283
125	200.000	-0.046	199.999	1.643	2.344	1.328	1782937308.515
126	200.000	-0.015	200.005	1.937	0.465	1.328	1782937308.773
127	200.000	0.044	199.998	4.086	4.651	1.328	1782937309.039
128	200.000	0.010	199.996	2.318	1.961	1.328	1782937309.347
129	200.000	0.009	199.999	3.365	5.381	1.328	1782937309.652
130	200.000	0.001	199.999	2.336	4.178	1.328	1782937309.907
131	200.000	0.032	199.998	3.110	1.666	1.328	1782937310.148
132	200.000	0.043	200.004	3.953	5.077	1.328	1782937310.411
133	200.000	0.045	200.003	1.282	3.768	1.328	1782937310.705
134	200.000	0.053	200.002	2.525	1.207	1.328	1782937310.937
135	200.000	0.006	199.997	4.305	4.838	1.328	1782937311.230
136	200.000	-0.038	200.002	1.978	2.149	1.328	1782937311.519
137	200.000	-0.014	200.000	2.448	6.018	1.328	1782937311.771
138	200.000	-0.041	200.002	4.001	4.596	1.328	1782937312.023
139	200.000	-0.030	200.000	2.783	1.878	1.328	1782937312.293
140	200.000	0.035	200.002	2.829	5.677	1.328	1782937312.521
141	200.000	0.045	200.002	3.698	4.560	1.328	1782937312.789
142	200.000	0.008	200.002	3.044	1.786	1.328	1782937313.045
143	200.000	0.046	200.001	3.377	5.354	1.328	1782937313.314
144	200.000	0.023	200.000	2.371	4.172	1.328	1782937313.601
145	200.000	-0.030	200.002	3.364	1.477	1.328	1782937313.862
146	200.000	0.022	200.002	4.141	5.261	1.328	1782937314.097
147	200.000	0.009	200.001	2.327	4.282	1.328	1782937314.345
148	200.000	0.023	200.001	3.217	1.570	1.328	1782937314.604
149	200.000	-0.068	199.999	4.150	5.193	1.328	1782937314.838
150	200.000	0.016	199.999	1.884	4.215	1.328	1782937315.110
