Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
93	300.000	-0.038	300.001	0.805	4.607	1.991	1783020939.821
94	300.000	0.033	300.001	0.755	5.795	1.991	1783020940.088
95	300.000	0.023	299.997	0.644	0.520	1.991	1783020940.327
96	300.000	0.010	300.000	0.658	1.873	1.991	1783020940.551
97	300.000	-0.004	300.000	0.896	3.144	1.991	1783020940.825
98	300.000	-0.047	300.004	0.812	4.509	1.991	1783020941.050
99	300.000	-0.071	299.997	0.724	5.700	1.991	1783020941.328
100	300.000	-0.003	299.996	0.778	0.704	1.991	1783020941.585
101	300.000	-0.055	300.002	0.824	1.867	1.991	1783020941.809
102	300.000	0.050	299.996	0.866	3.330	1.991	1783020942.090
103	300.000	0.008	300.002	0.834	4.787	1.991	1783020942.316
104	300.000	0.014	299.994	0.646	5.935	1.991	1783020942.596
105	300.000	-0.026	299.996	1.093	0.992	1.991	1783020942.818
106	300.000	0.029	300.001	1.024	1.829	1.991	1783020943.075
107	300.000	0.013	299.998	0.806	3.490	1.991	1783020943.313
108	300.000	0.002	300.000	0.784	4.636	1.991	1783020943.580
109	300.000	0.051	299.999	0.734	5.896	1.991	1783020943.822
110	300.000	-0.041	300.001	0.732	0.805	1.991	1783020944.076
111	300.000	0.028	300.000	0.947	2.194	1.991	1783020944.319
112	300.000	0.037	299.998	0.967	3.620	1.991	1783020944.584
113	300.000	-0.035	300.004	0.784	4.716	1.991	1783020944.836
114	300.000	-0.040	299.999	0.824	5.872	1.991	1783020945.063
115	300.000	0.041	299.997	0.745	0.646	1.991	1783020945.329
116	300.000	0.059	300.000	0.850	2.257	1.991	1783020945.582
117	300.000	-0.001	300.001	0.908	3.353	1.991	1783020945.828
118	300.000	0.005	299.997	0.871	4.896	1.991	1783020946.078
119	300.000	0.016	299.998	0.837	6.128	1.991	1783020946.346
120	300.000	0.005	299.999	0.727	1.110	1.991	1783020946.587
121	300.000	0.036	300.003	0.792	2.247	1.991	1783020946.828
122	300.000	-0.020	299.999	0.848	3.529	1.991	1783020947.080
123	300.000	-0.027	300.002	0.795	4.872	1.991	1783020947.326
124	300.000	0.028	300.004	0.931	0.226	1.991	1783020947.597
125	300.000	-0.044	300.004	0.627	1.353	1.991	1783020947.844
126	300.000	-0.060	300.000	1.009	2.282	1.991	1783020948.120
127	300.000	-0.003	300.005	0.869	4.001	1.991	1783020948.408
128	300.000	0.012	300.000	0.850	5.333	1.991	1783020948.668
129	300.000	0.009	299.996	0.778	0.458	1.991	1783020948.889
130	300.000	0.023	300.002	0.902	1.459	1.991	1783020949.154
131	300.000	0.005	300.001	0.905	2.951	1.991	1783020949.413
132	300.000	0.009	300.000	0.725	4.044	1.991	1783020949.658
133	300.000	0.003	299.994	0.900	5.399	1.991	1783020949.906
134	300.000	0.018	299.999	0.861	0.375	1.991	1783020950.167
135	300.000	0.058	300.000	0.797	1.848	1.991	1783020950.446
136	300.000	-0.010	300.001	0.863	2.953	1.991	1783020950.675
137	300.000	-0.022	299.997	0.864	4.455	1.991	1783020950.928
138	300.000	0.007	300.004	0.868	5.827	1.991	1783020951.194
139	300.000	-0.011	300.001	0.714	0.577	1.991	1783020951.431
140	300.000	-0.001	300.000	0.761	2.040	1.991	1783020951.689
141	300.000	-0.016	300.000	0.945	3.157	1.991	1783020951.955
142	300.000	0.010	300.000	0.739	4.214	1.991	1783020952.184
143	300.000	0.001	299.999	0.844	5.561	1.991	1783020952.443
144	300.000	-0.035	299.997	0.761	0.660	1.991	1783020952.699
145	300.000	0.037	300.002	0.918	2.001	1.991	1783020952.967
146	300.000	0.038	300.001	0.878	3.486	1.991	1783020953.219
147	300.000	0.042	299.998	0.876	4.626	1.991	1783020953.458
148	300.000	0.009	300.002	0.666	5.992	1.991	1783020953.712
149	300.000	0.008	300.000	0.796	0.630	1.991	1783020953.938
150	300.000	-0.020	300.003	0.875	1.889	1.991	1783020954.208
151	300.000	-0.042	300.001	0.968	3.153	1.991	1783020954.434
152	300.000	-0.018	300.001	0.906	4.411	1.991	1783020954.711
153	300.000	-0.025	300.002	0.878	5.968	1.991	1783020954.970
154	300.000	-0.042	300.000	0.812	0.832	1.991	1783020955.202
155	300.000	0.023	300.002	0.969	1.990	1.991	1783020955.455
156	300.000	-0.027	300.000	1.133	3.661	1.991	1783020955.705
157	300.000	0.017	300.004	0.758	4.526	1.991	1783020955.952
158	300.000	0.037	299.998	0.706	6.058	1.991	1783020956.204
159	300.000	0.043	300.000	0.887	0.937	1.991	1783020956.453
160	300.000	0.005	300.003	0.912	2.121	1.991	1783020956.700
161	300.000	-0.048	300.000	0.911	3.066	1.991	1783020956.970
162	300.000	-0.038	299.999	0.586	4.824	1.991	1783020957.223
163	300.000	0.014	300.002	0.716	5.838	1.991	1783020957.449
164	300.000	0.011	300.000	1.001	1.063	1.991	1783020957.705
165	300.000	-0.045	300.006	0.774	2.379	1.991	1783020957.938
166	300.000	0.022	299.999	0.764	3.569	1.991	1783020958.208
167	300.000	0.020	300.002	0.727	5.020	1.991	1783020958.433
168	300.000	-0.011	300.000	0.906	5.967	1.991	1783020958.692
169	300.000	0.031	299.997	0.751	1.025	1.991	1783020958.943
170	300.000	0.009	299.998	0.796	2.259	1.991	1783020959.211
171	300.000	0.018	300.001	0.869	3.551	1.991	1783020959.437
172	300.000	0.025	300.002	0.878	4.877	1.991	1783020959.686
173	300.000	-0.013	299.997	0.871	6.139	1.991	1783020959.952
174	300.000	0.011	300.000	0.875	1.208	1.991	1783020960.183
175	300.000	0.013	299.997	0.852	2.306	1.991	1783020960.447
176	300.000	-0.001	300.000	1.019	3.632	1.991	1783020960.698
177	300.000	0.034	300.001	0.900	4.731	1.991	1783020960.956
178	300.000	-0.068	299.999	0.771	6.075	1.991	1783020961.209
179	300.000	-0.030	299.999	0.861	1.047	1.991	1783020961.453
180	300.000	-0.019	300.001	1.171	2.555	1.991	1783020961.701
181	300.000	-0.029	300.001	1.168	3.844	1.991	1783020961.932
182	300.000	-0.034	299.999	0.895	4.732	1.991	1783020962.202
183	300.000	-0.011	300.002	0.729	6.199	1.991	1783020962.439
184	300.000	-0.066	300.001	0.558	1.298	1.991	1783020962.702
185	300.000	0.006	300.000	0.854	2.369	1.991	1783020962.952
186	300.000	-0.000	300.000	1.086	3.708	1.991	1783020963.217
187	300.000	0.050	300.002	0.727	4.895	1.991	1783020963.464
188	300.000	0.063	299.997	0.867	6.214	1.991	1783020963.687
189	300.000	-0.034	299.998	1.103	1.030	1.991	1783020963.946
190	300.000	-0.000	300.000	0.906	2.463	1.991	1783020964.180
191	300.000	0.038	300.003	0.796	3.566	1.991	1783020964.453
192	300.000	-0.017	299.998	0.798	5.082	1.991	1783020964.702
193	300.000	0.030	299.998	0.754	6.157	1.991	1783020964.950
194	300.000	0.004	299.999	0.807	1.409	1.991	1783020965.204
195	300.000	0.077	300.002	0.808	2.764	1.991	1783020965.447
196	300.000	0.054	299.999	0.762	3.680	1.991	1783020965.705
197	300.000	-0.026	299.999	0.660	5.214	1.991	1783020965.931
198	300.000	-0.040	300.000	0.837	6.224	1.991	1783020966.192
199	300.000	0.042	300.002	0.775	1.122	1.991	1783020966.430
